#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-24",product="GDU 460",software_version="8.40",system_id="60002EB05E7DB",unit="PFD1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Target Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Airspeed Command (kt),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,
2020-04-11,12:23:59,19:23:59,-07:00,+37.5094570,-122.4916732,-19,3D-,588257.2,0.0,,0,0,0.01,,1.7,7,-68,5,3,0.0,0,,,-0.024,0.966,+0.666,,271,,30.00,,GPS,KPAO,18.2,99,99,-0.001,-0.00,7595,1.25nm,,,,,Powerup,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A27 A27,14,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,ECS FAIL,
2020-04-11,12:23:59,19:23:59,-07:00,+37.5094570,-122.4916732,-19,3D-,588257.2,0.0,,0,0,0.01,,1.7,7,-68,5,3,0.0,0,,,-0.024,0.966,+0.666,,271,,30.00,,GPS,KPAO,18.2,99,99,-0.001,-0.00,7595,1.25nm,,,,,Powerup,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A27 A27,14,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,ECS FAIL,
2020-04-11,12:24:00,19:24:00,-07:00,+37.5094643,-122.4916688,-25,3D-,588258.0,0.0,,0,0,0.00,,1.7,7,-68,5,1,0.0,0,,,-0.015,0.968,+0.771,,271,,30.00,,GPS,KPAO,18.2,99,99,-0.001,-0.00,7595,1.25nm,,,,,Powerup,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A29 A29,15,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,ECS FAIL,
2020-04-11,12:24:01,19:24:01,-07:00,+37.5094733,-122.4916691,-27,3D-,588259.0,0.0,,0,0,0.00,,1.7,7,-68,5,3,0.0,0,,,-0.008,0.969,+0.749,,271,,30.00,,GPS,KPAO,18.2,99,99,-0.000,-0.00,7595,1.25nm,,,,,Powerup,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A31 A31,8,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,ECS FAIL,
2020-04-11,12:24:02,19:24:02,-07:00,+37.5094847,-122.4916671,-25,3D-,588260.1,0.0,,0,0,0.00,,2.5,7,-68,5,6,0.0,0,,,-0.007,0.966,+0.775,,271,,30.00,,GPS,KPAO,18.2,99,99,0.000,+0.00,7595,1.25nm,,,,,Powerup,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A34 A34,7,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:03,19:24:03,-07:00,+37.5094919,-122.4916571,-22,3D-,588261.0,0.0,,0,0,-0.00,,1.7,7,-68,5,1,0.0,0,,,-0.002,0.976,+0.783,,271,,30.00,,GPS,KPAO,18.2,99,99,0.001,+0.00,7595,1.25nm,,,,,Fail/Communication fault/00000001 00000000,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A36 A36,11,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:04,19:24:04,-07:00,+37.5094965,-122.4916535,-19,3D-,588262.0,0.0,,0,0,-0.00,,1.7,7,-67,5,7,0.0,0,,,-0.011,0.975,+0.943,,271,,30.00,,GPS,KPAO,18.2,99,99,0.001,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A38 A38,21,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:05,19:24:05,-07:00,+37.5094988,-122.4916482,-17,3D-,588263.0,0.0,,0,0,-0.00,,1.7,7,-67,5,3,0.0,0,,,-0.027,0.977,+0.789,,271,,30.00,,GPS,KPAO,18.2,99,99,0.002,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A40 A40,18,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:06,19:24:06,-07:00,+37.5095016,-122.4916415,-14,3D-,588264.0,0.0,,0,0,-0.00,,1.7,7,-67,5,3,0.0,0,,,-0.011,0.965,+0.992,,271,,30.00,,GPS,KPAO,18.2,99,99,0.002,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A43 A43,19,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:07,19:24:07,-07:00,+37.5095050,-122.4916388,-13,3D-,588265.0,0.0,,0,0,-0.00,,1.7,7,-67,5,-5,0.0,0,,,-0.010,0.969,+0.862,,271,,30.00,,GPS,KPAO,18.2,99,99,0.002,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A46 A46,16,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:08,19:24:08,-07:00,+37.5095428,-122.4915783,5,3D-,588266.0,0.0,,0,0,-0.00,,2.5,7,-67,5,0,0.0,0,,,-0.009,0.971,+0.966,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A48 A48,13,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:09,19:24:09,-07:00,+37.5095422,-122.4915779,4,3D-,588267.0,0.0,,0,0,-0.00,,2.5,7,-67,5,5,0.0,0,,,-0.010,0.972,+0.975,,271,,30.00,,GPS,KPAO,18.2,99,99,0.004,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A50 A50,9,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:10,19:24:10,-07:00,+37.5095417,-122.4915779,3,3D-,588268.0,0.0,,0,0,-0.00,,1.7,7,-67,6,4,0.0,0,,,-0.010,0.971,+0.796,,271,,30.00,,GPS,KPAO,18.2,99,99,0.004,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A52 A52,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:11,19:24:11,-07:00,+37.5095416,-122.4915795,2,3D-,588269.0,0.0,,0,0,0.00,,1.7,7,-67,6,5,0.0,0,,,-0.013,0.967,+0.714,,271,,30.00,,GPS,KPAO,18.2,99,99,0.004,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,081101F8 A55 A55,7,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:12,19:24:12,-07:00,+37.5095425,-122.4915802,0,3D,588270.1,0.0,,0,0,0.01,,1.7,7,-67,6,1,0.0,0,,,-0.010,0.970,+0.635,,271,,30.00,,GPS,KPAO,18.2,99,99,0.004,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,080001F8 A58 A58,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:13,19:24:13,-07:00,+37.5095448,-122.4915822,-1,3D-,588271.0,0.0,,0,0,0.01,,1.7,7,-67,6,4,0.0,0,,,-0.008,0.970,+0.658,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,040001F8 A60 A60,8,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:14,19:24:14,-07:00,+37.5095470,-122.4915840,-2,3D,588272.0,0.0,,0,0,0.01,,1.7,7,-67,6,4,0.0,0,,,-0.008,0.970,+0.733,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,040001F8 A61 A61,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:15,19:24:15,-07:00,+37.5095484,-122.4915851,-3,3D,588273.0,0.0,,0,0,0.01,,1.7,7,-67,6,-1,0.0,0,,,-0.009,0.969,+0.805,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-224,,,040001F8 A64 A64,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:16,19:24:16,-07:00,+37.5095484,-122.4915850,-3,3D,588274.1,0.0,,0,0,0.01,,1.7,7,-67,6,-3,0.0,0,,,-0.008,0.970,+0.919,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-225,,,040001F8 A67 A67,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:17,19:24:17,-07:00,+37.5095484,-122.4915859,-3,3D,588275.0,0.0,,0,0,0.01,,1.7,7,-67,6,-1,0.0,0,,,-0.009,0.965,+0.889,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-225,,,040001F8 A70 A70,6,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
2020-04-11,12:24:18,19:24:18,-07:00,+37.5095485,-122.4915862,-3,3D,588276.0,0.0,,0,0,-0.00,,2.5,7,-67,6,0,0.0,0,,,-0.009,0.970,+0.895,,271,,30.00,,GPS,KPAO,18.2,99,99,0.005,+0.00,7595,1.25nm,,,,,Fail,,,,,,,,,,,-13.4,13.8,-225,,,040001F8 A72 A72,7,,,1200,ALT,83,2,3,7.7,0,0,29.7,0.1,0,0,0.0,-8,-3,45,129,98,128,101,85,55,85,60,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL/AOA UNCAL,
