#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2C",product="GDU 460",software_version="8.71",system_id="60002EB05E7DB",unit="PFD1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,
2020-06-17,07:12:06,14:12:06,-07:00,+37.5102994,-122.4910298,112,3D-,310343.9,0.0,,0,0,-0.15,,1.8,6,-24,169,-1,0.0,0,,,-0.013,0.974,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.4,13.0,-266,,,081101F8 A31 A31,5,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,47,46,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:06,14:12:06,-07:00,+37.5102994,-122.4910298,112,3D-,310343.9,0.0,,0,0,-0.15,,1.8,6,-24,169,-1,0.0,0,,,-0.013,0.974,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.4,13.0,-266,,,081101F8 A31 A31,5,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,47,46,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:07,14:12:07,-07:00,+37.5103005,-122.4910298,114,3D-,310344.8,0.0,,0,0,-0.11,,1.8,6,-24,169,-1,0.0,0,,,-0.014,0.975,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.4,13.0,-266,,,081101F8 A32 A32,7,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,47,46,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:08,14:12:08,-07:00,+37.5103009,-122.4910336,116,3D-,310345.8,0.0,,0,0,-0.08,,1.8,6,-24,169,1,0.0,0,,,-0.013,0.974,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.4,13.0,-266,,,081101F8 A34 A34,6,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,47,46,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:09,14:12:09,-07:00,+37.5103004,-122.4910369,117,3D-,310346.8,0.0,,0,0,-0.06,,1.8,6,-24,169,2,0.0,0,,,-0.014,0.976,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.4,13.0,-266,,,081101F8 A37 A37,8,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,47,47,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:10,14:12:10,-07:00,+37.5103004,-122.4910377,117,3D-,310347.8,0.0,,0,0,-0.05,,1.8,6,-24,169,7,0.0,0,,,-0.017,0.973,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.4,13.0,-265,,,081101F8 A38 A38,15,,,1200,ALT,54,15,15,0.0,0,0,29.7,0.0,0,0,0.0,-11,3,45,50,46,48,47,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS/ECS FAIL,
2020-06-17,07:12:11,14:12:11,-07:00,+37.5103005,-122.4910387,117,3D-,310348.8,0.0,,0,0,-0.04,,1.8,6,-24,169,6,0.0,-0,,,-0.014,0.977,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.4,13.0,-265,,,081101F8 A40 A40,7,,L+,1200,ALT,54,15,15,0.0,0,0,29.7,3.6,0,3,0.0,-11,3,45,50,46,48,47,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS,
2020-06-17,07:12:12,14:12:12,-07:00,+37.5103014,-122.4910390,117,3D-,310349.8,0.0,,0,0,-0.03,,1.8,6,-24,169,-4,0.0,0,,,-0.012,0.975,85,,,,30.13,,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.4,13.0,-265,,,081101F8 A43 A43,6,,L+,1200,ALT,54,15,15,0.0,0,0,29.7,7.0,0,7,0.0,-11,3,45,50,46,48,47,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS,
2020-06-17,07:12:13,14:12:13,-07:00,+37.5103019,-122.4910388,116,3D-,310350.8,0.0,,0,0,-0.03,,1.8,6,-24,169,-6,0.0,0,,,-0.015,0.976,85,,,,30.13,122.800,GPS,KPAO,18.2,99,100,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.4,13.0,-264,,,081101F8 A44 A44,6,,,1200,ALT,54,15,15,0.0,0,0,29.7,9.5,0,12,0.0,-11,3,45,50,46,48,47,45,45,45,50,0,0,0,FUEL PRESS/OIL PRESS/VOLTS,
