#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2C",product="GDU 460",software_version="8.71",system_id="60002EB05E7DB",unit="MFD1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,
2020-07-03,16:09:45,23:09:45,-07:00,+37.5103810,-122.4909445,32,3D (PFD1),515403.1,0.0,,0,0,0.00,,1.3,9,-111,35,-1,-0.0,2,,,-0.013,0.975,+0.597,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail/Servo communication fault,,,,,,,,,,,,-13.4,17.8,195,,,020001F8 A62 A62,8,,,1200,ALT,114,19,18,29.6,0,0,29.9,12.3,0,8,0.0,-11,0,0,187,172,183,174,150,145,155,145,0,0,0,OIL PRESS,
2020-07-03,16:09:45,23:09:45,-07:00,+37.5103810,-122.4909445,32,3D (PFD1),515403.1,0.0,,0,0,0.00,,1.3,9,-111,35,-1,-0.0,2,,,-0.013,0.975,+0.597,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,195,,,020001F8 A62 A62,8,,,1200,ALT,114,19,18,29.6,0,0,29.9,12.3,0,8,0.0,-11,0,0,187,172,183,174,150,145,155,145,0,0,0,OIL PRESS,
2020-07-03,16:09:46,23:09:46,-07:00,+37.5103810,-122.4909445,32,3D (PFD1),515403.6,0.0,,0,0,0.00,,1.3,9,-111,35,-3,-0.0,0,,,-0.006,0.970,+0.593,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,194,,,020001F8 A62 A62,13,,,1200,ALT,114,19,18,29.6,0,0,29.9,12.3,0,8,0.0,-11,0,0,187,172,183,174,150,145,155,145,0,0,0,OIL PRESS,
2020-07-03,16:09:47,23:09:47,-07:00,+37.5103809,-122.4909445,32,3D (PFD1),515404.6,0.0,,0,0,-0.00,,1.3,9,-111,35,4,0.0,0,,,-0.020,0.977,+0.618,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,194,,,020001F8 A62 A62,19,,,1200,ALT,114,19,18,30.4,0,0,29.9,11.5,0,7,0.0,-11,0,0,187,172,183,173,150,145,155,150,0,0,0,OIL PRESS/AOA UNCAL,
2020-07-03,16:09:48,23:09:48,-07:00,+37.5103809,-122.4909444,32,3D (PFD1),515405.6,0.0,,0,0,0.00,,1.3,9,-111,36,5,0.0,0,,,-0.035,0.970,+0.702,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,193,,,020001F8 A62 A62,30,,,1200,ALT,114,19,18,31.6,2,0,29.8,11.0,0,6,0.0,-11,0,0,187,172,183,173,150,145,155,150,0,0,0,OIL PRESS/AOA UNCAL,
2020-07-03,16:09:49,23:09:49,-07:00,+37.5103808,-122.4909444,32,3D (PFD1),515406.6,0.0,,0,0,0.00,,1.3,9,-111,36,2,-0.0,2,,,-0.038,0.969,+0.828,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,193,,,020001F8 A62 A62,36,,,1200,ALT,114,19,18,31.1,7,180,29.8,10.8,0,6,0.0,-11,0,0,187,172,183,173,150,145,155,150,0,0,0,OIL PRESS/AOA UNCAL,
2020-07-03,16:09:50,23:09:50,-07:00,+37.5103808,-122.4909444,32,3D (PFD1),515407.6,0.0,,0,0,0.00,,1.3,9,-111,36,4,-0.0,1,,,0.003,0.991,+0.757,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,192,,,020001F8 A62 A62,38,,,1200,ALT,114,19,18,30.9,17,200,29.7,10.7,0,6,0.1,-11,0,0,187,172,183,174,150,145,155,150,0,0,0,OIL PRESS/VOLTS/AOA UNCAL,
2020-07-03,16:09:51,23:09:51,-07:00,+37.5103808,-122.4909444,32,3D (PFD1),515408.6,0.0,,0,0,0.00,,1.3,9,-111,36,-0,0.0,0,,,-0.108,0.946,+0.650,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,17.8,192,,,020001F8 A62 A62,197,,,1200,ALT,114,19,18,31.3,27,310,29.6,11.1,0,5,0.3,-11,0,0,187,172,183,173,155,155,245,185,0,0,1,OIL PRESS/VOLTS/AOA UNCAL,
2020-07-03,16:09:52,23:09:52,-07:00,+37.5103602,-122.4909734,7,3D (GPSR1),515391.7,1.5,,-1,-0,0.00,,19.1,4,-111,36,-4,0.0,1,,,-0.062,0.972,+0.525,,301,,,,30.08,122.800,GPS,,,,,,,,,,,,,Fail/00000001 00000000,,,,,,,,,,,,-13.4,17.8,192,,,020001F8 A62 A62,80,,,1200,ALT,114,19,18,30.6,34,690,29.1,11.6,0,5,1.8,-11,0,0,187,172,183,174,235,190,310,245,0,0,7,OIL PRESS/AOA UNCAL,
