#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2C",product="GDU 460",software_version="8.71",system_id="60002EB05E7DB",unit="MFD1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,
2020-07-11,16:14:37,23:14:37,-07:00,+37.5104269,-122.4909014,34,3D (PFD1),602094.8,0.0,,0,0,0.01,,1.5,8,-70,40,-18,1.2,2,,,-0.015,0.975,+0.550,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail/Servo communication fault,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A57 A57,20,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:37,23:14:37,-07:00,+37.5104269,-122.4909014,34,3D (PFD1),602094.8,0.0,,0,0,0.01,,1.5,8,-70,40,-18,1.2,2,,,-0.015,0.975,+0.550,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A57 A57,20,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:38,23:14:38,-07:00,+37.5104275,-122.4908994,32,3D (PFD1),602095.7,0.0,,0,0,0.01,,1.5,8,-71,40,-20,0.2,0,,,-0.013,0.979,+1.590,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A59 A59,10,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:39,23:14:39,-07:00,+37.5104273,-122.4908973,31,3D (PFD1),602096.7,0.0,,0,0,-0.00,,1.5,8,-70,39,-9,4.7,4,,,-0.017,0.973,+3.237,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,500,,,040001F8 A62 A62,9,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:40,23:14:40,-07:00,+37.5104271,-122.4908960,30,3D (PFD1),602097.7,0.0,,0,0,0.00,,1.5,8,-70,40,6,4.3,4,,,-0.009,0.978,+4.020,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A64 A64,19,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:41,23:14:41,-07:00,+37.5104277,-122.4908947,29,3D (PFD1),602098.7,0.0,,0,0,-0.00,,1.5,8,-70,40,1,2.8,3,,,-0.007,0.978,+3.968,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A67 A67,16,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:42,23:14:42,-07:00,+37.5104264,-122.4908938,28,3D (PFD1),602099.7,0.0,,0,0,0.00,,1.5,8,-70,40,-8,7.4,7,,,-0.009,0.977,+3.773,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A70 A70,16,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:43,23:14:43,-07:00,+37.5104251,-122.4908920,26,3D (PFD1),602100.7,0.0,,0,0,-0.00,,1.5,8,-71,39,-8,7.5,8,,,-0.005,0.978,+3.851,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,500,,,040001F8 A73 A73,20,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,79,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:44,23:14:44,-07:00,+37.5104237,-122.4908892,24,3D (PFD1),602101.7,0.0,,0,0,-0.00,,1.5,8,-70,39,5,-0.1,1,,,-0.011,0.977,+3.598,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A76 A76,25,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:45,23:14:45,-07:00,+37.5104254,-122.4908902,26,3D (PFD1),602102.7,0.0,,0,0,-0.00,,2.2,8,-70,40,5,-0.0,0,,,-0.016,0.976,+3.664,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A79 A79,16,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:46,23:14:46,-07:00,+37.5104342,-122.4908970,33,3D (PFD1),602103.7,0.0,,0,0,-0.00,,2.2,8,-71,40,-10,6.6,7,,,-0.016,0.978,+3.577,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail/00000001 00000000,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A82 A82,14,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:47,23:14:47,-07:00,+37.5104394,-122.4909005,38,3D (PFD1),602104.7,0.0,,0,0,-0.00,,1.5,8,-71,39,-18,2.5,3,,,-0.007,0.982,+3.435,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A85 A85,14,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:48,23:14:48,-07:00,+37.5104439,-122.4909034,41,3D (PFD1),602105.7,0.0,,0,0,-0.00,,1.5,8,-71,39,8,11.8,12,,,-0.001,0.981,+3.902,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,500,,,040001F8 A87 A87,29,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
2020-07-11,16:14:49,23:14:49,-07:00,+37.5104435,-122.4909031,41,3D (PFD1),602106.7,0.0,,0,0,-0.00,,1.5,8,-69,40,30,9.0,9,,,-0.008,0.980,+3.772,,302,,,,30.04,127.275,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.4,20.0,501,,,040001F8 A90 A90,17,,,1200,ALT,89,20,20,0.0,0,0,29.9,12.4,0,5,0.0,-40,-14,80,78,79,80,70,75,75,80,0,0,0,FUEL PRESS/OIL PRESS,
