#airframe_info,"log_version=""1.00""","log_content_version=""1.02""","product=""GDU 460""","aircraft_ident=""N430WB""","unit_software_part_number=""006-B1727-2C""","product=""GDU 460""","software_version=""8.71""","system_id=""60002EB05E7DB""","unit=""PFD1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,
2020-09-05,12:55:00,19:55:00,-07:00,37.4131047,-122.4685698,6078,3DDiff (GPSR1),590099.9,163.7,336,-35,77,0.30,322.4,1.3,14,5590,5682,-13,130.6,147,1.30,1.33,-0.030,1.002,-0.225,-0.242,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,1.9,1.1,5680,2.0,,-14.3,5589,5,-1,-13.4,25.9,8072,16.7,151,040007FF N100 N100,31,,,1200,ALT,181,13,16,29.4,75,2360,22.8,14.3,11,11,10.2,5,-33,345,343,341,346,1190,1170,1180,1175,0,0,65,,
2020-09-05,12:55:01,19:55:01,-07:00,37.4137967,-122.4689664,6080,3DDiff (GPSR1),590100.9,164.0,336,-35,77,0.42,322.3,1.3,14,5591,5682,45,130.9,148,1.33,1.53,-0.027,0.983,-0.225,-0.242,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.0,1.2,5680,2.1,,-21.7,5589,5,-2,-13.4,25.9,8071,16.7,151,040007FF N100 N100,40,,,1200,ALT,181,13,16,29.4,75,2360,23.2,14.3,11,11,10.5,5,-33,345,344,341,346,1185,1165,1180,1175,0,0,66,,
2020-09-05,12:55:02,19:55:02,-07:00,37.4144893,-122.4693644,6081,3DDiff (GPSR1),590101.9,164.3,335,-35,77,0.49,322.2,1.3,14,5594,5684,96,131.2,148,1.33,1.65,-0.014,0.972,-0.225,-0.245,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.1,1.2,5680,2.1,,-45.3,5589,5,-3,-13.4,25.8,8072,16.7,151,040007FF N100 N100,42,,,1200,ALT,181,13,16,28.5,75,2360,23.6,14.3,11,11,10.9,5,-33,346,344,341,346,1185,1165,1175,1175,0,0,67,,
2020-09-05,12:55:03,19:55:03,-07:00,37.4151822,-122.4697635,6083,3DDiff (GPSR1),590102.9,164.6,335,-35,77,0.40,322.1,1.3,14,5595,5685,58,131.5,148,1.11,1.77,-0.021,1.002,-0.226,-0.254,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.1,1.1,5680,2.2,,-48.2,5589,5,-3,-13.4,25.8,8073,16.7,151,040007FF N100 N100,41,,,1200,ALT,181,13,16,28.2,75,2360,23.8,14.3,11,11,11.3,5,-33,346,344,341,347,1185,1165,1175,1170,0,0,67,,
2020-09-05,12:55:04,19:55:04,-07:00,37.4158776,-122.4701639,6083,3DDiff (GPSR1),590103.9,164.9,335,-35,77,0.28,321.9,1.3,14,5595,5686,72,131.8,149,1.23,1.86,-0.040,1.006,-0.227,-0.253,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.2,1.0,5680,2.4,,-52.0,5589,5,-2,-13.4,25.8,8072,16.7,152,040007FF N100 N100,42,,,1200,ALT,181,13,16,27.9,75,2350,24.0,14.3,11,11,11.6,5,-33,346,344,342,347,1185,1160,1170,1165,0,0,68,,
2020-09-05,12:55:05,19:55:05,-07:00,37.4165761,-122.4705671,6084,3DDiff (GPSR1),590104.9,165.3,335,-36,77,0.37,322.0,1.3,14,5598,5687,89,132.2,149,1.04,1.88,-0.024,0.968,-0.228,-0.248,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.4,1.0,5680,2.4,,-73.0,5589,5,-3,-13.4,25.8,8073,16.7,152,040007FF N100 N100,31,,,1200,ALT,181,13,16,27.7,75,2350,24.3,14.3,11,11,11.9,5,-33,347,345,342,347,1180,1160,1165,1165,0,0,69,,
2020-09-05,12:55:06,19:55:06,-07:00,37.4172741,-122.4709699,6084,3DDiff (GPSR1),590105.9,165.6,335,-36,77,0.22,322.0,1.3,14,5600,5690,61,132.5,150,0.90,1.99,-0.033,0.963,-0.229,-0.255,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.4,0.8,5680,2.4,,-87.1,5589,6,-4,-13.4,25.8,8074,16.7,152,040007FF N100 N100,34,,,1200,ALT,181,13,16,27.6,75,2350,24.5,14.3,11,11,12.2,5,-33,347,345,343,347,1180,1155,1165,1160,0,0,69,,
2020-09-05,12:55:07,19:55:07,-07:00,37.4179748,-122.4713748,6084,3DDiff (GPSR1),590106.9,166.0,335,-36,78,0.02,321.9,1.3,14,5598,5689,19,132.8,150,1.05,2.07,-0.046,0.992,-0.231,-0.260,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.4,0.8,5680,2.5,,-70.5,5589,6,-3,-13.4,25.8,8074,16.7,152,040007FF N100 N100,26,,,1200,ALT,181,13,16,27.4,75,2350,24.5,14.3,11,11,12.4,5,-33,347,345,343,348,1175,1155,1160,1160,0,0,70,,
2020-09-05,12:55:08,19:55:08,-07:00,37.4186722,-122.4717769,6084,3DDiff (GPSR1),590107.9,166.4,335,-36,78,0.02,322.0,1.3,14,5597,5689,-29,133.0,150,1.03,2.18,-0.061,0.961,-0.232,-0.254,325,5500,,,30.02,122.800,GPS,,,,,,,,,,,,,AP,HDG,ALT,2.4,0.8,5680,2.4,,-69.7,5589,6,-4,-13.4,25.8,8072,16.6,152,040007FF N100 N100,31,,,1200,ALT,181,13,16,27.6,75,2350,24.7,14.3,11,11,12.7,5,-33,347,345,343,348,1175,1150,1155,1155,0,0,70,,
