#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="31.2",engine_hours="31.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-09-27,12:25:04,19:25:04,-07:00,+36.9348837,-121.7887116,112,3D- (PFD1),69922.3,0.0,,0,0,0.00,,2.1,5,161,151,1,0.0,0,,,-0.017,0.969,+0.226,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,36.0,2584,,,081101F8 A34 A34,17,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,147,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:04,19:25:04,-07:00,+36.9348806,-121.7887147,114,3D- (PFD1),69922.4,0.0,,0,0,0.00,,1.8,6,161,151,2,0.0,-0,,,-0.027,0.981,+0.248,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,36.0,2584,,,081101F8 A34 A34,19,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,147,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:05,19:25:05,-07:00,+36.9348774,-121.7887267,116,3D- (PFD1),69923.4,0.0,,0,0,0.00,,1.8,6,161,151,3,0.0,1,,,-0.013,0.975,+0.386,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.0,36.0,2582,,,081101F8 A37 A37,24,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,147,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:06,19:25:06,-07:00,+36.9348743,-121.7887378,119,3D- (PFD1),69924.4,0.0,,0,0,0.00,,1.8,6,161,151,-6,-0.0,0,,,-0.009,0.980,+0.436,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,36.0,2580,,,081101F8 A39 A39,23,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:07,19:25:07,-07:00,+36.9348613,-121.7887718,133,3D- (PFD1),69925.4,0.0,,0,0,0.00,,1.8,6,161,151,-1,-0.0,0,,,-0.009,0.976,+0.422,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,36.0,2578,,,081101F8 A42 A42,33,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:08,19:25:08,-07:00,+36.9348597,-121.7887668,132,3D- (PFD1),69926.4,0.0,,0,0,0.00,,2.1,5,161,151,2,0.0,1,,,-0.008,0.975,+0.371,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,36.0,2577,,,081101F8 A44 A44,25,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:09,19:25:09,-07:00,+36.9348593,-121.7887629,133,3D- (PFD1),69927.4,0.0,,0,0,0.00,,2.1,5,161,151,-5,0.0,0,,,-0.013,0.980,+0.317,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,36.0,2575,,,081101F8 A46 A46,18,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:10,19:25:10,-07:00,+36.9348585,-121.7887618,134,3D- (PFD1),69928.4,0.0,,0,0,0.00,,1.8,6,161,151,9,0.1,2,,,-0.007,0.977,+0.279,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,35.9,2573,,,081101F8 A49 A49,15,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-09-27,12:25:11,19:25:11,-07:00,+36.9348579,-121.7887608,134,3D (PFD1),69929.4,0.0,,0,0,-0.00,,2.1,5,161,151,5,-0.0,0,,,-0.009,0.982,+0.260,,200,,,,29.91,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,35.9,2572,,,040001F8 A50 A50,18,,,1200,ALT,158,17,16,3.7,0,0,30.0,12.6,0,5,0.0,-96,24,152,148,154,152,130,130,135,135,0,0,0,FUEL PRESS/OIL PRESS,,59
