#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="33.1",engine_hours="33.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-10-09,15:55:25,22:55:25,-07:00,+37.5104342,-122.4908328,11,3D-,514542.7,0.0,,0,0,0.00,,2.3,5,10,92,13,0.0,0,,,-0.009,0.974,+2.216,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,19.4,530,,,081101F8 A97 A97,6,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:26,22:55:26,-07:00,+37.5104353,-122.4908295,12,3D,514543.6,0.0,,0,0,0.01,,2.3,5,10,92,4,0.0,0,,,-0.009,0.974,+3.095,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,530,,,040001F8 A98 A98,6,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:27,22:55:27,-07:00,+37.5104357,-122.4908237,11,3D,514544.6,0.0,,0,0,0.01,221.1,2.3,5,10,92,-2,0.0,0,10.28,0.53,-0.010,0.975,+3.856,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,530,,,040007FF D5 D5,5,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:28,22:55:28,-07:00,+37.5104315,-122.4908248,13,3D,514545.6,0.0,,0,0,0.00,221.1,2.3,5,10,92,-3,0.0,0,10.30,0.57,-0.009,0.973,+4.554,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,529,,,040007FF D12 D12,6,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:29,22:55:29,-07:00,+37.5104294,-122.4908288,14,3D,514546.6,0.0,,0,0,0.00,221.1,2.3,5,10,92,-3,0.0,0,10.33,0.54,-0.010,0.974,+6.367,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,529,,,040007FF D17 D17,6,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:30,22:55:30,-07:00,+37.5104293,-122.4908313,14,3D,514547.6,0.0,,0,0,0.00,221.1,2.3,5,10,92,-10,-0.0,-0,10.31,0.51,-0.010,0.974,+7.275,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,529,,,040007FF D24 D24,5,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,60,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:31,22:55:31,-07:00,+37.5104253,-122.4908421,18,3D,514548.6,0.0,,0,0,-0.00,221.1,1.5,7,10,92,-3,-0.0,0,10.34,0.55,-0.010,0.973,+7.567,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,528,,,040007FF D31 D31,6,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,62,64,63,65,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:32,22:55:32,-07:00,+37.5104218,-122.4908511,22,3D,514549.6,0.0,,0,0,-0.00,221.1,1.5,7,10,92,3,0.0,0,10.38,0.59,-0.009,0.974,+8.066,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,528,,,040007FF D41 D41,5,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,63,64,63,65,60,60,65,0,0,0,FUEL PRESS/OIL PRESS,,59
2020-10-09,15:55:33,22:55:33,-07:00,+37.5104203,-122.4908544,23,3D,514550.6,0.0,,0,0,-0.00,221.1,1.5,7,10,92,6,0.0,0,10.41,0.64,-0.010,0.974,+7.626,,317,,,,30.01,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.4,527,,,040007FF D48 D48,5,,,1200,ALT,70,21,20,0.0,0,0,29.8,12.4,0,5,0.0,4,38,45,66,63,64,63,65,60,65,65,0,0,0,FUEL PRESS/OIL PRESS,,59
