#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="41.6",engine_hours="41.6"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-10-31,15:45:37,22:45:37,-07:00,+36.6647791,-121.6120582,57,3D- (PFD1),600355.2,0.0,,0,0,0.02,,1.3,8,-31,125,3,0.0,-0,,,-0.021,0.982,+0.925,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,PFT,,,,,,,,,,,,-12.9,24.9,1111,,,081101F8 A34 A34,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:37,22:45:37,-07:00,+36.6647791,-121.6120582,57,3D- (PFD1),600355.2,0.0,,0,0,0.02,,1.3,8,-31,125,3,0.0,-0,,,-0.021,0.982,+0.925,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,PFT,,,,,,,,,,,,-12.9,24.9,1111,,,081101F8 A34 A34,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:38,22:45:38,-07:00,+36.6647883,-121.6120667,54,3D- (PFD1),600356.1,0.0,,0,0,0.02,,1.3,8,-31,125,4,0.0,0,,,-0.025,0.978,+0.990,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-12.9,24.9,1112,,,081101F8 A35 A35,5,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:39,22:45:39,-07:00,+36.6647903,-121.6120682,54,3D- (PFD1),600357.1,0.0,,0,0,0.01,,1.3,8,-31,125,2,0.0,0,,,-0.031,0.979,+1.056,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1111,,,081101F8 A38 A38,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:40,22:45:40,-07:00,+36.6647920,-121.6120694,53,3D- (PFD1),600358.1,0.0,,0,0,0.01,,1.3,8,-31,125,5,0.0,0,,,-0.018,0.982,+1.123,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1111,,,081101F8 A40 A40,7,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:41,22:45:41,-07:00,+36.6647935,-121.6120704,53,3D (PFD1),600359.1,0.0,,0,0,-0.00,,1.3,8,-31,125,-11,0.0,-0,,,-0.023,0.978,+1.157,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1111,,,080001F8 A43 A43,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:42,22:45:42,-07:00,+36.6647940,-121.6120704,52,3D (PFD1),600360.1,0.0,,0,0,-0.00,,1.3,8,-32,124,-14,0.0,-0,,,-0.024,0.979,+1.192,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1110,,,080001F8 A45 A45,5,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:43,22:45:43,-07:00,+36.6647947,-121.6120701,52,3D (PFD1),600361.1,0.0,,0,0,0.00,,1.3,8,-31,124,2,0.0,0,,,-0.027,0.977,+1.221,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1110,,,080001F8 A48 A48,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
2020-10-31,15:45:44,22:45:44,-07:00,+36.6647954,-121.6120692,52,3D (PFD1),600362.1,0.0,,0,0,-0.01,,1.3,8,-31,125,1,0.0,0,,,-0.022,0.974,+1.253,,130,,,,30.09,121.700,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,24.9,1110,,,080001F8 A50 A50,6,,,1200,ALT,157,21,20,26.6,0,0,30.0,12.7,0,4,0.0,-16,4,176,173,184,174,135,130,150,135,0,0,0,OIL PRESS,,61
