#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="46.3",engine_hours="46.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-11-27,11:02:47,19:02:47,-08:00,36.8883294,-121.4030876,228,3D,500585.3,0.0,,0,0,0.00,,1.3,9,-80,186,-3,0.0,0,,,-0.009,0.977,0.904,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-302,,,040001F8 A79 A79,6,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:48,19:02:48,-08:00,36.8883285,-121.4030890,228,3D,500586.3,0.0,,0,0,0.00,,1.3,9,-80,186,1,0.0,1,,,-0.009,0.976,0.884,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-301,,,040001F8 A82 A82,5,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:49,19:02:49,-08:00,36.8883279,-121.4030903,228,3D,500587.3,0.0,,0,0,0.00,,1.7,9,-80,186,-1,0.0,0,,,-0.009,0.976,0.816,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-301,,,040001F8 A85 A85,6,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:50,19:02:50,-08:00,36.8883272,-121.4030921,228,3D,500588.3,0.0,,0,0,0.00,,1.3,9,-80,186,2,0.0,0,,,-0.008,0.976,0.768,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-300,,,040001F8 A87 A87,5,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:51,19:02:51,-08:00,36.8883260,-121.4030937,227,3D,500589.3,0.0,,0,0,0.00,,1.3,9,-80,186,-2,0.0,0,,,-0.009,0.977,0.748,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-300,,,040001F8 A90 A90,5,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:52,19:02:52,-08:00,36.8883252,-121.4030949,227,3D,500590.3,0.0,,0,0,0.00,,1.3,9,-80,186,1,0.0,0,,,-0.010,0.976,0.730,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-300,,,040001F8 A92 A92,5,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:53,19:02:53,-08:00,36.8883249,-121.4030952,226,3D,500591.3,0.0,,0,0,-0.01,,1.3,9,-80,186,4,0.0,0,,,-0.010,0.977,0.719,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-300,,,040001F8 A95 A95,6,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:54,19:02:54,-08:00,36.8883246,-121.4030954,226,3D,500592.3,0.0,,0,0,0.00,,1.3,9,-80,186,-1,0.0,0,,,-0.009,0.977,0.683,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-299,,,040001F8 A97 A97,6,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
2020-11-27,11:02:55,19:02:55,-08:00,36.8883244,-121.4030958,226,3D,500593.3,0.0,,0,0,0.00,217.1,1.3,9,-80,186,-5,0.0,0,10.52,0.53,-0.009,0.976,0.676,,85,,,,30.21,123.000,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,13.3,-299,,,040007FF D0 D0,6,,,1200,ALT,154,18,16,0.3,0,0,30.1,12.6,0,5,0.0,-1,-1,209,215,217,214,170,165,185,165,0,0,0,FUEL PRESS/OIL PRESS,,63
