#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="50.0",engine_hours="50.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-12-19,12:56:22,20:56:22,-08:00,+37.5152276,-122.2514435,4,3D-,593799.9,0.0,,0,0,-0.11,,1.3,8,,,,,,,,,,,,300,,,,30.37,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
2020-12-19,12:56:22,20:56:22,-08:00,+37.5152241,-122.2514437,-2,3D-,593800.4,0.0,,0,0,-0.09,,1.3,8,-400,13,-5,0.0,0,,,-0.012,0.977,+1.015,,300,,,,30.37,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.7,-179,,,081101F8 A28 A28,5,,L+,,,141,16,16,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,,,65
2020-12-19,12:56:23,20:56:23,-08:00,+37.5152221,-122.2514492,-8,3D-,593801.3,0.0,,0,0,-0.06,,1.3,8,-400,13,2,0.0,0,,,-0.009,0.977,+1.013,,300,,,,30.37,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.7,-179,,,081101F8 A31 A31,6,,,,,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,,,65
2020-12-19,12:56:24,20:56:24,-08:00,+37.5152222,-122.2514554,-10,3D-,593802.3,0.0,,0,0,-0.04,,1.3,8,-400,13,1,0.0,0,,,-0.011,0.976,+1.011,,300,,,,30.37,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.7,-179,,,081101F8 A33 A33,6,,,,,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
2020-12-19,12:56:25,20:56:25,-08:00,+37.5152216,-122.2514595,-11,3D-,593803.3,0.0,,0,0,-0.03,,1.3,8,-400,13,0,0.0,-0,,,-0.011,0.976,+0.980,,300,,,,30.37,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.7,-180,,,081101F8 A35 A35,5,,,,,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
2020-12-19,12:56:26,20:56:26,-08:00,+37.5152196,-122.2514615,-11,3D-,593804.4,0.0,,0,0,-0.02,,1.3,8,-400,13,-1,0.0,-0,,,-0.009,0.978,+0.934,,300,,,,30.37,121.600,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.7,-180,,,081101F8 A37 A37,7,,L+,1200,ALT,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
2020-12-19,12:56:27,20:56:27,-08:00,+37.5152182,-122.2514622,-10,3D-,593805.3,0.0,,0,0,-0.02,,1.3,8,-400,13,-2,0.0,0,,,-0.014,0.978,+0.911,,300,,,,30.37,121.600,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,17.6,-180,,,081101F8 A39 A39,5,,,1200,ALT,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
2020-12-19,12:56:28,20:56:28,-08:00,+37.5152160,-122.2514616,-10,3D-,593806.3,0.0,,0,0,-0.02,,1.3,8,-400,13,1,0.0,0,,,-0.011,0.978,+0.895,,300,,,,30.37,121.600,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,17.6,-181,,,081101F8 A41 A41,7,,,1200,ALT,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
2020-12-19,12:56:29,20:56:29,-08:00,+37.5152137,-122.2514600,-10,3D-,593807.3,0.0,,0,0,-0.01,,1.3,8,-400,13,-1,0.0,0,,,-0.009,0.972,+0.881,,300,,,,30.37,121.600,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,17.6,-181,,,081101F8 A43 A43,7,,,1200,ALT,141,16,17,21.7,0,0,30.4,12.6,0,5,0.0,-63,-1,39,142,133,142,139,115,115,115,115,0,0,0,OIL PRESS,,65
