#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="54.9",engine_hours="54.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2020-12-31,15:00:23,23:00:23,-08:00,+38.5318256,-121.7887885,71,3D-,428440.8,0.0,,0,0,-0.21,,1.3,8,,,,,,,,,,,,20,,,,30.15,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
2020-12-31,15:00:24,23:00:24,-08:00,+38.5318387,-121.7887854,68,3D-,428441.8,0.0,,0,0,-0.12,,1.3,8,-139,72,0,0.0,2,,,-0.023,0.979,-0.497,,20,,,,30.15,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,15.7,-91,,,081101F8 A24 A24,8,,L+,,,130,20,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,,,66
2020-12-31,15:00:25,23:00:25,-08:00,+38.5318505,-121.7887834,68,3D-,428442.8,0.0,,0,0,-0.08,,1.3,8,-139,72,-9,4.5,4,,,-0.025,0.975,-0.578,,20,,,,30.15,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,15.7,-91,,,081101F8 A26 A26,6,,,,,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,,,66
2020-12-31,15:00:26,23:00:26,-08:00,+38.5318621,-121.7887797,65,3D-,428443.8,0.0,,0,0,-0.06,,1.8,8,-139,72,-14,3.7,4,,,-0.023,0.972,-0.681,,20,,,,30.15,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,15.7,-91,,,081101F8 A29 A29,11,,,,,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:27,23:00:27,-08:00,+38.5318671,-121.7887767,63,3D-,428444.9,0.0,,0,0,-0.04,,1.3,8,-138,72,7,11.1,11,,,-0.024,0.978,-1.006,,20,,,,30.15,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,15.7,-92,,,081101F8 A32 A32,14,,,,,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:28,23:00:28,-08:00,+38.5318711,-121.7887788,61,3D-,428445.8,0.0,,0,0,-0.03,,1.3,8,-139,73,-5,7.0,7,,,-0.017,0.977,-1.049,,20,,,,30.15,123.075,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.3,15.7,-92,,,081101F8 A34 A34,13,,L+,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:29,23:00:29,-08:00,+38.5318746,-121.7887804,60,3D-,428446.8,0.0,,0,0,-0.03,,1.3,8,-139,72,-4,2.8,3,,,-0.022,0.976,-0.983,,20,,,,30.15,123.075,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.3,15.7,-93,,,081101F8 A37 A37,9,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:30,23:00:30,-08:00,+38.5318770,-121.7887812,59,3D-,428447.8,0.0,,0,0,-0.02,,1.3,8,-138,72,2,2.6,3,,,-0.023,0.975,-0.910,,20,,,,30.15,123.075,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.3,15.7,-93,,,081101F8 A39 A39,6,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:31,23:00:31,-08:00,+38.5318779,-121.7887814,59,3D-,428448.8,0.0,,0,0,-0.02,,1.3,8,-139,72,-6,-0.0,-0,,,-0.023,0.975,-0.822,,20,,,,30.15,123.075,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.3,15.7,-93,,,081101F8 A41 A41,8,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:32,23:00:32,-08:00,+38.5318818,-121.7887513,43,3D-,428449.8,0.0,,0,0,-0.01,,1.3,8,-139,72,-7,-0.0,1,,,-0.023,0.973,-0.550,,20,,,,30.15,123.075,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.3,15.7,-94,,,081101F8 A44 A44,6,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:33,23:00:33,-08:00,+38.5318813,-121.7887515,42,3D-,428450.8,0.0,,0,0,-0.01,,1.3,8,-139,72,-4,4.5,4,,,-0.023,0.976,-0.362,,20,,,,30.15,123.075,GPS,KHAF,69.8,209,209,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.3,15.7,-94,,,081101F8 A47 A47,7,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
2020-12-31,15:00:34,23:00:34,-08:00,+38.5318821,-121.7887502,42,3D-,428451.8,0.0,,0,0,-0.01,,1.3,8,-139,72,-9,1.4,2,,,-0.026,0.974,-0.336,,20,,,,30.15,123.075,GPS,KHAF,69.8,209,209,-0.106,-0.08,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.3,15.7,-95,,,081101F8 A50 A50,8,,,1200,ALT,130,21,20,2.6,0,0,30.0,12.5,0,5,0.0,0,0,86,91,93,97,80,90,90,95,0,0,0,FUEL PRESS/OIL PRESS,,66
