#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="55.9",engine_hours="55.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-01-16,13:35:45,21:35:45,-08:00,+37.5095499,-122.4915561,32,3D- (PFD1),596162.6,0.7,,0,0,0.15,,1.3,7,-175,36,-50,2.4,3,,,-0.005,0.972,+0.795,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.003,+0.00,30381,5.00nm,,,,,Powerup,,,,,,,,,,,,-13.2,13.1,-438,,,081101F8 A32 A32,25,,,1200,ALT,104,21,18,31.3,62,1020,11.4,13.5,5,5,2.2,-4,1,208,220,231,239,845,840,870,850,0,0,16,,,66
2021-01-16,13:35:46,21:35:46,-08:00,+37.5095493,-122.4915519,34,3D (PFD1),596163.6,0.8,,0,0,0.09,,1.2,9,-175,36,-58,0.0,-0,,,0.003,0.966,+0.910,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.002,+0.00,30381,5.00nm,,,,,Powerup,,,,,,,,,,,,-13.2,13.1,-440,,,040001F8 A34 A34,15,,,1200,ALT,104,21,18,31.0,61,1010,11.3,13.9,8,5,2.2,-4,1,209,220,232,239,860,860,885,865,0,0,15,,,66
2021-01-16,13:35:47,21:35:47,-08:00,+37.5095555,-122.4915480,37,3D (PFD1),596164.6,0.9,,0,0,0.06,,1.2,9,-176,36,-7,-0.0,-0,,,0.023,0.955,+1.003,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.003,+0.00,30381,5.00nm,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,13.1,-441,,,040001F8 A37 A37,15,,,1200,ALT,105,21,18,31.6,60,1000,11.6,14.2,11,5,2.2,-4,1,209,220,232,240,870,885,900,880,0,0,14,,,66
2021-01-16,13:35:48,21:35:48,-08:00,+37.5095629,-122.4915425,38,3D (PFD1),596165.6,1.2,,0,1,0.04,,1.2,9,-174,36,13,-0.0,1,,,-0.017,0.956,+0.987,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.003,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-441,,,040001F8 A39 A39,31,,,1200,ALT,106,21,18,32.1,59,1000,12.1,14.3,12,4,2.2,-4,1,209,220,233,240,880,895,910,895,0,0,15,,,66
2021-01-16,13:35:49,21:35:49,-08:00,+37.5095689,-122.4915369,40,3D (PFD1),596166.6,1.3,,1,0,0.02,,1.2,9,-175,36,4,0.0,0,,,0.129,0.948,+0.856,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.003,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-442,,,040001F8 A41 A41,220,,,1200,ALT,106,21,18,32.3,59,1000,12.2,14.3,12,4,2.2,-4,1,209,220,233,240,890,910,920,905,0,0,15,,,66
2021-01-16,13:35:50,21:35:50,-08:00,+37.5095739,-122.4915304,41,3D (PFD1),596167.6,1.4,,1,1,0.00,,1.2,9,-174,36,-6,0.0,0,,,-0.071,0.886,+0.891,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.003,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-442,,,040001F8 A43 A43,193,,,1200,ALT,106,21,18,32.3,59,990,12.2,14.4,13,4,2.2,-4,1,210,220,233,240,900,925,930,920,0,0,15,,,66
2021-01-16,13:35:51,21:35:51,-08:00,+37.5095790,-122.4915244,42,3D (PFD1),596168.6,1.3,,0,1,0.01,,1.2,9,-178,35,-76,-0.0,0,,,-0.086,1.002,+0.918,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.004,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-445,,,040001F8 A44 A44,179,,,1200,ALT,106,21,18,31.3,59,990,12.1,14.4,13,4,2.2,-4,1,210,220,234,241,905,930,935,930,0,0,15,,,66
2021-01-16,13:35:52,21:35:52,-08:00,+37.5095836,-122.4915168,43,3D (PFD1),596169.6,1.4,,0,1,0.00,,1.2,9,-178,34,-43,-0.0,-0,,,0.013,0.940,+0.932,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.004,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-447,,,040001F8 A46 A46,92,,,1200,ALT,107,21,18,31.2,59,990,12.2,14.4,13,4,2.2,-4,1,210,220,234,241,915,935,940,935,0,0,15,,,66
2021-01-16,13:35:53,21:35:53,-08:00,+37.5095885,-122.4915086,43,3D (PFD1),596170.6,1.6,,1,1,0.01,,1.2,9,-177,34,-10,0.0,-0,,,-0.002,0.988,+0.939,,338,,,,30.15,122.800,GPS,KCPU,95.6,66,66,0.004,+0.00,30381,5.00nm,,,,,Fail,,,,,,,,,,,,-13.2,13.1,-448,,,040001F8 A49 A49,18,,,1200,ALT,107,21,18,31.7,59,980,12.1,14.4,13,4,2.2,-4,1,210,220,235,241,920,945,945,940,0,0,15,,,66
