#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="62.5",engine_hours="62.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-02-06,13:45:43,21:45:43,-08:00,+36.9348348,-121.7887937,104,3D-,596761.4,0.0,,0,0,-0.00,,1.3,8,13,214,-3,0.0,-0,,,-0.014,0.977,+0.614,,200,,,,30.14,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,25.3,1213,,,081101F8 A26 A26,6,,,,,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-38,62,151,150,155,151,130,130,130,130,0,0,0,,,67
2021-02-06,13:45:44,21:45:44,-08:00,+36.9348304,-121.7887914,101,3D-,596761.8,0.0,,0,0,-0.00,,1.3,8,13,214,1,0.0,0,,,-0.013,0.977,+0.611,,200,,,,30.14,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,25.3,1213,,,081101F8 A26 A26,6,,,,,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-38,62,151,150,155,151,130,130,130,130,0,0,0,,,67
2021-02-06,13:45:45,21:45:45,-08:00,+36.9348241,-121.7887870,97,3D-,596762.8,0.0,,0,0,-0.00,,1.3,8,13,214,2,0.0,-0,,,-0.013,0.976,+0.607,,200,,,,30.14,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,25.3,1213,,,081101F8 A28 A28,5,,,,,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-38,62,151,150,155,151,130,130,130,130,0,0,0,,,67
2021-02-06,13:45:46,21:45:46,-08:00,+36.9348213,-121.7887911,97,3D-,596763.8,0.0,,0,0,-0.00,,1.3,8,13,215,1,0.0,-0,,,-0.013,0.977,+0.595,,200,,,,30.14,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,25.3,1214,,,081101F8 A31 A31,5,,L+,,,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-31,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:47,21:45:47,-08:00,+36.9348194,-121.7887961,98,3D-,596764.8,0.0,,0,0,-0.00,,1.3,8,13,215,4,0.0,0,,,-0.014,0.976,+0.572,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,25.3,1214,,,081101F8 A33 A33,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-24,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:48,21:45:48,-08:00,+36.9348188,-121.7887961,99,3D-,596765.8,0.0,,0,0,-0.00,,1.3,8,13,215,3,0.0,0,,,-0.014,0.976,+0.547,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.0,25.3,1215,,,081101F8 A36 A36,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-17,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:49,21:45:49,-08:00,+36.9348194,-121.7887961,100,3D-,596766.8,0.0,,0,0,0.00,,1.7,8,13,215,-0,0.0,0,,,-0.013,0.976,+0.520,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.3,1216,,,081101F8 A38 A38,5,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-9,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:50,21:45:50,-08:00,+36.9348439,-121.7888398,127,3D-,596767.8,0.0,,0,0,0.00,,1.7,8,13,215,-4,0.0,-0,,,-0.015,0.976,+0.509,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.3,1216,,,081101F8 A40 A40,5,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:51,21:45:51,-08:00,+36.9348446,-121.7888384,128,3D-,596768.8,0.0,,0,0,0.00,,1.7,8,13,215,-1,0.0,-0,,,-0.013,0.976,+0.515,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.3,1216,,,081101F8 A43 A43,5,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:52,21:45:52,-08:00,+36.9348452,-121.7888378,128,3D-,596769.8,0.0,,0,0,0.00,,1.3,8,13,214,-5,0.0,0,,,-0.014,0.976,+0.552,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1217,,,081101F8 A45 A45,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:53,21:45:53,-08:00,+36.9348450,-121.7888372,129,3D,596770.8,0.0,,0,0,0.01,,1.3,8,13,214,0,0.0,0,,,-0.013,0.976,+0.625,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1217,,,081101F8 A47 A47,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:54,21:45:54,-08:00,+36.9348449,-121.7888371,129,3D,596771.8,0.0,,0,0,0.00,,1.3,8,13,214,-0,0.0,0,,,-0.015,0.977,+0.672,,200,,,,30.14,122.800,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1218,,,040001F8 A49 A49,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:55,21:45:55,-08:00,+36.9348448,-121.7888369,130,3D,596772.8,0.0,,0,0,0.00,,1.3,8,13,214,1,0.0,0,,,-0.013,0.975,+0.702,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.034,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1218,,,040001F8 A52 A52,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:56,21:45:56,-08:00,+36.9348445,-121.7888368,130,3D,596773.8,0.0,,0,0,-0.00,,1.3,8,13,214,2,0.0,0,,,-0.014,0.977,+0.699,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.034,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1219,,,040001F8 A55 A55,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:57,21:45:57,-08:00,+36.9348442,-121.7888367,130,3D,596774.8,0.0,,0,0,0.00,,1.3,8,13,215,1,0.0,0,,,-0.014,0.977,+0.646,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.034,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1219,,,040001F8 A58 A58,5,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,150,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:58,21:45:58,-08:00,+36.9348435,-121.7888373,130,3D,596775.8,0.0,,0,0,0.00,,1.3,8,13,215,5,0.0,-0,,,-0.014,0.976,+0.602,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.035,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1220,,,040001F8 A60 A60,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,151,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:45:59,21:45:59,-08:00,+36.9348424,-121.7888383,131,3D,596776.8,0.0,,0,0,0.00,,1.3,8,13,215,-0,0.0,0,,,-0.014,0.976,+0.590,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.035,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1220,,,040001F8 A62 A62,7,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,151,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:46:00,21:46:00,-08:00,+36.9348417,-121.7888391,131,3D,596777.8,0.0,,0,0,-0.00,,1.3,8,13,215,2,0.0,1,,,-0.014,0.977,+0.570,,200,,,,30.14,122.800,GPS,17CL,25.0,292,292,0.035,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1221,,,040001F8 A65 A65,7,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,151,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
2021-02-06,13:46:01,21:46:01,-08:00,+36.9348404,-121.7888403,130,3D,596778.8,0.0,,0,0,0.00,,1.1,10,13,215,-3,0.0,0,,,-0.014,0.977,+0.563,,200,1100,,,30.14,122.800,GPS,17CL,25.0,292,292,0.035,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.0,25.4,1221,,,040001F8 A68 A68,6,,,1200,ALT,152,17,10,20.6,0,0,30.0,12.7,0,4,0.0,-6,62,151,151,155,151,130,130,130,130,0,0,0,OIL PRESS,,67
