#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="66.7",engine_hours="66.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-05-13,14:41:57,21:41:57,-07:00,+36.6675208,-121.6119478,49,3D-,423734.8,0.1,,0,0,0.04,,1.6,6,-52,241,-0,0.0,0,,,-0.009,0.984,+1.321,,300,,,,30.24,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.9,21.0,633,,,081101F8 A25 A25,14,,,,,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,,,68
2021-05-13,14:41:57,21:41:57,-07:00,+36.6675142,-121.6119334,57,3D-,423735.4,0.0,,0,0,0.02,,1.5,7,-52,241,5,0.0,0,,,-0.007,0.979,+1.281,,300,,,,30.24,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.9,21.0,633,,,081101F8 A27 A27,11,,,,,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:41:58,21:41:58,-07:00,+36.6675021,-121.6119211,69,3D-,423736.3,0.0,,0,0,0.02,,1.5,7,-52,242,4,0.0,0,,,-0.009,0.980,+1.211,,300,,,,30.24,,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.9,20.9,633,,,081101F8 A30 A30,8,,L+,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:41:59,21:41:59,-07:00,+36.6674958,-121.6119291,81,3D-,423737.3,0.0,,0,-0,0.02,,1.6,5,-52,242,12,0.0,1,,,-0.020,0.970,+1.203,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.9,20.9,632,,,081101F8 A32 A32,7,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:42:00,21:42:00,-07:00,+36.6674869,-121.6119307,86,3D-,423738.4,0.9,,0,-0,0.02,,2.0,5,-51,242,10,0.0,0,,,-0.010,0.981,+1.263,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.9,20.9,632,,,081101F8 A35 A35,8,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:42:01,21:42:01,-07:00,+36.6673579,-121.6119721,94,3D-,423739.3,1.3,,0,0,-0.18,,1.5,6,-52,242,5,-0.1,1,,,-0.010,0.979,+1.315,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-12.9,20.9,631,,,081101F8 A38 A38,6,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:42:02,21:42:02,-07:00,+36.6680415,-121.6130322,131,3D-,423740.2,2.0,,2,-1,0.07,,1.4,7,-52,242,-3,-0.0,1,,,-0.010,0.979,+1.269,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,20.9,630,,,081101F8 A40 A40,7,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:42:03,21:42:03,-07:00,+36.6680425,-121.6130275,158,3D-,423741.2,2.2,,2,-4,0.09,,1.8,7,-51,242,9,-0.0,0,,,-0.011,0.980,+1.262,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,20.9,629,,,081101F8 A43 A43,6,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
2021-05-13,14:42:04,21:42:04,-07:00,+36.6670923,-121.6119689,256,3D-,423742.4,23.4,198,-9,-16,-0.42,,1.9,6,-51,242,8,-0.0,0,,,-0.007,0.973,+1.246,,300,,,,30.24,119.525,GPS,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.9,20.9,629,,,081101F8 A45 A45,13,,,1200,ALT,66,18,16,0.1,0,0,29.9,12.2,0,4,0.0,-5,46,62,58,60,59,60,60,60,60,0,0,0,FUEL PRESS/OIL PRESS,,68
