#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2D",product="GDU 460",software_version="8.72",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="68.0",engine_hours="68.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-05-18,10:06:22,17:06:22,-07:00,+37.5153718,-122.2514243,39,3D,234399.9,0.0,,0,0,-0.04,,1.2,10,-179,15,,5.6,,,,-0.005,1.010,+0.984,,317,,,,30.13,,GPS,KHAF,11.9,270,271,-0.211,-0.17,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,080001F8 A9 A7,37,,,,,63,12,16,22.0,9,1700,19.8,12.3,0,4,6.0,-11,12,67,66,63,65,635,705,675,670,0,0,,,,68
2021-05-18,10:06:23,17:06:23,-07:00,+37.5153691,-122.2514238,37,3D,234400.6,0.0,,0,0,-0.03,,1.2,10,-181,14,,5.8,,,,-0.023,1.025,+1.075,,317,,,,30.13,,GPS,KHAF,11.9,270,271,-0.211,-0.17,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,040001F8 A9 A9,42,,,,,63,12,16,22.8,12,1600,17.9,12.3,0,4,5.7,-11,12,68,67,64,66,715,770,745,740,0,0,,OIL PRESS,,68
2021-05-18,10:06:24,17:06:24,-07:00,+37.5153666,-122.2514211,34,3D,234401.6,0.0,,0,0,-0.02,,1.2,10,-182,12,,6.0,,,,-0.005,0.961,+1.133,,317,,,,30.13,,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,040001F8 A9 A9,25,,,,,63,12,16,23.9,18,1470,15.9,12.3,0,4,4.9,-11,12,69,68,65,68,790,835,815,810,0,0,,OIL PRESS,,68
2021-05-18,10:06:25,17:06:25,-07:00,+37.5153669,-122.2514207,33,3D,234402.6,0.0,,0,0,-0.01,,1.2,10,-183,11,,7.0,,,,-0.016,0.973,+1.208,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,040001F8 A9 A9,22,,L+,1200,ALT,63,12,16,24.7,25,1430,14.7,12.3,0,4,4.4,-11,12,71,69,66,69,845,875,860,850,0,0,,OIL PRESS,,68
2021-05-18,10:06:26,17:06:26,-07:00,+37.5153667,-122.2514210,31,3D,234403.6,0.0,,0,0,-0.01,,1.2,10,-183,11,-36,-0.2,,,,-0.001,0.980,+1.095,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,-13.2,,,,,040001F8 A9 A9,25,,,1200,ALT,63,12,16,25.8,36,1410,14.3,12.3,0,4,4.1,-11,12,72,70,68,70,895,915,905,895,0,0,,OIL PRESS,,68
2021-05-18,10:06:27,17:06:27,-07:00,+37.5153669,-122.2514217,30,3D,234404.6,0.0,,0,0,-0.01,,1.2,10,-182,10,20,8.3,,,,-0.017,0.977,+0.961,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,20.3,,,,040001F8 A9 A9,13,,,1200,ALT,63,12,16,26.8,48,1410,14.3,12.3,0,4,3.9,-11,12,74,72,69,72,930,940,935,925,0,0,25,,,68
2021-05-18,10:06:28,17:06:28,-07:00,+37.5153669,-122.2514216,30,3D,234405.6,0.0,,0,0,-0.00,,1.2,10,-182,11,11,7.6,,,,-0.009,0.979,+0.898,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.2,20.4,,,,040001F8 A9 A9,20,,,1200,ALT,63,12,16,27.3,57,1410,14.4,12.3,0,4,3.9,-11,12,75,73,71,73,960,965,955,945,0,0,25,,,68
2021-05-18,10:06:29,17:06:29,-07:00,+37.5153667,-122.2514217,29,3D,234406.6,0.0,,0,0,-0.00,,1.2,10,-183,10,-14,6.9,,,,-0.008,0.988,+0.969,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.2,20.4,,,,040001F8 A9 A9,29,,,1200,ALT,63,12,16,27.5,66,1410,14.4,12.3,0,4,3.8,-11,12,77,74,72,74,985,985,980,970,0,0,25,,,68
2021-05-18,10:06:30,17:06:30,-07:00,+37.5153664,-122.2514214,29,3D,234407.6,0.0,,0,0,-0.00,,1.2,10,-183,10,-12,4.4,,,,-0.012,1.002,+1.113,,317,,,,30.13,121.600,GPS,KHAF,11.9,270,271,-0.210,-0.17,7595,1.25nm,,,,,Fail,,,,,,,,,,,,-13.2,20.4,,,,040001F8 A9 A9,44,,,1200,ALT,63,12,16,27.5,72,1410,14.4,12.3,0,5,3.8,-11,12,79,75,74,76,1005,1000,1000,985,0,0,25,,,68
