#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="70.5",engine_hours="70.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-06-11,17:48:44,00:48:44,-07:00,+37.5104769,-122.4908418,28,3D (PFD1),521342.4,0.0,,0,0,-0.00,212.6,1.8,6,-102,91,1,0.2,1,10.50,0.90,-0.020,0.977,-0.145,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail/Servo communication fault,,,,,,,,,,,,-13.2,21.0,581,,,040007FF D67 D67,8,,,,,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,,,69
2021-06-11,17:48:45,00:48:45,-07:00,+37.5104777,-122.4908412,27,3D (PFD1),521342.6,0.0,,0,0,-0.00,212.6,1.8,6,-102,91,-0,0.2,1,10.49,0.89,-0.013,0.974,-0.374,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,581,,,040007FF D70 D70,7,,,,,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,,,69
2021-06-11,17:48:46,00:48:46,-07:00,+37.5104792,-122.4908401,27,3D (PFD1),521343.6,0.0,,0,0,-0.00,212.6,4.4,6,-102,91,-6,0.1,1,10.50,0.86,-0.010,1.000,-1.284,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,582,,,040007FF D79 D79,8,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:47,00:48:47,-07:00,+37.5104824,-122.4908376,25,3D (PFD1),521344.6,0.0,,0,0,-0.00,212.6,1.8,6,-102,91,-5,-0.0,1,10.49,0.79,-0.013,0.978,-1.743,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,581,,,040007FF D86 D86,11,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:48,00:48:48,-07:00,+37.5104854,-122.4908353,24,3D (PFD1),521345.6,0.0,,0,0,-0.00,212.6,1.8,6,-102,91,-1,-0.0,1,10.46,0.81,-0.012,0.977,-1.899,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,581,,,020007FF D94 D94,5,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:49,00:48:49,-07:00,+37.5104803,-122.4908384,26,3D (PFD1),521346.6,0.0,,0,0,-0.00,212.6,1.2,8,-102,91,2,0.0,0,10.45,0.83,-0.019,0.971,-1.832,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,582,,,040007FF D98 D98,6,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:50,00:48:50,-07:00,+37.5104733,-122.4908431,28,3D (PFD1),521347.6,0.0,,0,0,-0.00,212.5,1.2,8,-102,91,5,0.0,0,10.42,0.92,-0.013,0.974,-1.587,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,582,,,040007FF D98 D98,8,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:51,00:48:51,-07:00,+37.5104679,-122.4908466,30,3D (PFD1),521348.6,0.0,,0,0,0.00,212.5,1.2,8,-102,91,-6,-0.0,0,10.43,0.85,-0.013,0.975,-1.230,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,582,,,040007FF N0 N0,7,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
2021-06-11,17:48:52,00:48:52,-07:00,+37.5104637,-122.4908495,32,3D (PFD1),521349.6,0.0,,0,0,-0.00,212.6,1.2,8,-102,91,0,-0.0,0,10.50,0.80,-0.009,0.971,-0.870,,317,,,,30.13,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,582,,,040007FF N2 N2,7,,,1200,ALT,72,16,18,0.2,0,0,29.8,12.0,0,8,0.0,10,5,68,66,65,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,69
