#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="75.0",engine_hours="75.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-06-18,09:36:28,16:36:28,-07:00,+35.6724431,-120.6368758,800,3D-,491805.6,0.0,,0,0,-0.09,,1.3,8,909,769,-2,0.0,-0,,,-0.027,0.976,+1.522,,300,,,,29.77,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A26 A26,8,,,,,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,,,70
2021-06-18,09:36:28,16:36:28,-07:00,+35.6724425,-120.6368729,800,3D-,491805.6,0.0,,0,0,-0.08,,1.3,8,909,769,-2,0.0,-0,,,-0.024,0.976,+1.519,,300,,,,29.77,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A26 A26,8,,,,,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,,,70
2021-06-18,09:36:29,16:36:29,-07:00,+35.6724408,-120.6368654,797,3D-,491806.6,0.0,,0,0,-0.05,,1.3,8,909,769,-5,0.0,0,,,-0.026,0.981,+1.367,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A28 A28,8,,L+,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:30,16:36:30,-07:00,+35.6724384,-120.6368616,799,3D-,491807.6,0.0,,0,0,-0.04,,1.3,8,909,769,-1,0.0,-0,,,-0.023,0.985,+1.227,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2750,,,081101F8 A31 A31,7,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:31,16:36:31,-07:00,+35.6724377,-120.6368622,803,3D-,491808.6,0.0,,0,0,-0.03,,1.3,8,909,769,-1,0.0,2,,,-0.024,0.975,+1.068,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2750,,,081101F8 A32 A32,5,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:32,16:36:32,-07:00,+35.6724384,-120.6368639,806,3D-,491809.6,0.0,,0,0,-0.02,,1.3,8,909,769,-1,0.0,1,,,-0.024,0.973,+0.927,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A34 A34,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:33,16:36:33,-07:00,+35.6724389,-120.6368644,806,3D-,491810.6,0.0,,0,0,-0.01,,1.3,8,909,769,2,0.0,1,,,-0.026,0.983,+0.843,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A36 A36,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:34,16:36:34,-07:00,+35.6724392,-120.6368632,806,3D-,491811.6,0.0,,0,0,-0.01,,1.3,8,909,769,5,0.0,0,,,-0.029,0.978,+0.757,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A38 A38,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:35,16:36:35,-07:00,+35.6724386,-120.6368601,805,3D,491812.6,0.0,,0,0,0.00,,1.3,8,909,769,8,0.0,-0,,,-0.030,0.977,+0.684,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,081101F8 A40 A40,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:36,16:36:36,-07:00,+35.6724382,-120.6368583,804,3D,491813.6,0.0,,0,0,-0.00,,1.3,8,909,769,3,0.0,-0,,,-0.024,0.977,+0.647,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,040001F8 A43 A43,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:37,16:36:37,-07:00,+35.6724384,-120.6368583,804,3D,491814.6,0.0,,0,0,-0.00,,1.3,8,909,769,-3,0.0,1,,,-0.024,0.977,+0.678,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,040001F8 A46 A46,8,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:38,16:36:38,-07:00,+35.6724400,-120.6368596,803,3D,491815.6,0.0,,0,0,-0.00,,1.3,8,909,769,-1,0.0,0,,,-0.027,0.978,+0.713,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,040001F8 A48 A48,6,,,1200,ALT,181,17,17,20.0,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
2021-06-18,09:36:39,16:36:39,-07:00,+35.6724416,-120.6368612,803,3D,491816.6,0.0,,0,0,-0.00,,1.3,8,909,769,3,0.0,-0,,,-0.027,0.978,+0.705,,300,,,,29.77,123.000,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-12.5,29.3,2751,,,040001F8 A51 A51,7,,,1200,ALT,181,17,17,19.9,0,0,29.1,12.5,0,5,0.0,-31,29,227,226,241,233,195,195,210,195,0,0,0,OIL PRESS,,70
