#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="77.6",engine_hours="77.6"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-07-05,14:02:38,21:02:38,-07:00,+37.5105342,-122.4909583,37,3D-,162175.9,5.0,,-1,-1,0.36,,2.2,6,-77,42,-24,0.0,0,,,-0.001,0.974,+1.103,,120,,,,30.05,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A25 A25,7,,,,,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,,,70
2021-07-05,14:02:39,21:02:39,-07:00,+37.5105518,-122.4909310,20,3D-,162176.8,2.0,,0,0,0.34,,2.2,6,-76,43,-11,0.0,0,,,0.000,0.976,+1.083,,120,,,,30.05,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A28 A28,7,,,,,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,,,70
2021-07-05,14:02:40,21:02:40,-07:00,+37.5105469,-122.4909317,16,3D-,162177.7,0.3,,0,0,0.14,,2.2,6,-76,43,-5,0.0,-0,,,0.001,0.978,+1.041,,120,,,,30.05,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A29 A29,6,,L+,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:41,21:02:41,-07:00,+37.5105421,-122.4909317,10,3D-,162178.7,0.0,,0,0,0.09,,2.2,6,-76,43,5,0.0,-0,,,-0.001,0.976,+1.012,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A31 A31,6,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:42,21:02:42,-07:00,+37.5105401,-122.4909318,8,3D-,162179.7,0.0,,0,0,0.06,,1.7,7,-76,43,7,0.0,1,,,0.002,0.977,+1.000,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A33 A33,6,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:43,21:02:43,-07:00,+37.5105419,-122.4909257,7,3D-,162180.7,0.0,,0,0,0.05,,1.7,7,-76,43,6,0.0,-0,,,0.001,0.975,+0.974,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,19.5,436,,,081101F8 A35 A35,6,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:44,21:02:44,-07:00,+37.5105441,-122.4909227,12,3D-,162181.7,0.0,,0,0,0.04,,1.7,7,-76,43,5,0.0,-0,,,0.002,0.975,+0.940,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,435,,,081101F8 A38 A38,7,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:45,21:02:45,-07:00,+37.5105490,-122.4909183,13,3D-,162182.7,0.0,,0,0,0.03,,1.7,7,-75,43,16,0.0,-0,,,0.000,0.978,+0.953,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,435,,,081101F8 A40 A40,10,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
2021-07-05,14:02:46,21:02:46,-07:00,+37.5105516,-122.4909174,14,3D-,162183.7,0.0,,0,0,0.02,,1.7,7,-75,43,13,0.0,0,,,0.001,0.976,+0.970,,120,,,,30.05,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,435,,,081101F8 A42 A42,8,,,1200,ALT,168,18,20,9.2,0,0,29.9,12.7,0,4,0.0,-5,29,208,203,217,207,160,155,170,155,0,0,0,FUEL PRESS/OIL PRESS,,70
