#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="85.7",engine_hours="85.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Temp1 (deg F),Temp2 (deg F),Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,,,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-08-27,14:52:11,21:52:11,-07:00,+37.5134289,-122.4952332,4,3D (SFD1),510731.0,0.7,,0,0,0.04,,1.3,8,187,66,-8,0.0,0,,,-0.013,0.975,+0.936,,302,,,,29.79,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,25.8,1485,,,081001F8 A24 A24,6,,,,,179,21,20,26.4,0,0,29.8,12.5,0,6,95,,0.0,-58,-23,0,0.01,0.01,169,201,209,208,160,170,195,175,0,0,,,72
2021-08-27,14:52:11,21:52:11,-07:00,+37.5134266,-122.4952226,13,3D (SFD1),510731.5,0.4,,0,0,0.01,,1.8,8,187,65,-8,0.0,0,,,-0.015,0.975,+0.939,,302,,,,29.79,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,25.8,1485,,,081001F8 A25 A25,6,,,,,179,21,20,26.4,0,0,29.8,12.5,0,6,95,,0.0,-58,-23,0,0.01,0.01,169,201,209,208,160,170,195,175,0,0,,,72
2021-08-27,14:52:12,21:52:12,-07:00,+37.5134171,-122.4952117,16,3D (SFD1),510732.5,0.1,,0,0,0.04,,1.3,8,187,65,-4,0.0,0,,,-0.017,0.976,+0.963,,302,,,,29.79,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,25.8,1484,,,081001F8 A26 A26,8,,,,,179,21,20,26.4,0,0,29.8,12.5,0,6,95,,0.0,-58,-23,0,0.01,0.01,169,201,209,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:13,21:52:13,-07:00,+37.5134274,-122.4952112,16,3D (SFD1),510733.4,0.1,,0,0,0.11,,1.3,8,187,65,-3,0.0,0,,,-0.016,0.975,+0.988,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,25.8,1484,,,081001F8 A29 A29,9,,L+,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,96,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:14,21:52:14,-07:00,+37.5134272,-122.4952047,16,3D (SFD1),510734.5,0.1,,0,0,-0.07,,1.3,8,187,65,7,0.0,0,,,-0.016,0.975,+1.024,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,25.8,1483,,,081101F8 A31 A31,8,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,96,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:15,21:52:15,-07:00,+37.5134242,-122.4952002,12,3D (SFD1),510735.5,0.1,,0,0,0.06,,1.3,8,187,66,4,0.0,0,,,-0.015,0.974,+1.066,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,25.8,1483,,,081101F8 A34 A34,7,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,96,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:16,21:52:16,-07:00,+37.5134299,-122.4952006,14,3D (SFD1),510736.5,0.1,,0,0,-0.06,,1.3,8,187,66,10,0.0,0,,,-0.017,0.975,+1.090,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1482,,,081101F8 A36 A36,7,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,97,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:17,21:52:17,-07:00,+37.5134540,-122.4951977,13,3D (SFD1),510737.5,0.2,,0,0,0.01,,1.3,8,187,66,3,0.0,0,,,-0.014,0.974,+1.111,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1481,,,081101F8 A39 A39,6,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,97,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:18,21:52:18,-07:00,+37.5134563,-122.4951906,20,3D (SFD1),510738.5,0.1,,0,0,0.06,,1.3,8,187,66,-4,0.0,0,,,-0.013,0.977,+1.135,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1480,,,081101F8 A41 A41,7,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,97,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:19,21:52:19,-07:00,+37.5134502,-122.4951995,11,3D (SFD1),510739.5,0.1,,0,0,-0.12,,1.3,8,187,66,1,0.0,0,,,-0.015,0.975,+1.167,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1480,,,081101F8 A43 A43,6,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,98,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:20,21:52:20,-07:00,+37.5134484,-122.4951958,12,3D (SFD1),510740.5,0.1,,0,0,-0.04,,1.3,8,187,66,-3,0.0,0,,,-0.015,0.974,+1.157,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1479,,,081101F8 A45 A45,6,,,1200,ALT,179,21,20,26.4,0,0,29.8,12.5,0,6,98,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
2021-08-27,14:52:21,21:52:21,-07:00,+37.5134477,-122.4951931,13,3D (SFD1),510741.5,0.1,,0,0,0.05,,1.3,8,187,66,-4,0.0,0,,,-0.013,0.976,+1.138,,302,,,,29.79,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,25.8,1479,,,081101F8 A47 A47,6,,,1200,ALT,179,21,20,26.3,0,0,29.8,12.5,0,6,99,,0.0,-58,-23,0,0.01,0.01,169,201,210,208,160,170,195,175,0,0,OIL PRESS,,72
