#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="90.1",engine_hours="90.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-04,15:41:52,22:41:52,-07:00,+35.1033439,-120.6246919,119,3D-,600130.2,0.1,,0,0,0.14,,1.6,6,-16,-17,-33,0.0,2,,,-0.025,0.967,+0.925,,163,,,,29.92,,GPS1,LOI MSG,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-12.4,22.5,861,,,081001F8 A26 A26,21,,,,,121,15,14,31.4,61,1120,12.6,14.2,24,17,2.4,-54,-6,0,0.01,0.01,128,127,131,134,990,1015,995,1000,0,17,,,73
2021-09-04,15:41:53,22:41:53,-07:00,+35.1036384,-120.6247666,4,3D (SFD1),600113.1,0.1,,-0,-0,0.06,,1.6,6,-14,-16,-11,0.0,3,,,-0.021,0.985,+0.772,,163,,,,29.92,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.4,22.5,862,,,081001F8 A28 A28,28,,L+,,,121,15,16,31.4,61,1130,12.5,14.2,24,18,2.4,-54,-6,0,0.01,0.01,129,128,132,135,995,1015,1000,1005,0,17,,,73
2021-09-04,15:41:54,22:41:54,-07:00,+35.1036550,-120.6247698,-6,3D (SFD1),600114.1,0.2,,-0,-0,0.22,,1.6,6,-15,-16,-22,0.0,2,,,-0.029,0.979,+0.685,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.4,22.5,863,,,081001F8 A30 A30,28,,,,,121,15,16,31.5,61,1130,12.4,14.2,24,18,2.4,-54,-6,0,0.01,0.01,130,129,133,136,1000,1025,1000,1005,0,17,,,73
2021-09-04,15:41:55,22:41:55,-07:00,+35.1036681,-120.6247694,-16,3D (SFD1),600115.1,0.1,,-0,-0,0.00,,1.6,6,-16,-16,-35,-0.1,1,,,-0.026,0.977,+0.676,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-12.4,22.6,863,,,081001F8 A32 A32,26,,,1200,ALT,121,15,16,31.5,61,1140,12.4,14.2,24,18,2.4,-54,-6,0,0.01,0.01,131,130,134,136,1005,1030,1000,1010,0,17,,,73
2021-09-04,15:41:56,22:41:56,-07:00,+35.1036763,-120.6247720,-25,3D (SFD1),600116.1,0.2,,-0,-0,0.10,,1.6,6,-16,-17,12,3.5,4,,,-0.014,0.913,+0.677,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-12.4,22.6,863,,,081001F8 A35 A35,42,,,1200,ALT,121,15,16,31.6,62,1150,12.8,14.2,24,18,2.3,-54,-6,0,0.01,0.01,132,130,135,138,1010,1030,1005,1015,0,18,,,73
2021-09-04,15:41:57,22:41:57,-07:00,+35.1036451,-120.6247568,-4,3D (SFD1),600117.1,0.2,,-0,-0,0.22,,1.6,6,-15,-16,6,1.7,2,,,-0.012,0.985,+0.733,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-12.4,22.6,864,,,081101F8 A37 A37,29,,,1200,ALT,121,15,16,31.8,62,1150,13.0,14.2,24,18,2.3,-54,-6,0,0.01,0.01,133,131,136,139,1015,1035,1010,1015,0,18,,,73
2021-09-04,15:41:58,22:41:58,-07:00,+35.1036344,-120.6247606,3,3D (SFD1),600118.1,0.2,,-0,-0,-0.27,,4.4,6,-14,-16,50,7.9,8,,,-0.015,0.960,+0.846,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Fail/System not usable,,,,,,,,,,,,-12.4,22.6,865,,,081101F8 A39 A39,30,,,1200,ALT,121,15,16,31.9,62,1150,12.8,14.2,23,18,2.3,-54,-6,0,0.01,0.01,134,132,137,140,1020,1040,1010,1020,0,18,,,73
2021-09-04,15:41:59,22:41:59,-07:00,+35.1036433,-120.6247616,1,3D (SFD1),600119.1,0.3,,0,-0,0.69,,1.6,6,-12,-15,44,8.1,8,,,-0.032,0.981,+0.967,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Fail,,,,,,,,,,,,-12.4,22.6,866,,,081101F8 A41 A41,28,,,1200,ALT,121,15,16,31.8,62,1140,12.5,14.2,23,18,2.2,-54,-6,0,0.01,0.01,135,133,138,140,1025,1040,1010,1020,0,18,,,73
2021-09-04,15:42:00,22:42:00,-07:00,+35.1036536,-120.6247618,-6,3D (SFD1),600120.1,0.3,,0,-0,-0.13,,4.5,6,-13,-14,2,4.2,4,,,-0.004,0.973,+1.056,,163,,,,29.92,122.700,GPS1,LOI,,,,,,,,TERM,,,,,Fail,,,,,,,,,,,,-12.4,22.6,865,,,081101F8 A43 A43,40,,,1200,ALT,121,15,16,31.7,62,1140,12.6,14.2,23,18,2.2,-54,-6,0,0.01,0.01,136,134,139,141,1025,1045,1015,1025,0,18,,,73
