#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2K",product="GDU 460",software_version="8.91",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="93.3",engine_hours="93.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-11,13:07:29,20:07:29,-07:00,+37.5136795,-122.4963633,22,3D,590867.2,9.6,,4,-3,0.16,111.1,1.4,8,-91,46,-8,0.8,2,11.06,1.16,-0.036,0.997,+0.215,,300,800,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,20.3,509,,,,040007FF N100 N100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,75
2021-09-11,13:07:30,20:07:30,-07:00,+37.5136678,-122.4963458,22,3D,590867.6,9.7,,4,-3,0.09,111.2,1.4,8,-91,46,-7,0.6,1,11.01,1.25,-0.042,0.969,+0.256,,300,800,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,20.3,509,,,,040007FF N100 N100,24,,,,,174,21,20,31.8,49,0,12.8,13.9,19,20,0.0,-67,-17,0,0.01,0.01,310,300,327,299,970,935,995,1010,0,0,,,75
2021-09-11,13:07:31,20:07:31,-07:00,+37.5136397,-122.4962950,23,3D,590868.8,9.8,,4,-3,0.03,111.2,1.4,8,-91,46,2,1.1,2,11.01,1.13,-0.005,0.987,+0.410,,300,800,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,20.3,509,,,,040007FF N100 N100,34,,,,,174,21,20,31.8,49,350,12.8,14.0,17,18,0.1,-67,-17,0,0.01,0.01,310,300,327,299,970,930,1000,1010,0,0,,,75
2021-09-11,13:07:32,20:07:32,-07:00,+37.5136194,-122.4962581,23,3D,590869.6,9.8,,4,-3,0.02,110.8,1.4,8,-91,46,2,1.0,2,11.09,1.21,-0.037,0.991,+0.530,,300,800,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,20.3,509,,,,040007FF N100 N100,48,,L+,,,174,21,20,31.8,49,740,12.9,14.0,17,17,0.6,-67,-17,0,0.01,0.01,310,300,327,299,970,930,1000,1010,0,2,,,75
2021-09-11,13:07:33,20:07:33,-07:00,+37.5135946,-122.4962090,24,3D,590870.7,9.9,,4,-3,0.01,110.1,1.4,8,-91,46,-1,0.7,1,11.16,1.47,-0.032,0.963,+0.672,,300,800,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,20.3,509,,,,040007FF N100 N100,87,,,,,174,21,20,31.8,49,770,12.9,14.0,16,16,1.2,-67,-17,0,0.01,0.01,310,300,327,299,970,930,1000,1005,0,6,,,75
2021-09-11,13:07:34,20:07:34,-07:00,+37.5135720,-122.4961625,24,3D,590871.6,9.9,,4,-3,0.03,109.8,1.4,8,-91,46,-3,0.5,1,11.26,0.99,-0.017,0.971,+0.837,,300,800,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,-13.2,20.3,510,,,,040007FF N100 N100,54,,,1200,ALT,174,21,20,31.8,49,770,12.9,14.0,15,16,1.6,-67,-17,0,0.01,0.01,310,300,327,299,970,930,1000,1000,0,10,,,75
2021-09-11,13:07:35,20:07:35,-07:00,+37.5135487,-122.4961150,25,3D,590872.6,9.9,,4,-3,-0.01,110.0,1.4,8,-91,46,1,0.0,1,11.15,0.76,0.005,0.979,+0.952,,300,800,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,20.3,510,,,,040007FF N100 N100,57,,,1200,ALT,174,21,20,31.8,49,770,12.9,14.1,15,15,1.8,-67,-17,0,0.01,0.01,310,300,327,299,970,930,995,995,0,12,,,75
2021-09-11,13:07:36,20:07:36,-07:00,+37.5135236,-122.4960658,25,3D,590873.7,9.7,,4,-3,0.01,110.5,1.4,8,-91,46,8,0.6,1,11.09,0.83,-0.008,0.994,+0.955,,300,800,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,20.3,511,,,,040007FF N100 N100,48,,,1200,ALT,174,21,20,31.8,49,780,12.8,14.1,14,15,2.1,-67,-17,0,0.01,0.01,310,300,327,299,970,930,995,990,0,12,,,75
2021-09-11,13:07:37,20:07:37,-07:00,+37.5134996,-122.4960212,25,3D,590874.6,9.7,,4,-3,0.03,111.2,1.4,8,-90,47,19,0.6,1,11.08,0.98,0.008,0.991,+0.929,,300,800,,,30.07,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,20.3,511,,,,040007FF N100 N100,48,,,1200,ALT,174,21,20,31.7,49,780,13.1,14.1,14,15,2.1,-67,-17,0,0.01,0.01,310,300,327,300,970,920,995,1000,0,12,,,75
2021-09-11,13:07:38,20:07:38,-07:00,+37.5134755,-122.4959758,25,3D,590875.6,9.7,,4,-3,0.02,110.2,1.4,8,-90,47,22,1.0,2,10.94,0.95,-0.024,0.974,+0.907,,300,800,,,30.07,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,20.3,512,,,,040007FF N100 N100,40,,L-,1200,ALT,174,21,20,31.2,49,780,13.5,14.1,14,14,2.1,-67,-17,0,0.01,0.01,310,300,327,300,970,915,995,1000,0,13,,,75
2021-09-11,13:07:39,20:07:39,-07:00,+37.5134520,-122.4959288,25,3D,590876.6,9.8,,4,-3,0.01,109.8,2.0,8,-89,48,27,3.3,4,11.05,0.94,-0.026,0.969,+0.878,,300,800,,,30.07,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,20.3,513,,,,040007FF N100 N100,32,,,1200,ALT,174,21,20,30.6,49,790,13.5,14.1,14,14,1.9,-67,-17,0,0.01,0.01,310,300,327,300,970,920,995,1000,0,13,,,75
