#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2K",product="GDU 460",software_version="8.91",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="94.0",engine_hours="94.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-19,11:13:59,18:13:59,-07:00,+37.5138946,-122.4963265,49,3D,65657.2,0.0,,0,0,-0.05,,1.1,10,-152,41,-4,7.5,7,,,-0.030,0.975,+0.336,,300,,,,30.13,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.3,323,,,,081001F8 A25 A25,6,,,,,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,350,400,360,0,0,,,75
2021-09-19,11:14:00,18:14:00,-07:00,+37.5138990,-122.4963260,48,3D,65658.1,0.0,,0,0,-0.02,,1.1,10,-151,41,1,0.0,2,,,-0.031,0.973,+0.302,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.3,324,,,,040001F8 A26 A26,6,,,,,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,350,400,360,0,0,,,75
2021-09-19,11:14:01,18:14:01,-07:00,+37.5139006,-122.4963255,48,3D,65659.2,0.0,,0,0,-0.00,,1.1,10,-151,41,-1,0.0,0,,,-0.029,0.973,+0.403,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.3,325,,,,040001F8 A29 A29,7,,,,,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,350,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:02,18:14:02,-07:00,+37.5139014,-122.4963260,47,3D,65660.1,0.0,,0,0,-0.00,,1.1,10,-151,41,-1,0.3,1,,,-0.034,0.974,+0.617,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.4,326,,,,040001F8 A31 A31,6,,L+,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,350,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:03,18:14:03,-07:00,+37.5139022,-122.4963273,47,3D,65661.1,0.0,,0,0,-0.01,,1.1,10,-151,41,0,0.0,0,,,-0.032,0.973,+1.013,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.4,326,,,,040001F8 A33 A33,6,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:04,18:14:04,-07:00,+37.5139025,-122.4963280,47,3D,65662.1,0.0,,0,0,-0.00,,1.1,10,-151,41,-3,-0.0,-0,,,-0.031,0.972,+1.405,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,19.4,326,,,,040001F8 A35 A35,6,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:05,18:14:05,-07:00,+37.5139033,-122.4963280,46,3D,65663.1,0.0,,0,0,-0.00,,1.1,10,-151,41,1,-0.0,1,,,-0.034,0.972,+1.669,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / System not usable,,,,,,,,,,,,,,-13.2,19.4,326,,,,040001F8 A38 A38,8,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,243,256,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:06,18:14:06,-07:00,+37.5139045,-122.4963276,46,3D,65664.1,0.0,,0,0,0.00,,1.1,10,-151,41,-3,5.7,6,,,-0.029,0.974,+1.739,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,327,,,,040001F8 A41 A41,11,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,256,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:07,18:14:07,-07:00,+37.5139047,-122.4963276,46,3D,65665.1,0.0,,0,0,0.00,,1.1,10,-151,41,-0,2.3,3,,,-0.027,0.973,+1.708,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,327,,,,040001F8 A44 A44,7,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,256,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:08,18:14:08,-07:00,+37.5139047,-122.4963284,46,3D,65666.1,0.0,,0,0,-0.00,,1.1,10,-151,41,6,0.1,1,,,-0.033,0.975,+1.527,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,328,,,,040001F8 A47 A47,10,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,255,265,262,345,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:09,18:14:09,-07:00,+37.5139047,-122.4963296,46,3D,65667.1,0.0,,0,0,0.00,,1.1,10,-151,41,4,3.7,4,,,-0.029,0.975,+1.347,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,328,,,,040001F8 A50 A50,6,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,255,265,262,340,345,400,360,0,0,OIL PRESS,,75
2021-09-19,11:14:10,18:14:10,-07:00,+37.5139046,-122.4963304,46,3D,65668.1,0.0,,0,0,-0.00,,1.1,10,-151,41,4,1.3,2,,,-0.032,0.972,+0.961,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,328,,,,040001F8 A53 A53,7,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,255,265,261,340,345,400,355,0,0,OIL PRESS,,75
2021-09-19,11:14:11,18:14:11,-07:00,+37.5139043,-122.4963314,46,3D,65669.1,0.0,,0,0,0.00,,1.1,10,-151,42,7,4.9,4,,,-0.031,0.972,+0.634,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,328,,,,040001F8 A56 A56,5,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,255,264,261,340,340,400,355,0,0,OIL PRESS,,75
2021-09-19,11:14:12,18:14:12,-07:00,+37.5139042,-122.4963330,46,3D,65670.1,0.0,,0,0,0.00,,1.1,10,-151,41,-6,3.0,2,,,-0.032,0.973,+0.394,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,328,,,,040001F8 A58 A58,5,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,242,255,264,261,340,340,395,355,0,0,OIL PRESS,,75
2021-09-19,11:14:13,18:14:13,-07:00,+37.5139038,-122.4963341,46,3D,65671.1,0.0,,0,0,-0.01,,1.1,10,-151,41,1,5.8,5,,,-0.031,0.973,+0.363,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,327,,,,040001F8 A61 A61,6,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,241,255,264,261,340,340,395,355,0,0,OIL PRESS,,75
2021-09-19,11:14:14,18:14:14,-07:00,+37.5139036,-122.4963352,46,3D,65672.1,0.0,,0,0,0.00,,1.1,10,-151,41,-4,1.3,3,,,-0.023,0.975,+0.312,,300,,,,30.13,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,19.4,327,,,,040001F8 A64 A64,5,,,1200,ALT,151,20,17,,0,0,29.9,12.7,0,6,0.0,-6,-18,0,0.01,0.01,241,255,264,261,340,340,395,355,0,0,OIL PRESS,,75
