#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="94.9",engine_hours="94.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-21,17:40:22,00:40:22,-07:00,+37.5103668,-122.4909143,72,3D,261639.9,0.0,,0,0,0.00,,1.5,6,-109,29,-7,0.0,0,,,-0.013,0.977,+0.608,,360,,,,30.07,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,843,,,081001F8 A24 A24,6,,,,,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,,,75
2021-09-21,17:40:23,00:40:23,-07:00,+37.5103627,-122.4909144,72,3D,261640.7,0.0,,0,0,0.01,,1.5,6,-109,29,-2,0.0,-0,,,-0.013,0.977,+0.630,,360,,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,843,,,040001F8 A27 A27,6,,,,,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,,,75
2021-09-21,17:40:24,00:40:24,-07:00,+37.5103631,-122.4909122,72,3D,261641.7,0.0,,0,0,0.00,,1.5,6,-109,29,5,0.0,0,,,-0.013,0.977,+0.705,,360,,,,30.07,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,842,,,040001F8 A30 A30,5,,,,,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:25,00:40:25,-07:00,+37.5103689,-122.4909113,72,3D,261642.8,0.0,,0,0,0.00,,1.5,6,-108,29,4,0.0,1,,,-0.014,0.976,+0.841,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,842,,,040001F8 A32 A32,6,,L+,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:26,00:40:26,-07:00,+37.5103717,-122.4909102,72,3D,261643.7,0.0,,0,0,0.00,,1.5,6,-108,29,7,0.0,-0,,,-0.013,0.976,+0.961,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,841,,,040001F8 A35 A35,6,,,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:27,00:40:27,-07:00,+37.5103733,-122.4909085,72,3D,261644.8,0.0,,0,0,-0.00,,1.5,6,-108,29,2,0.0,-0,,,-0.013,0.976,+1.089,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,23.4,841,,,040001F8 A37 A37,6,,,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:28,00:40:28,-07:00,+37.5103745,-122.4909068,72,3D,261645.8,0.0,,0,0,-0.00,,1.5,6,-108,29,-4,0.0,0,,,-0.013,0.978,+1.177,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,23.4,840,,,040001F8 A40 A40,5,,L-,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:29,00:40:29,-07:00,+37.5103745,-122.4909055,72,3D,261646.7,0.0,,0,0,0.00,,1.5,6,-109,29,-3,0.0,0,,,-0.012,0.977,+1.199,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,23.3,839,,,040001F8 A41 A41,6,,,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-21,17:40:30,00:40:30,-07:00,+37.5103748,-122.4909038,72,3D,261647.7,0.0,,0,0,0.00,,1.5,6,-109,29,1,0.0,0,,,-0.013,0.977,+1.169,,360,,,,30.07,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,23.3,839,,,040001F8 A44 A44,5,,,1200,ALT,82,14,17,0.0,0,0,29.9,12.3,0,5,0.0,-5,-14,45,0.01,0.01,79,76,77,76,75,75,75,80,0,0,FUEL PRESS/OIL PRESS,,75
