#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="96.7",engine_hours="96.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-26,11:59:49,18:59:49,-07:00,+38.5322236,-121.7886847,,2D- (SFD1),68388.9,0.1,,0,-0,,,2.2,4,-3,43,-2,0.0,-0,,,-0.015,0.978,+1.266,,170,,,,29.97,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.5,1774,,,081081F8 A16 A16,5,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,,,75
2021-09-26,11:59:49,18:59:49,-07:00,+38.5322224,-121.7887345,43,3D (SFD1),68389.5,0.1,,0,-0,0.12,,2.2,4,-3,42,-5,0.0,0,,,-0.016,0.982,+1.267,,170,,,,29.97,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.5,1775,,,081081F8 A17 A17,5,,L+,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,,,75
2021-09-26,11:59:51,18:59:51,-07:00,+38.5322172,-121.7887334,21,3D (SFD1),68390.6,0.1,,0,-0,0.10,,2.2,4,-3,42,-1,0.0,0,,,-0.016,0.982,+1.197,,170,,,,29.97,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.5,1776,,,081081F8 A20 A20,5,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:52,18:59:52,-07:00,+38.5322178,-121.7887371,22,3D (SFD1),68391.6,0.1,,0,-0,0.05,,2.2,4,-3,42,0,0.0,-0,,,-0.017,0.980,+1.107,,170,,,,29.97,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.5,1776,,,081001F8 A22 A22,7,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:53,18:59:53,-07:00,+38.5322171,-121.7887381,24,3D (SFD1),68392.6,0.1,,0,-0,0.16,,2.2,4,-3,42,1,0.0,-0,,,-0.015,0.981,+0.998,,170,,,,29.97,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1777,,,081001F8 A24 A24,7,,L+,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:54,18:59:54,-07:00,+38.5322218,-121.7887296,29,3D (SFD1),68393.6,0.1,,0,-0,0.03,,2.2,4,-3,43,3,0.0,0,,,-0.016,0.979,+0.883,,170,,,,29.97,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1779,,,081001F8 A25 A25,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:55,18:59:55,-07:00,+38.5322177,-121.7887318,26,3D (SFD1),68394.6,0.1,,0,-0,0.08,,2.2,4,-3,43,-2,0.0,0,,,-0.015,0.981,+0.818,,170,,,,29.97,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1780,,,081001F8 A27 A27,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:56,18:59:56,-07:00,+38.5322081,-121.7887390,22,3D (SFD1),68395.6,0.1,,0,-0,0.05,,2.2,4,-3,43,-1,0.0,0,,,-0.015,0.978,+0.827,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1781,,,081001F8 A29 A29,7,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
2021-09-26,11:59:57,18:59:57,-07:00,+38.5321989,-121.7887440,21,3D (SFD1),68396.6,0.1,,0,-0,0.06,,2.2,4,-3,43,3,0.0,0,,,-0.015,0.981,+0.801,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.6,1782,,,081101F8 A32 A32,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,75
