#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="96.7",engine_hours="96.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-09-26,11:59:53,18:59:53,-07:00,+38.5322213,-121.7887301,29,3D (SFD1),68393.5,0.1,,0,-0,0.11,,2.2,4,-3,43,2,0.0,0,,,-0.014,0.980,+0.550,,170,,,,29.97,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1779,,,081001F8 A25 A25,5,,,,,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,,,76
2021-09-26,11:59:54,18:59:54,-07:00,+38.5322248,-121.7887237,31,3D (SFD1),68394.3,0.1,,0,-0,0.05,,2.2,4,-3,43,-2,0.0,0,,,-0.014,0.980,+0.573,,170,,,,29.97,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1780,,,081001F8 A26 A26,6,,,,,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,11:59:55,18:59:55,-07:00,+38.5322159,-121.7887269,26,3D (SFD1),68395.2,0.1,,0,-0,0.05,,2.2,4,-3,43,4,0.0,-0,,,-0.015,0.981,+0.649,,170,,,,29.97,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1780,,,081001F8 A29 A29,6,,L+,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,11:59:56,18:59:56,-07:00,+38.5322084,-121.7887432,23,3D (SFD1),68396.2,0.1,,0,-0,0.08,,2.2,4,-3,43,-2,0.0,1,,,-0.016,0.980,+0.721,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.5,1782,,,081001F8 A31 A31,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,11:59:57,18:59:57,-07:00,+38.5321921,-121.7887455,19,3D (SFD1),68397.2,0.1,,0,-0,0.05,,2.2,4,-2,43,3,0.0,-0,,,-0.016,0.979,+0.729,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.3,30.6,1783,,,081101F8 A33 A33,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,11:59:58,18:59:58,-07:00,+38.5321968,-121.7887401,18,3D (SFD1),68398.2,0.1,,0,-0,0.04,,2.2,4,-3,43,-2,0.0,0,,,-0.015,0.980,+0.719,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.3,30.6,1784,,,081101F8 A35 A35,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,11:59:59,18:59:59,-07:00,+38.5321591,-121.7886547,57,3D,68417.2,0.1,,0,0,-0.00,,2.2,4,-3,43,-0,0.0,0,,,-0.014,0.979,+0.747,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.6,1785,,,040001F8 A37 A37,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,127,123,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,12:00:00,19:00:00,-07:00,+38.5321636,-121.7886647,45,3D,68418.3,0.0,,0,0,-0.00,,2.2,4,-3,43,2,0.0,1,,,-0.015,0.979,+0.781,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.6,1786,,,040001F8 A39 A39,6,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,128,124,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
2021-09-26,12:00:01,19:00:01,-07:00,+38.5321689,-121.7886760,34,3D,68419.3,0.0,,0,0,-0.00,,2.2,4,-3,43,-0,0.0,0,,,-0.016,0.978,+0.875,,170,,,,29.97,123.075,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.3,30.6,1787,,,020001F8 A40 A40,5,,,1200,ALT,134,21,20,1.8,0,0,29.9,12.4,0,6,0.0,-31,-14,0,0.01,0.01,128,124,126,124,105,110,105,110,0,0,FUEL PRESS/OIL PRESS,,76
