#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="100.0",engine_hours="100.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-02,12:04:58,19:04:58,-07:00,+37.5103659,-122.4909291,20,3DDiff (PFD1),587115.5,0.0,,0,0,-0.00,217.0,2.4,7,-52,48,0,0.7,2,10.44,0.68,-0.022,0.988,+0.256,,300,,,,30.03,,GPS1,,,,,,,,,ENR,,,,,System not usable,,,,,,,,,,,,-13.2,17.8,270,,,040007FF N100 N100,32,,,,,60,10,15,32.3,71,1190,14.6,14.3,23,6,2.9,-13,-6,0,0.00,0.01,73,67,72,68,920,920,910,940,0,21,,,80
2021-10-02,12:04:58,19:04:58,-07:00,+37.5103659,-122.4909291,20,3DDiff (PFD1),587115.8,0.0,,0,0,-0.00,217.0,2.4,7,-52,48,4,0.9,2,10.52,0.73,-0.019,0.953,+0.235,,300,,,,30.03,,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,270,,,040007FF N100 N100,33,,,,,60,10,15,32.4,72,1200,14.7,14.3,23,6,2.9,-13,-6,0,0.00,0.01,74,67,72,69,925,925,915,940,0,21,,,80
2021-10-02,12:04:59,19:04:59,-07:00,+37.5103659,-122.4909292,20,3DDiff (PFD1),587116.8,0.0,,0,0,-0.00,217.0,2.4,7,-52,48,26,0.2,1,10.63,0.78,-0.015,0.990,+0.456,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,269,,,040007FF N100 N100,31,,,1200,ALT,61,10,15,32.7,73,1200,14.8,14.3,23,6,2.9,-13,-6,0,0.00,0.01,75,68,74,70,940,940,930,955,0,22,,,80
2021-10-02,12:05:00,19:05:00,-07:00,+37.5103659,-122.4909292,20,3DDiff (PFD1),587117.8,0.0,,0,0,0.00,216.8,2.4,7,-51,49,14,0.0,1,10.42,0.75,-0.002,0.974,+0.850,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,269,,,040007FF N100 N100,28,,,1200,ALT,61,10,15,32.8,75,1210,14.6,14.3,22,6,2.9,-13,-6,0,0.00,0.01,76,69,75,71,945,950,940,965,0,22,,,80
2021-10-02,12:05:01,19:05:01,-07:00,+37.5103659,-122.4909292,20,3DDiff (PFD1),587118.8,0.0,,0,0,0.00,216.7,2.4,7,-52,49,-12,-0.0,1,10.25,0.67,-0.020,0.960,+1.105,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,269,,,040007FF N100 N100,30,,,1200,ALT,61,10,15,32.5,76,1210,14.4,14.4,21,6,2.8,-13,-6,0,0.00,0.01,77,71,76,72,960,960,950,975,0,22,,,80
2021-10-02,12:05:02,19:05:02,-07:00,+37.5103660,-122.4909292,20,3DDiff (PFD1),587119.8,0.0,,0,0,-0.00,216.8,2.4,7,-52,49,16,0.6,1,10.24,0.64,-0.014,0.995,+1.376,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,267,,,040007FF N100 N100,26,,,1200,ALT,61,10,15,32.3,77,1220,14.3,14.4,21,6,2.8,-13,-6,0,0.00,0.01,79,72,78,74,965,970,960,985,0,22,,,80
2021-10-02,12:05:03,19:05:03,-07:00,+37.5103660,-122.4909292,20,3DDiff (PFD1),587120.8,0.0,,0,0,-0.00,216.9,2.4,7,-50,50,47,3.0,3,10.34,0.60,-0.012,0.982,+1.513,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,268,,,040007FF N100 N100,27,,,1200,ALT,61,10,15,32.0,77,1220,14.3,14.4,20,6,2.9,-13,-6,0,0.00,0.01,80,73,79,75,975,975,965,990,0,21,,,80
2021-10-02,12:05:04,19:05:04,-07:00,+37.5103660,-122.4909292,20,3DDiff (PFD1),587121.8,0.0,,0,0,0.00,216.8,2.4,7,-51,50,-21,4.2,4,10.30,0.64,-0.003,0.982,+1.461,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,267,,,040007FF N100 N100,23,,,1200,ALT,61,10,15,31.9,78,1230,14.3,14.4,20,6,2.8,-13,-6,0,0.00,0.01,81,74,80,76,985,980,975,995,0,22,,,80
2021-10-02,12:05:05,19:05:05,-07:00,+37.5103660,-122.4909293,20,3DDiff (PFD1),587122.8,0.0,,0,0,0.00,217.0,2.4,7,-51,49,-1,3.5,4,10.36,0.66,-0.005,0.976,+1.390,,300,,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,,,,,,,,,,,,,-13.2,17.8,267,,,040007FF N100 N100,19,,,1200,ALT,61,10,15,32.2,78,1230,14.4,14.4,19,6,2.8,-13,-6,0,0.00,0.01,83,75,82,78,990,985,985,1000,0,22,,,80
