#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="100.7",engine_hours="100.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-02,13:59:26,20:59:26,-07:00,+36.9345567,-121.7875878,131,3D (SFD1),593965.9,0.1,,0,0,-0.01,,1.3,8,83,183,-6,0.0,0,,,-0.013,0.980,+1.374,,113,,,,30.03,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,28.6,1673,,,081081F8 A19 A19,6,,,,,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,,,80
2021-10-02,13:59:26,20:59:26,-07:00,+36.9345548,-121.7875939,133,3D (SFD1),593966.2,0.1,,0,0,-0.10,,1.3,8,83,183,-8,0.0,0,,,-0.013,0.978,+1.316,,113,,,,30.03,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,28.6,1673,,,081081F8 A20 A20,5,,L+,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:27,20:59:27,-07:00,+36.9345632,-121.7875862,130,3D (SFD1),593967.2,0.1,,0,0,-0.02,,1.3,8,83,183,-2,0.0,0,,,-0.013,0.980,+1.179,,113,,,,30.03,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,28.6,1673,,,081081F8 A22 A22,6,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:28,20:59:28,-07:00,+36.9345718,-121.7875837,124,3D (SFD1),593968.2,0.1,,0,0,-0.11,,1.3,8,83,183,11,0.0,0,,,-0.016,0.980,+1.073,,113,,,,30.03,,GPS1,LOI MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,28.6,1673,,,081001F8 A24 A24,7,,L+,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:29,20:59:29,-07:00,+36.9345784,-121.7875772,127,3D (SFD1),593969.2,0.1,,0,0,0.06,,1.3,8,83,184,4,0.0,0,,,-0.014,0.980,+1.008,,113,,,,30.03,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,28.6,1674,,,081001F8 A25 A25,7,,L+,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:30,20:59:30,-07:00,+36.9345821,-121.7875692,120,3D (SFD1),593970.2,0.1,,0,0,0.29,,1.3,8,83,184,5,0.0,0,,,-0.013,0.979,+0.940,,113,,,,30.03,,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.0,28.6,1674,,,081001F8 A27 A27,6,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:31,20:59:31,-07:00,+36.9345863,-121.7875624,112,3D (SFD1),593971.2,0.1,,0,0,-0.14,,1.3,8,83,184,5,0.0,0,,,-0.013,0.979,+0.886,,113,,,,30.03,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.0,28.6,1674,,,081001F8 A29 A29,5,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:32,20:59:32,-07:00,+36.9345765,-121.7875786,122,3D (SFD1),593972.2,0.1,,0,0,-0.12,,1.3,8,83,184,-3,0.0,0,,,-0.013,0.981,+0.818,,113,,,,30.03,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.0,28.6,1674,,,081001F8 A31 A31,6,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:33,20:59:33,-07:00,+36.9345711,-121.7875864,128,3D (SFD1),593973.2,0.1,,0,0,-0.31,,1.3,8,83,184,1,0.0,0,,,-0.013,0.981,+0.787,,113,,,,30.03,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.0,28.7,1675,,,081101F8 A34 A34,5,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,166,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
2021-10-02,13:59:34,20:59:34,-07:00,+36.9345666,-121.7875895,137,3D (SFD1),593974.2,0.3,,0,0,-0.26,,1.3,8,83,184,-1,0.0,0,,,-0.013,0.980,+0.788,,113,,,,30.03,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.0,28.7,1675,,,081101F8 A35 A35,5,,,1200,ALT,166,21,20,5.4,0,0,30.0,12.6,0,6,0.0,-39,4,45,0.01,0.01,163,162,167,163,135,130,135,130,0,0,FUEL PRESS/OIL PRESS,,80
