#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="102.9",engine_hours="102.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-06,15:05:48,22:05:48,-07:00,+37.5155192,-122.4990891,117,3D,338765.9,0.0,,0,0,-0.14,198.5,1.1,10,-64,36,-0,0.0,-0,10.41,2.15,-0.038,0.966,+1.247,,300,,,,30.03,,GPS1,MSG,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,251,,,080007FF N100 N100,42,,,,,148,17,17,31.4,47,610,15.3,14.1,15,14,1.3,-79,-7,0.01,0.01,303,292,312,298,905,805,955,830,0,11,,,81
2021-10-06,15:05:49,22:05:49,-07:00,+37.5154957,-122.4990751,104,3D,338766.7,0.0,,0,0,-0.06,198.5,1.1,10,-64,37,13,0.0,0,10.45,2.07,-0.029,0.987,+1.294,,300,1000,,,30.03,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,251,,,020007FF N100 N100,40,,,,,148,17,17,31.3,47,610,15.3,14.1,15,14,1.3,-79,-7,0.01,0.01,303,292,313,298,905,810,955,830,0,11,,,81
2021-10-06,15:05:50,22:05:50,-07:00,+37.5154874,-122.4990722,93,3D,338767.7,0.0,,0,0,-0.04,198.6,1.1,10,-63,37,14,0.0,0,10.50,2.04,-0.036,0.988,+1.437,,300,1000,,,30.03,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,252,,,040007FF N100 N100,38,,,,,148,17,17,31.2,47,620,15.3,14.1,15,15,1.3,-79,-7,0.01,0.01,303,292,313,298,905,820,955,820,0,11,,,81
2021-10-06,15:05:51,22:05:51,-07:00,+37.5154864,-122.4990751,86,3D,338768.7,0.0,,0,0,-0.02,198.6,1.1,10,-64,37,-23,0.0,1,10.46,2.07,-0.016,0.975,+1.439,,300,1000,,,30.03,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,253,,,040007FF N100 N100,39,,L+,1200,STBY,148,17,17,31.3,47,620,15.3,14.1,15,15,1.3,-79,-7,0.01,0.01,303,292,313,298,905,820,955,815,0,11,,,81
2021-10-06,15:05:52,22:05:52,-07:00,+37.5154864,-122.4990773,80,3D,338769.7,0.0,,0,0,-0.02,198.5,1.1,10,-64,36,-5,0.0,1,10.43,2.13,-0.009,0.946,+1.442,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,254,,,040007FF N100 N100,47,,,1200,ALT,148,21,20,32.3,47,0,15.6,14.1,13,13,0.0,-79,-7,0.01,0.01,304,292,312,297,910,820,955,815,0,,,,81
2021-10-06,15:05:53,22:05:53,-07:00,+37.5154872,-122.4990798,76,3D,338770.7,0.0,,0,0,-0.01,198.5,1.1,10,-64,36,-1,0.0,0,10.37,2.09,-0.013,0.981,+1.456,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,255,,,040007FF N100 N100,41,,,1200,ALT,148,21,20,32.3,47,0,15.6,14.1,13,13,0.0,-79,-7,0.01,0.01,304,292,312,297,910,815,955,815,0,0,,,81
2021-10-06,15:05:54,22:05:54,-07:00,+37.5154885,-122.4990819,73,3D,338771.7,0.0,,0,0,-0.01,198.6,1.1,10,-64,36,5,0.0,0,10.43,1.98,-0.041,0.964,+1.396,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,17.8,255,,,040007FF N100 N100,38,,,1200,ALT,148,21,20,32.2,47,270,15.5,14.1,13,13,0.1,-79,-7,0.01,0.01,304,292,313,297,910,810,955,810,0,0,,,81
2021-10-06,15:05:55,22:05:55,-07:00,+37.5154895,-122.4990840,70,3D,338772.7,0.0,,0,0,-0.01,198.5,1.1,10,-65,36,-19,0.0,0,10.49,2.00,-0.053,0.998,+1.354,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,256,,,040007FF N100 N100,32,,,1200,ALT,148,21,20,32.2,47,270,15.5,14.1,13,13,0.1,-79,-7,0.01,0.01,304,292,313,297,910,810,955,810,0,0,,,81
2021-10-06,15:05:56,22:05:56,-07:00,+37.5154900,-122.4990864,68,3D,338773.7,0.0,,0,0,-0.00,198.6,1.1,10,-64,36,11,0.0,0,10.37,1.90,-0.004,0.967,+1.317,,300,1000,,,30.03,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.9,257,,,040007FF N100 N100,38,,,1200,ALT,148,21,20,32.2,47,270,15.5,14.1,13,13,0.1,-79,-7,0.01,0.01,304,292,313,297,910,810,955,810,0,0,,,81
2021-10-06,15:05:57,22:05:57,-07:00,+37.5154901,-122.4990882,66,3D,338774.7,0.0,,0,0,-0.01,198.5,1.1,10,-64,36,-2,0.0,0,10.42,2.06,-0.044,0.984,+1.257,,300,1000,,,30.03,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.9,259,,,040007FF N100 N100,37,,L-,1200,ALT,148,21,20,32.0,47,550,15.2,14.1,13,13,0.3,-69,-7,0.01,0.01,304,292,313,298,910,810,950,790,0,1,,,81
2021-10-06,15:05:58,22:05:58,-07:00,+37.5154903,-122.4990896,64,3D,338775.7,0.0,,0,0,-0.01,198.5,1.1,10,-65,36,1,0.0,0,10.55,2.04,-0.056,0.980,+1.230,,300,1000,,,30.03,122.800,GPS1,MSG,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.9,260,,,040007FF N100 N100,42,,,1200,ALT,148,21,20,31.8,47,590,15.2,14.1,14,13,0.5,-62,-7,0.01,0.01,304,292,313,298,910,820,950,790,0,1,,,81
