#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="102.9",engine_hours="102.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-06,15:06:13,22:06:13,-07:00,+37.5155003,-122.4990766,44,3DDiff (SFD1),338772.8,0.0,,-0,-0,-0.00,198.7,1.4,10,-64,36,7,0.0,0,10.21,1.84,0.034,0.959,+3.725,,300,,,,30.03,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,275,,,040007FF N100 N100,47,,,,,150,17,17,31.5,47,620,15.1,14.0,16,16,1.4,-6,-7,0.01,0.01,305,293,315,298,910,805,930,790,0,12,,,81
2021-10-06,15:06:13,22:06:13,-07:00,+37.5155003,-122.4990766,44,3DDiff (SFD1),338772.9,0.0,,-0,-0,-0.00,198.7,1.4,10,-64,36,5,0.0,0,10.21,1.86,0.001,0.969,+3.710,,300,,,,30.03,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,275,,,040007FF N100 N100,45,,,,,150,17,17,31.5,47,620,15.1,14.0,16,16,1.4,-6,-7,0.01,0.01,305,293,315,298,910,805,930,795,0,12,,,81
2021-10-06,15:06:14,22:06:14,-07:00,+37.5154951,-122.4990996,62,3D (PFD1),338792.0,0.0,,0,0,-0.00,198.7,1.4,10,-64,36,8,0.0,0,10.19,1.87,-0.013,0.986,+3.445,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault,,,,,,,,,,,,-13.2,18.0,275,,,040007FF N100 N100,35,,,1200,ALT,150,17,17,31.4,47,620,15.1,14.0,16,16,1.4,-6,-7,0.01,0.01,305,293,315,298,910,810,925,805,0,12,,,81
2021-10-06,15:06:15,22:06:15,-07:00,+37.5154955,-122.4990999,62,3D (PFD1),338793.0,0.0,,0,0,-0.00,198.7,1.1,10,-64,36,5,0.0,0,10.33,1.86,-0.055,0.992,+3.102,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,276,,,040007FF N100 N100,44,,,1200,ALT,150,17,17,31.4,47,630,15.0,14.0,16,16,1.4,-6,-7,0.01,0.01,305,293,315,298,905,815,925,810,0,12,,,81
2021-10-06,15:06:16,22:06:16,-07:00,+37.5154961,-122.4991000,61,3D (PFD1),338794.0,0.0,,0,0,0.01,198.6,1.1,10,-64,36,-2,0.0,0,10.26,1.90,-0.050,0.993,+2.732,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,276,,,040007FF N100 N100,42,,,1200,ALT,150,17,17,31.3,47,630,14.9,14.0,16,15,1.4,-6,-7,0.01,0.01,305,293,315,298,905,810,930,805,0,12,,,81
2021-10-06,15:06:17,22:06:17,-07:00,+37.5154963,-122.4991000,61,3D (PFD1),338795.0,0.0,,0,0,-0.00,198.5,1.1,10,-64,36,-3,0.0,0,10.26,1.99,-0.026,0.969,+2.433,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,277,,,040007FF N100 N100,45,,,1200,ALT,150,17,17,31.3,47,620,14.9,14.0,16,15,1.4,-6,-7,0.01,0.01,305,293,315,298,905,820,940,810,0,11,,,81
2021-10-06,15:06:18,22:06:18,-07:00,+37.5154967,-122.4991001,61,3D (PFD1),338796.0,0.0,,0,0,0.00,198.7,1.1,10,-65,36,-5,0.0,0,10.36,1.89,-0.015,0.995,+2.229,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,277,,,040007FF N100 N100,39,,,1200,ALT,150,17,17,31.4,47,630,14.9,14.0,16,15,1.4,-6,-7,0.01,0.01,305,294,315,298,905,815,940,815,0,11,,,81
2021-10-06,15:06:19,22:06:19,-07:00,+37.5154969,-122.4990999,61,3D (PFD1),338797.0,0.0,,0,0,-0.00,198.6,1.1,10,-64,36,5,0.0,0,10.45,1.95,-0.053,0.977,+2.028,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/00000001 00000000,,,,,,,,,,,,-13.2,18.0,276,,,040007FF N100 N100,43,,,1200,ALT,150,17,17,31.3,47,630,15.0,14.0,16,15,1.4,-6,-7,0.01,0.01,305,294,315,298,910,810,945,820,0,12,,,81
2021-10-06,15:06:20,22:06:20,-07:00,+37.5154970,-122.4990998,61,3D (PFD1),338798.0,0.0,,0,0,0.00,198.6,1.1,10,-64,36,4,0.0,0,10.37,2.00,-0.021,0.976,+1.804,,300,1000,,,30.03,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,18.0,276,,,040007FF N100 N100,44,,,1200,ALT,150,17,17,31.4,47,640,14.9,14.0,16,15,1.4,-6,-7,0.01,0.01,305,294,315,298,910,815,945,815,0,12,,,81
