#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="103.9",engine_hours="103.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flap,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-10,11:14:46,18:14:46,-07:00,+37.5103320,-122.4908658,64,3D (SFD1),65686.1,0.0,,-0,-0,0.06,,2.1,7,-167,45,-7,0.0,0,,,-0.013,0.977,+1.210,,300,,,,30.15,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.0,-87,,,081001F8 A29 A29,7,,,,,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:46,18:14:46,-07:00,+37.5103320,-122.4908658,64,3D (SFD1),65686.1,0.0,,-0,-0,0.06,,2.1,7,-167,45,-7,0.0,0,,,-0.013,0.977,+1.210,,300,,,,30.15,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.0,-87,,,081001F8 A29 A29,7,,,,,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:47,18:14:47,-07:00,+37.5103420,-122.4908572,63,3D (SFD1),65687.0,0.0,,-0,-0,-0.00,,1.5,7,-167,44,-1,0.0,0,,,-0.014,0.978,+1.131,,300,,,,30.15,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.0,-87,,,081001F8 A32 A32,6,,,,,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:48,18:14:48,-07:00,+37.5103408,-122.4908589,63,3D (SFD1),65688.0,0.1,,-0,-0,-0.02,,1.5,7,-166,45,-0,0.0,0,,,-0.013,0.976,+1.029,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.0,-86,,,081001F8 A34 A34,7,,L+,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:49,18:14:49,-07:00,+37.5103455,-122.4908636,58,3D (SFD1),65689.0,0.1,,-0,-0,-0.05,,1.5,7,-167,44,-1,0.0,0,,,-0.013,0.977,+0.935,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.0,-86,,,081101F8 A37 A37,7,,,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:50,18:14:50,-07:00,+37.5103391,-122.4908651,62,3D (SFD1),65690.0,0.1,,-0,-0,-0.02,,1.5,7,-166,45,2,0.0,0,,,-0.013,0.978,+0.858,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,16.0,-85,,,081101F8 A40 A40,6,,,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:51,18:14:51,-07:00,+37.5103477,-122.4908640,58,3D (SFD1),65691.0,0.1,,-0,-0,0.05,,2.1,7,-166,45,1,0.0,0,,,-0.012,0.977,+0.796,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,16.0,-84,,,081101F8 A43 A43,5,,,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:52,18:14:52,-07:00,+37.5103530,-122.4908656,63,3D (SFD1),65692.0,0.1,,-0,-0,-0.10,,1.5,7,-166,45,2,0.0,0,,,-0.012,0.977,+0.760,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,16.0,-84,,,081101F8 A44 A44,6,,,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
2021-10-10,11:14:53,18:14:53,-07:00,+37.5103518,-122.4908776,59,3D (SFD1),65693.0,0.1,,-0,-0,0.00,,1.4,8,-166,45,-2,0.0,0,,,-0.012,0.978,+0.752,,300,,,,30.15,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,16.0,-84,,,081101F8 A46 A46,5,,,1200,ALT,56,16,13,0.0,0,0,29.9,11.9,0,9,0.0,0,-7,3.18,0.00,0.01,53,49,50,49,50,50,50,50,0,0,FUEL PRESS/OIL PRESS,,82
