#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="106.0",engine_hours="106.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flap,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-16,12:42:49,19:42:49,-07:00,+36.6786664,-121.7625164,116,3D (SFD1),589369.2,0.0,,0,0,-0.01,,1.8,9,84,157,3,0.0,0,,,-0.018,0.978,+1.175,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1871,,,081081F8 A20 A20,6,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,,,85
2021-10-16,12:42:49,19:42:49,-07:00,+36.6786834,-121.7625193,111,3D (SFD1),589369.4,0.0,,0,0,0.15,,1.2,9,84,157,3,0.0,0,,,-0.008,0.974,+1.181,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1871,,,081081F8 A21 A21,6,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:50,19:42:50,-07:00,+36.6786709,-121.7625100,110,3D (SFD1),589370.4,0.1,,0,0,0.12,,1.2,9,84,157,-2,0.0,0,,,-0.015,0.971,+1.306,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1871,,,081001F8 A23 A23,7,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:51,19:42:51,-07:00,+36.6786661,-121.7625122,112,3D (SFD1),589371.4,0.1,,0,0,-0.17,,1.2,9,84,156,-1,0.0,0,,,-0.017,0.974,+1.465,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1871,,,081001F8 A25 A25,9,,L+,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:52,19:42:52,-07:00,+36.6786596,-121.7625090,111,3D (SFD1),589372.4,0.1,,0,0,0.01,,1.2,9,84,156,1,0.0,0,,,-0.013,0.977,+1.532,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1871,,,081001F8 A28 A28,8,,L+,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:53,19:42:53,-07:00,+36.6786582,-121.7625112,116,3D (SFD1),589373.4,0.1,,0,0,0.03,,1.2,9,84,156,5,0.0,0,,,-0.013,0.976,+1.498,,155,,,,30.00,,GPS1,WPT MSG,,10.0,135,150,-0.027,-0.46,350,ENR,-0.43,-1,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A30 A30,7,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:54,19:42:54,-07:00,+36.6786568,-121.7625044,107,3D (SFD1),589374.4,0.1,,0,0,-0.04,,1.2,9,84,157,6,0.0,0,,,-0.011,0.975,+1.378,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A32 A32,6,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:55,19:42:55,-07:00,+36.6786533,-121.7625006,110,3D (SFD1),589375.4,0.1,,0,0,-0.20,,1.2,9,84,157,3,0.0,0,,,-0.012,0.977,+1.225,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081101F8 A35 A35,6,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:56,19:42:56,-07:00,+36.6786626,-121.7624959,100,3D (SFD1),589376.4,0.1,,0,0,-0.01,,1.2,9,84,157,0,0.0,0,,,-0.012,0.976,+1.084,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-12.9,30.4,1870,,,081101F8 A37 A37,6,,,1200,ALT,180,16,20,26.4,0,0,30.0,12.5,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,228,218,175,170,185,170,0,0,OIL PRESS,,85
