#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="106.1",engine_hours="106.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flap,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-16,12:42:53,19:42:53,-07:00,+36.6786588,-121.7625119,118,3D (SFD1),589372.7,0.1,,0,0,-0.10,,1.2,9,84,156,1,0.0,0,,,-0.011,0.977,+1.795,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A29 A29,7,,,,,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,,,85
2021-10-16,12:42:53,19:42:53,-07:00,+36.6786588,-121.7625119,118,3D (SFD1),589372.7,0.1,,0,0,-0.10,,1.2,9,84,156,1,0.0,0,,,-0.011,0.977,+1.795,,155,,,,30.00,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A29 A29,7,,,,,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,,,85
2021-10-16,12:42:54,19:42:54,-07:00,+36.6786583,-121.7625110,116,3D (SFD1),589373.7,0.1,,0,0,0.08,,1.2,9,84,157,5,0.0,0,,,-0.011,0.975,+1.610,,155,,,,30.00,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A31 A31,7,,,,,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:55,19:42:55,-07:00,+36.6786573,-121.7625042,111,3D (SFD1),589374.7,0.1,,0,0,0.08,,1.2,9,84,157,7,0.0,0,,,-0.014,0.976,+1.393,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081001F8 A34 A34,6,,L+,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:56,19:42:56,-07:00,+36.6786555,-121.7624995,108,3D (SFD1),589375.8,0.1,,0,0,0.01,,1.2,9,84,157,2,0.0,0,,,-0.013,0.977,+1.183,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-12.9,30.4,1870,,,081101F8 A35 A35,7,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:57,19:42:57,-07:00,+36.6786616,-121.7625001,101,3D (SFD1),589376.8,0.1,,0,0,-0.04,,1.8,9,84,157,-2,0.0,0,,,-0.013,0.977,+1.013,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-12.9,30.4,1870,,,081101F8 A37 A37,6,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:58,19:42:58,-07:00,+36.6786578,-121.7625005,102,3D (SFD1),589377.8,0.1,,0,0,0.04,,1.2,9,84,157,-4,0.0,0,,,-0.012,0.976,+0.896,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1870,,,081101F8 A40 A40,7,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:42:59,19:42:59,-07:00,+36.6786815,-121.7625010,115,3D,589396.9,0.1,,0,0,-0.02,,1.8,9,84,157,-2,0.0,0,,,-0.012,0.975,+0.840,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1869,,,080001F8 A43 A43,6,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:43:00,19:43:00,-07:00,+36.6786819,-121.7625007,114,3D,589397.9,0.0,,0,0,-0.01,,1.2,9,83,156,-9,0.0,0,,,-0.013,0.977,+0.809,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1869,,,040001F8 A45 A45,6,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
2021-10-16,12:43:01,19:43:01,-07:00,+36.6786825,-121.7625001,114,3D,589398.9,0.0,,0,0,-0.01,,1.2,9,83,156,-1,0.0,0,,,-0.013,0.976,+0.818,,155,,,,30.00,122.700,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-12.9,30.4,1869,,,040001F8 A48 A48,7,,,1200,ALT,180,16,20,26.3,0,0,30.0,12.4,0,6,0.0,-53,-24,0.71,0.01,0.01,218,215,227,217,175,170,185,170,0,0,OIL PRESS,,85
