#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="111.8",engine_hours="111.8"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-06,13:24:07,20:24:07,-07:00,+36.9348414,-121.7882918,178,3D-,591865.3,0.5,,0,0,-0.26,,1.4,8,-45,157,-6,0.0,0,,,-0.015,0.973,+0.741,,152,,,,30.14,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,18.4,347,,,081001F8 A26 A26,5,,,,,161,13,16,28.8,0,0,29.8,12.3,0,9,0.0,-43,4,0.59,0.01,0.01,178,170,186,183,165,165,175,175,0,0,,,86
2021-11-06,13:24:08,20:24:08,-07:00,+36.9348408,-121.7882799,183,3D-,591865.8,0.1,,0,0,-0.16,,1.4,8,-45,157,-4,0.0,-0,,,-0.016,0.973,+0.786,,152,,,,30.14,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,18.4,347,,,081001F8 A28 A28,6,,,,,161,13,16,28.8,0,0,29.8,12.3,0,9,0.0,-43,4,0.50,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:09,20:24:09,-07:00,+36.9348370,-121.7882769,183,3D-,591866.9,0.0,,0,0,-0.09,,1.4,8,-44,157,5,0.0,0,,,-0.016,0.974,+0.865,,152,,,,30.14,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,18.4,347,,,081001F8 A30 A30,6,,L+,1200,ALT,161,13,16,28.8,0,0,29.8,12.3,0,9,0.0,-43,4,0.33,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:10,20:24:10,-07:00,+36.9348117,-121.7882902,143,3D (SFD1),591849.8,0.0,,-0,0,-0.02,,1.5,7,-44,157,1,0.0,0,,,-0.015,0.974,+0.978,,152,,,,30.14,122.800,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,18.4,347,,,081001F8 A33 A33,7,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.3,0,9,0.0,-40,4,0.17,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:11,20:24:11,-07:00,+36.9348182,-121.7882923,150,3D (SFD1),591850.8,0.1,,-0,0,-0.04,,1.5,7,-44,157,2,0.0,-0,,,-0.016,0.973,+1.090,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,18.4,347,,,081101F8 A35 A35,6,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.2,0,9,0.0,-33,4,0.08,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:12,20:24:12,-07:00,+36.9347998,-121.7882897,145,3D (SFD1),591851.8,0.1,,-0,0,0.01,,1.5,7,-44,157,2,0.0,-0,,,-0.015,0.973,+1.119,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.0,18.4,347,,,081101F8 A38 A38,5,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.2,0,10,0.0,-26,4,0.04,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:13,20:24:13,-07:00,+36.9347990,-121.7882990,145,3D (SFD1),591852.8,0.0,,-0,0,0.03,,1.5,7,-45,157,-1,0.0,0,,,-0.016,0.974,+1.097,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,081101F8 A40 A40,5,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.2,0,10,0.0,-19,4,0.01,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:14,20:24:14,-07:00,+36.9348046,-121.7882960,142,3D (SFD1),591853.8,0.1,,-0,0,0.04,,1.5,7,-44,157,1,0.0,0,,,-0.015,0.973,+1.079,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,081101F8 A43 A43,6,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.2,0,10,0.0,-11,4,0.00,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
2021-11-06,13:24:15,20:24:15,-07:00,+36.9348087,-121.7883006,142,3D (SFD1),591854.8,0.0,,-0,0,-0.01,,2.3,7,-45,157,-4,0.0,1,,,-0.015,0.974,+1.075,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,081101F8 A45 A45,5,,,1200,ALT,161,13,16,28.8,0,0,29.8,12.2,0,10,0.0,-8,4,0.00,0.01,0.01,178,170,186,183,165,165,175,175,0,0,OIL PRESS,,86
