#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="111.8",engine_hours="111.8"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-06,13:24:20,20:24:20,-07:00,+36.9348256,-121.7882947,175,3D (PFD1),591878.3,0.0,,0,0,-0.00,,1.4,8,-44,157,2,-0.0,0,,,-0.016,0.974,+0.370,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault,,,,,,,,,,,,-13.0,18.4,348,,,020001F8 A52 A52,5,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:20,20:24:20,-07:00,+36.9348253,-121.7882947,175,3D (PFD1),591878.4,0.0,,0,0,0.00,,1.4,8,-44,157,3,-0.0,0,,,-0.015,0.977,+0.388,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,348,,,020001F8 A52 A52,6,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:21,20:24:21,-07:00,+36.9348232,-121.7882952,175,3D (PFD1),591879.4,0.0,,0,0,-0.00,,1.4,8,-44,157,3,-0.0,1,,,-0.015,0.972,+0.563,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,348,,,040001F8 A55 A55,6,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:22,20:24:22,-07:00,+36.9348213,-121.7882958,174,3D (PFD1),591880.4,0.0,,0,0,0.00,,1.4,8,-45,157,1,0.0,1,,,-0.014,0.974,+0.710,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,348,,,040001F8 A57 A57,5,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:23,20:24:23,-07:00,+36.9348199,-121.7882963,174,3D (PFD1),591881.4,0.0,,0,0,-0.00,,1.4,8,-45,157,-1,-0.0,0,,,-0.015,0.974,+0.843,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,348,,,040001F8 A60 A60,6,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:24,20:24:24,-07:00,+36.9348185,-121.7882964,173,3D (PFD1),591882.4,0.0,,0,0,-0.00,,1.4,8,-45,157,-7,-0.0,0,,,-0.015,0.973,+1.027,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,040001F8 A63 A63,5,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:25,20:24:25,-07:00,+36.9348176,-121.7882970,172,3D (PFD1),591883.4,0.0,,0,0,-0.00,,1.4,8,-45,157,2,0.0,0,,,-0.016,0.974,+1.164,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,040001F8 A66 A66,5,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.3,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:26,20:24:26,-07:00,+36.9348172,-121.7882971,172,3D (PFD1),591884.4,0.0,,0,0,-0.00,,1.4,8,-45,157,-2,0.3,1,,,-0.015,0.972,+1.202,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,040001F8 A69 A69,5,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.4,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
2021-11-06,13:24:27,20:24:27,-07:00,+36.9348165,-121.7882970,171,3D (PFD1),591885.4,0.0,,0,0,-0.00,,1.4,8,-44,157,4,0.0,1,,,-0.016,0.974,+1.352,,152,,,,30.14,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.4,347,,,040001F8 A72 A72,6,,,1200,ALT,161,13,16,28.7,0,0,29.8,12.4,0,7,0.0,-7,4,0.00,0.01,0.01,177,169,185,183,165,165,175,170,0,0,OIL PRESS,,86
