#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="112.9",engine_hours="112.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-06,14:40:32,21:40:32,-07:00,+37.5134522,-122.4951734,39,3D (SFD1),596431.6,4.7,,0,-0,-0.03,,1.2,9,-156,45,9,0.0,0,,,-0.016,0.976,+0.864,,304,,,,30.14,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.8,21,,,081001F8 A23 A23,6,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,,,87
2021-11-06,14:40:32,21:40:32,-07:00,+37.5134495,-122.4951913,41,3D (SFD1),596432.2,1.5,,0,-0,-0.07,,1.2,9,-157,45,-8,0.0,0,,,-0.019,0.975,+0.870,,304,,,,30.14,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,16.8,21,,,081001F8 A24 A24,7,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,,,87
2021-11-06,14:40:33,21:40:33,-07:00,+37.5134559,-122.4951905,41,3D (SFD1),596433.1,0.3,,0,-0,0.09,,1.2,9,-157,45,11,0.0,0,,,-0.020,0.976,+0.880,,304,,,,30.14,,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.2,16.8,20,,,081001F8 A25 A25,7,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:34,21:40:34,-07:00,+37.5134511,-122.4951910,38,3D (SFD1),596434.1,0.1,,0,-0,-0.04,,1.2,9,-156,45,7,0.0,0,,,-0.017,0.977,+0.892,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.2,16.8,21,,,081001F8 A28 A28,7,,L+,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:35,21:40:35,-07:00,+37.5134480,-122.4951880,41,3D (SFD1),596435.1,0.1,,0,-0,-0.03,,1.2,9,-157,45,-7,0.0,0,,,-0.015,0.977,+0.913,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Powerup,,,,,,,,,,,,-13.2,16.8,20,,,081101F8 A30 A30,7,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:36,21:40:36,-07:00,+37.5134500,-122.4951809,45,3D (SFD1),596436.1,0.0,,0,-0,-0.00,,1.2,9,-157,45,-2,0.0,0,,,-0.018,0.976,+0.941,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,16.8,20,,,081101F8 A32 A32,6,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:37,21:40:37,-07:00,+37.5134496,-122.4951931,46,3D (SFD1),596437.1,0.0,,0,-0,0.00,,1.2,9,-157,45,-1,0.0,0,,,-0.017,0.977,+0.950,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Fail,,,,,,,,,,,,-13.2,16.8,20,,,081101F8 A34 A34,6,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:38,21:40:38,-07:00,+37.5134588,-122.4951830,46,3D (SFD1),596438.1,0.1,,0,-0,-0.01,,1.2,9,-157,45,-5,0.0,0,,,-0.018,0.977,+0.974,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Fail,,,,,,,,,,,,-13.2,16.8,20,,,081101F8 A37 A37,5,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
2021-11-06,14:40:39,21:40:39,-07:00,+37.5134569,-122.4951823,42,3D (SFD1),596439.1,0.0,,0,-0,-0.09,,1.7,9,-157,45,4,0.0,0,,,-0.018,0.977,+1.038,,304,,,,30.14,122.800,GPS1,LOI,,,,,,,,TERM,,,,,Fail,,,,,,,,,,,,-13.2,16.8,20,,,081101F8 A39 A39,6,,,1200,ALT,155,21,20,31.6,0,0,29.9,12.4,0,6,0.0,-3,1,,0.01,0.01,219,212,239,219,215,185,250,185,0,0,OIL PRESS,,87
