#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="113.5",engine_hours="113.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-19,17:48:37,01:48:37,-08:00,+37.5105476,-122.4911305,62,3D (SFD1),524916.7,0.0,,0,-0,-0.00,284.2,2.5,5,-148,100,-1,0.0,0,10.51,-0.02,0.000,0.972,+0.941,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,13.9,-318,,,292,081107FF N69 N69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:37,01:48:37,-08:00,+37.5105484,-122.4911300,62,3D (SFD1),524917.4,0.0,,0,-0,-0.00,284.2,2.5,5,-148,100,-2,0.0,0,10.51,0.01,0.000,0.973,+0.977,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N71 N71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:38,01:48:38,-08:00,+37.5105497,-122.4911303,63,3D (SFD1),524918.4,0.0,,0,-0,-0.00,284.2,2.5,5,-148,100,-2,0.0,0,10.51,0.02,0.000,0.973,+1.013,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N73 N73,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:39,01:48:39,-08:00,+37.5105508,-122.4911302,63,3D (SFD1),524919.4,0.0,,0,-0,-0.00,284.2,2.5,5,-148,100,2,0.0,0,10.51,0.03,0.000,0.973,+1.031,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N76 N76,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:40,01:48:40,-08:00,+37.5105525,-122.4911314,63,3D (SFD1),524920.4,0.0,,0,-0,-0.00,284.2,2.5,5,-148,100,-1,0.0,0,10.51,0.00,0.000,0.972,+1.003,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N79 N79,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:42,01:48:42,-08:00,+37.5105539,-122.4911316,63,3D (SFD1),524921.5,0.0,,0,-0,-0.00,284.3,2.5,5,-148,100,-1,0.0,0,10.54,0.04,-0.000,0.973,+0.968,,300,,,,30.19,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N84 N84,5,,L+,1200,STBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
2021-11-19,17:48:42,01:48:42,-08:00,+37.5105549,-122.4911315,63,3D (SFD1),524922.4,0.0,,0,-0,-0.00,284.3,2.5,5,-148,100,1,0.0,0,10.52,0.04,-0.000,0.973,+0.940,,300,,,,30.19,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N87 N87,5,,,1200,STBY,58,21,20,0.0,0,0,29.9,12.8,0,0,0.0,-4,1,,0.00,0.01,56,52,53,52,50,50,50,55,0,0,,,88
2021-11-19,17:48:43,01:48:43,-08:00,+37.5105562,-122.4911323,63,3D (SFD1),524923.4,0.0,,0,-0,-0.00,284.3,2.5,5,-148,100,-1,0.0,0,10.53,0.03,0.000,0.972,+0.895,,300,,,,30.19,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N90 N90,5,,,1200,ALT,58,21,20,0.0,0,0,29.9,12.8,0,0,0.0,-4,1,,0.00,0.01,56,52,53,52,50,50,50,55,0,0,,,88
2021-11-19,17:48:44,01:48:44,-08:00,+37.5105570,-122.4911327,63,3D (SFD1),524924.4,0.0,,0,-0,-0.00,284.3,2.5,5,-148,100,3,0.0,0,10.50,0.03,-0.000,0.973,+0.838,,300,,,,30.19,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.2,13.9,-318,,,,081107FF N92 N92,5,,,1200,ALT,58,21,20,0.0,0,0,29.9,12.8,0,0,0.0,-4,1,,0.00,0.01,56,52,53,52,50,50,50,55,0,0,FUEL PRESS / OIL PRESS,,88
