#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="114.1",engine_hours="114.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-20,14:25:48,22:25:48,-08:00,+37.6908814,-121.8159877,359,3D-,599166.4,0.0,,0,0,0.09,,1.2,8,154,410,16,0.0,0,,,-0.008,0.971,+2.142,,64,,,,30.20,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.1,20.8,873,,,,081001F8 A29 A29,8,,,,,138,17,18,3.1,0,0,29.5,10.6,0,4,0.0,-61,1,,0.01,0.01,112,103,117,112,105,105,110,110,0,0,,,88
2021-11-20,14:25:49,22:25:49,-08:00,+37.6908837,-121.8160065,360,3D-,599167.3,0.0,,0,0,0.06,,1.2,8,154,411,18,0.0,1,,,-0.007,0.974,+2.073,,64,,,,30.20,121.600,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.1,20.8,873,,,,081001F8 A31 A31,7,,,,,138,17,19,3.1,0,0,29.5,11.3,0,5,0.0,-61,1,,0.01,0.01,112,103,117,113,105,105,115,110,0,0,CARBON MONOX,,88
2021-11-20,14:25:50,22:25:50,-08:00,+37.6908838,-121.8160245,358,3D-,599168.3,0.0,,0,0,0.04,,1.2,8,153,411,-4,0.0,0,,,-0.009,0.973,+2.008,,64,,,,30.20,121.600,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.1,20.8,872,,,,081001F8 A32 A32,6,,L+,,,138,17,19,3.1,0,0,29.5,11.8,0,6,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:51,22:25:51,-08:00,+37.6908804,-121.8160329,354,3D-,599169.3,0.0,,0,0,0.03,,1.2,8,153,410,-8,0.0,0,,,-0.010,0.973,+1.945,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.1,20.8,871,,,,081001F8 A34 A34,8,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.2,0,7,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:52,22:25:52,-08:00,+37.6908793,-121.8160414,351,3D-,599170.3,0.0,,0,0,0.02,,1.2,8,154,410,8,0.1,0,,,-0.010,0.971,+1.838,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.1,20.8,871,,,,081001F8 A37 A37,7,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.4,0,8,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:53,22:25:53,-08:00,+37.6908791,-121.8160492,350,3D-,599171.3,0.0,,0,0,0.02,,1.2,8,154,411,0,0.0,1,,,-0.010,0.972,+1.787,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.1,20.8,871,,,,081101F8 A39 A39,6,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.5,0,8,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:54,22:25:54,-08:00,+37.6908766,-121.8160540,348,3D-,599172.3,0.0,,0,0,0.01,,1.2,8,154,410,0,-0.0,0,,,-0.011,0.972,+1.676,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.1,20.8,871,,,,081101F8 A41 A41,6,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.5,0,8,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:55,22:25:55,-08:00,+37.6909107,-121.8161133,383,3D-,599173.3,0.0,,0,0,0.01,,1.2,8,153,410,-4,0.0,0,,,-0.011,0.972,+1.556,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.1,20.8,870,,,,081101F8 A43 A43,7,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.5,0,8,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:25:56,22:25:56,-08:00,+37.6909490,-121.8161228,391,3D (SFD1),599156.3,0.0,,-0,-0,0.04,,1.8,5,154,410,2,0.0,0,,,-0.009,0.973,+1.477,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.1,20.8,870,,,,081101F8 A44 A44,7,,,1200,ALT,138,17,19,3.1,0,0,29.5,12.5,0,8,0.0,-61,1,,0.01,0.01,113,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
