#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="114.1",engine_hours="114.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-20,14:26:06,22:26:06,-08:00,+37.6909623,-121.8161502,378,3D (SFD1),599165.7,0.1,,-0,-0,-0.06,,1.2,8,153,410,-16,0.0,0,,,-0.009,0.971,+1.178,,64,,,,30.20,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.1,20.8,867,,,,040001F8 A67 A67,7,,,,,137,17,18,3.1,0,0,29.5,12.3,0,10,0.0,-61,1,0.29,0.01,0.01,112,103,117,113,105,105,110,110,0,0,,,88
2021-11-20,14:26:06,22:26:06,-08:00,+37.6909621,-121.8161320,385,3D (SFD1),599166.4,0.1,,-0,-0,-0.09,,1.2,8,153,410,-14,0.0,-0,,,-0.010,0.972,+1.197,,64,,,,30.20,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,DOWN,-13.1,20.8,867,,,,020001F8 A67 A67,7,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.3,0,10,0.0,-61,1,0.23,0.01,0.01,112,103,117,113,105,105,110,110,0,0,,,88
2021-11-20,14:26:07,22:26:07,-08:00,+37.6909565,-121.8161295,384,3D (SFD1),599167.4,0.1,,-0,-0,0.04,,1.2,8,153,410,6,0.0,-0,,,-0.008,0.973,+1.238,,64,,,,30.20,,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,867,,,,040001F8 A70 A70,7,,L+,1200,ALT,137,17,19,3.1,0,0,29.5,12.3,0,10,0.0,-57,1,0.12,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:08,22:26:08,-08:00,+37.6909416,-121.8161252,381,3D (SFD1),599168.4,0.0,,-0,-0,-0.02,,1.2,8,154,410,20,0.2,2,,,-0.006,0.973,+1.297,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,867,,,,040001F8 A73 A73,9,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.3,0,10,0.0,-50,1,0.06,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:09,22:26:09,-08:00,+37.6909045,-121.8161123,371,3D (PFD1),599187.4,0.0,,0,0,0.00,,1.2,8,154,411,12,0.0,-0,,,-0.010,0.973,+1.320,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,868,,,,040001F8 A75 A75,9,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.4,0,10,0.0,-43,1,0.03,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:10,22:26:10,-08:00,+37.6909038,-121.8161117,370,3D (PFD1),599188.4,0.0,,0,0,0.01,,1.2,8,154,411,-2,-0.0,-0,,,-0.010,0.971,+1.355,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,868,,,,040001F8 A77 A77,10,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.4,0,9,0.0,-36,1,0.01,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:11,22:26:11,-08:00,+37.6909031,-121.8161105,370,3D (PFD1),599189.4,0.0,,0,0,-0.00,,1.2,8,153,410,-23,-0.0,-0,,,-0.010,0.972,+1.384,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,867,,,,040001F8 A80 A80,8,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.4,0,9,0.0,-28,1,0.00,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:12,22:26:12,-08:00,+37.6909023,-121.8161104,369,3D (PFD1),599190.4,0.0,,0,0,0.00,,1.2,8,153,410,-10,0.0,0,,,-0.010,0.971,+1.445,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,867,,,,040001F8 A83 A83,6,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.4,0,8,0.0,-22,1,0.00,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
2021-11-20,14:26:13,22:26:13,-08:00,+37.6909014,-121.8161099,369,3D (PFD1),599191.4,0.0,,0,0,0.00,,1.2,8,153,410,-9,0.0,0,,,-0.009,0.973,+1.472,,64,,,,30.20,121.600,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,DOWN,-13.1,20.8,866,,,,040001F8 A85 A85,6,,,1200,ALT,137,17,19,3.1,0,0,29.5,12.4,0,8,0.0,-14,1,0.00,0.01,0.01,112,103,117,113,105,105,115,110,0,0,FUEL PRESS / OIL PRESS,,88
