#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="116.7",engine_hours="116.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-22,14:32:49,22:32:49,-08:00,+37.5134430,-122.4951643,50,3D (SFD1),167569.4,0.0,,0,-0,-0.12,199.6,1.4,11,-77,51,-2,0.0,0,10.20,1.08,-0.032,0.962,+0.667,,300,,,,30.06,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.9,707,,,,040007FF D98 D98,62,,,,,175,21,20,30.4,5,210,29.7,10.7,0,11,7.7,-46,-20,,0.01,0.01,198,195,207,205,160,160,165,160,1,8,CARBON MONOX,,89
2021-11-22,14:32:50,22:32:50,-08:00,+37.5134431,-122.4951645,50,3D (SFD1),167569.9,0.0,,0,-0,0.00,199.5,1.1,11,-77,51,-8,0.1,0,10.20,1.09,-0.024,0.929,+0.673,,300,,,,30.06,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.9,707,,,,040007FF N0 N0,150,,,,,175,21,20,30.4,10,250,29.7,10.7,0,11,7.7,-46,-20,,0.01,0.01,198,195,207,205,160,160,170,175,0,8,,,89
2021-11-22,14:32:51,22:32:51,-08:00,+37.5134435,-122.4951647,51,3D (SFD1),167570.9,0.1,,0,-0,-0.10,199.5,1.1,11,-77,51,-1,0.0,0,10.12,1.18,-0.025,0.971,+0.706,,300,,,,30.06,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.9,707,,,,040007FF N4 N4,90,,,1200,ALT,175,21,20,30.9,24,630,29.2,11.2,0,11,7.7,-46,-20,,0.01,0.01,198,195,207,204,190,195,200,265,0,15,OIL PRESS / CARBON MONOX,,89
2021-11-22,14:32:52,22:32:52,-08:00,+37.5134665,-122.4952265,39,3D (PFD1),167589.9,0.0,,0,0,-0.00,199.5,1.4,11,-76,52,24,0.0,0,10.09,1.15,-0.059,0.983,+0.837,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault,,,,,,,,,,,,,,-13.2,21.9,707,,,,040007FF N7 N7,77,,,1200,ALT,175,21,20,31.6,34,620,28.5,11.7,0,11,7.7,-46,-20,,0.01,0.01,198,195,207,205,185,195,200,315,0,20,OIL PRESS,,89
2021-11-22,14:32:53,22:32:53,-08:00,+37.5134666,-122.4952265,39,3D (PFD1),167590.9,0.0,,0,0,0.00,199.5,1.4,11,-76,52,7,0.0,0,10.04,1.13,-0.086,0.984,+0.876,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.8,707,,,,040007FF N10 N10,63,,,1200,ALT,175,21,20,31.9,40,530,28.3,12.0,0,12,7.8,-46,-20,,0.01,0.01,198,195,207,206,185,190,195,325,0,20,,,89
2021-11-22,14:32:54,22:32:54,-08:00,+37.5134666,-122.4952264,39,3D (PFD1),167591.9,0.0,,0,0,0.00,199.7,1.4,11,-76,52,-5,0.0,0,10.12,0.87,-0.019,0.982,+0.793,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / 00000001 00000000,,,,,,,,,,,,,,-13.2,21.8,707,,,,040007FF N14 N14,133,,,1200,ALT,176,21,20,32.1,42,410,28.5,12.1,0,12,7.6,-46,-20,,0.01,0.01,198,195,207,206,180,185,190,305,0,17,,,89
2021-11-22,14:32:55,22:32:55,-08:00,+37.5134666,-122.4952264,39,3D (PFD1),167592.9,0.0,,0,0,-0.00,199.8,1.4,11,-77,52,-6,0.1,0,10.13,0.84,-0.024,0.981,+0.764,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.8,705,,,,040007FF N17 N17,58,,,1200,ALT,176,21,20,32.0,42,300,28.8,12.2,0,13,7.2,-46,-20,,0.01,0.01,198,195,207,206,180,185,190,295,0,14,,,89
2021-11-22,14:32:56,22:32:56,-08:00,+37.5134666,-122.4952264,39,3D (PFD1),167593.9,0.0,,0,0,0.00,199.8,1.4,11,-77,51,-9,0.0,0,10.29,0.93,-0.021,0.984,+0.816,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.8,704,,,,040007FF N21 N21,33,,,1200,ALT,176,21,20,32.2,41,260,28.1,12.3,0,13,6.0,-46,-20,,0.01,0.01,198,195,207,206,180,185,190,285,0,11,,,89
2021-11-22,14:32:57,22:32:57,-08:00,+37.5134666,-122.4952264,39,3D (PFD1),167594.9,0.0,,0,0,0.00,199.7,1.4,11,-77,51,-3,-0.0,-0,10.22,1.08,-0.027,0.965,+0.914,,300,,,,30.06,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,21.8,702,,,,040007FF N25 N25,37,,,1200,ALT,176,21,20,32.3,38,150,27.8,12.3,0,13,4.4,-46,-20,,0.01,0.01,198,195,207,206,180,180,185,275,0,8,,,89
