#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="118.0",engine_hours="118.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-11-26,12:10:49,20:10:49,-08:00,+36.9349052,-121.7885659,136,3D (SFD1),504649.2,0.2,,0,-0,-0.06,,1.2,9,-101,183,-4,0.0,-0,,,-0.009,0.978,+0.163,,108,,,,30.23,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.0,21.3,610,,,,081001F8 A23 A23,6,,,,,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.93,0.01,0.01,143,161,165,165,135,145,145,145,0,0,,,89
2021-11-26,12:10:49,20:10:49,-08:00,+36.9349106,-121.7885720,133,3D (SFD1),504649.5,0.2,,0,-0,-0.10,,1.2,9,-101,183,-3,0.0,0,,,-0.010,0.977,+0.176,,108,,,,30.23,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.0,21.3,610,,,,081001F8 A23 A23,6,,,,,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.91,0.01,0.01,143,161,165,165,135,145,145,145,0,0,,,89
2021-11-26,12:10:51,20:10:51,-08:00,+36.9349074,-121.7885611,131,3D (SFD1),504650.6,0.1,,0,-0,0.01,,1.2,9,-101,183,-3,0.0,0,,,-0.009,0.978,+0.444,,108,,,,30.23,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.0,21.3,609,,,,081001F8 A26 A26,7,,L+,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.78,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:51,20:10:51,-08:00,+36.9349077,-121.7885727,140,3D (SFD1),504651.4,0.1,,0,-0,-0.01,,1.2,9,-101,183,5,0.0,-0,,,-0.010,0.978,+0.705,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.0,21.3,609,,,,081001F8 A29 A29,5,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.68,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:52,20:10:52,-08:00,+36.9349077,-121.7885691,139,3D (SFD1),504652.5,0.1,,0,-0,-0.03,,1.2,9,-101,183,-3,0.0,0,,,-0.009,0.977,+1.019,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.0,21.3,609,,,,081101F8 A31 A31,5,,L+,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.50,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:53,20:10:53,-08:00,+36.9349098,-121.7885608,134,3D (SFD1),504653.4,0.1,,0,-0,-0.03,,1.2,9,-101,183,6,0.0,0,,,-0.008,0.978,+1.209,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.0,21.3,608,,,,081101F8 A34 A34,5,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-12,-20,0.32,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:54,20:10:54,-08:00,+36.9349083,-121.7885798,129,3D (SFD1),504654.4,0.0,,0,-0,-0.02,,1.2,9,-101,183,3,0.0,0,,,-0.010,0.977,+1.334,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,609,,,,081101F8 A37 A37,5,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,8,0.0,-8,-20,0.16,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:55,20:10:55,-08:00,+36.9349114,-121.7885772,134,3D (SFD1),504655.4,0.1,,0,-0,0.00,,1.2,9,-101,183,-0,0.0,-0,,,-0.011,0.978,+1.404,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,609,,,,081101F8 A40 A40,6,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.07,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:56,20:10:56,-08:00,+36.9349030,-121.7885656,133,3D (SFD1),504656.4,0.0,,0,-0,0.02,,1.2,9,-101,183,-5,0.0,0,,,-0.010,0.978,+1.508,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,609,,,,081101F8 A41 A41,7,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.03,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:57,20:10:57,-08:00,+36.9349062,-121.7885730,124,3D (SFD1),504657.4,0.0,,0,-0,-0.04,,1.2,9,-101,183,-0,0.0,0,,,-0.010,0.978,+1.517,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,609,,,,081101F8 A43 A43,6,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.01,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:58,20:10:58,-08:00,+36.9349007,-121.7885811,125,3D (SFD1),504658.5,0.1,,0,-0,-0.07,,1.7,9,-101,183,0,0.0,0,,,-0.008,0.976,+1.421,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,081101F8 A46 A46,7,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:10:59,20:10:59,-08:00,+36.9348950,-121.7885093,118,3D,504677.5,0.0,,0,0,0.01,,1.2,9,-101,183,-1,0.0,0,,,-0.008,0.977,+1.293,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A48 A48,7,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:11:00,20:11:00,-08:00,+36.9348950,-121.7885100,118,3D,504678.5,0.0,,0,0,0.01,,1.2,9,-101,183,-6,0.0,-0,,,-0.009,0.978,+1.199,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A50 A50,5,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:11:01,20:11:01,-08:00,+36.9348945,-121.7885119,118,3D,504679.5,0.0,,0,0,-0.00,,1.2,9,-101,183,1,0.0,-0,,,-0.010,0.978,+1.186,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A53 A53,5,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:11:02,20:11:02,-08:00,+36.9348937,-121.7885125,118,3D,504680.5,0.0,,0,0,0.00,,1.2,9,-101,183,3,0.0,0,,,-0.008,0.977,+1.234,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A56 A56,8,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,7,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:11:03,20:11:03,-08:00,+36.9348931,-121.7885142,118,3D,504681.5,0.0,,0,0,-0.00,,1.2,9,-101,183,-1,0.0,0,,,-0.009,0.978,+1.268,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A59 A59,6,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,6,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
2021-11-26,12:11:04,20:11:04,-08:00,+36.9348924,-121.7885156,118,3D,504682.5,0.0,,0,0,0.00,,1.2,9,-101,183,-1,0.0,0,,,-0.010,0.977,+1.255,,108,,,,30.23,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.0,21.3,610,,,,040001F8 A61 A61,6,,,1200,ALT,162,17,19,7.6,0,0,29.9,12.2,0,6,0.0,-7,-20,0.00,0.01,0.01,143,161,165,165,135,145,145,145,0,0,FUEL PRESS / OIL PRESS,,89
