#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="121.1",engine_hours="121.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-12-05,14:36:40,22:36:40,-08:00,+38.9874501,-122.8960984,1398,3D-,81418.5,0.1,,0,0,-0.18,,1.6,6,1097,1418,1,0.0,-0,,,0.007,0.979,+1.352,,300,,,,30.27,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081001F8 A26 A26,7,,,,,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,152,130,125,130,125,0,0,ECS FAIL,,90
2021-12-05,14:36:41,22:36:41,-08:00,+38.9874562,-122.8960981,1400,3D-,81419.1,0.0,,0,0,-0.13,,1.6,6,1097,1418,0,0.0,0,,,0.007,0.976,+1.292,,300,,,,30.27,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.6,24.2,2416,,,,081001F8 A28 A28,8,,L+,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,152,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:42,22:36:42,-08:00,+38.9874639,-122.8961033,1402,3D-,81420.0,0.0,,0,0,-0.09,,1.6,6,1097,1418,3,0.0,0,,,0.005,0.975,+1.222,,300,,,,30.27,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.6,24.2,2416,,,,081001F8 A30 A30,9,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,152,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:43,22:36:43,-08:00,+38.9874653,-122.8961132,1400,3D-,81421.0,0.0,,0,0,-0.07,,1.6,6,1097,1419,-1,0.0,-0,,,0.009,0.984,+1.148,,300,,,,30.27,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081001F8 A32 A32,11,,L+,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:44,22:36:44,-08:00,+38.9874646,-122.8961285,1395,3D-,81422.0,0.0,,0,0,-0.05,,1.6,6,1097,1418,0,0.0,-0,,,0.004,0.974,+1.110,,300,,,,30.27,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A35 A35,7,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:45,22:36:45,-08:00,+38.9874624,-122.8961386,1391,3D-,81423.0,0.0,,0,0,-0.04,,1.6,6,1097,1418,-0,0.0,0,,,0.006,0.975,+1.099,,300,,,,30.27,,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A37 A37,7,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:46,22:36:46,-08:00,+38.9874622,-122.8961478,1387,3D-,81424.0,0.0,,0,0,-0.03,,1.6,6,1097,1418,-0,0.0,0,,,0.009,0.974,+1.089,,300,,,,30.27,,GPS1,LOI,,,,,,,,LPV,,,,,Fail,,,,,,,,,,,,,,0.0,24.2,2415,,,,081101F8 A40 A40,6,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:47,22:36:47,-08:00,+38.9874615,-122.8961532,1384,3D-,81425.0,0.0,,0,0,-0.03,,1.6,6,1097,1418,0,0.0,0,,,0.005,0.977,+1.101,,300,,,,30.27,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A43 A43,7,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:48,22:36:48,-08:00,+38.9874599,-122.8961558,1382,3D-,81426.0,0.0,,0,0,-0.02,,1.6,6,1097,1419,2,0.0,-0,,,0.008,0.976,+1.125,,300,,,,30.27,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A46 A46,7,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:49,22:36:49,-08:00,+38.9874602,-122.8961536,1382,3D-,81427.0,0.0,,0,0,-0.02,,1.6,6,1097,1418,-6,0.0,-0,,,0.005,0.972,+1.142,,300,,,,30.27,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A48 A48,6,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:50,22:36:50,-08:00,+38.9874692,-122.8961530,1380,3D-,81428.0,0.0,,0,0,-0.02,,1.6,6,1097,1418,1,0.0,0,,,0.006,0.976,+1.133,,300,,,,30.27,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A50 A50,7,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
2021-12-05,14:36:51,22:36:51,-08:00,+38.9874704,-122.8961492,1381,3D-,81429.0,0.0,,0,0,-0.01,,1.6,6,1097,1418,-3,0.0,0,,,0.007,0.973,+1.077,,300,,,,30.27,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,24.2,2415,,,,081101F8 A53 A53,6,,,1200,ALT,155,18,17,6.1,0,0,28.8,0.4,0,0,0.0,-48,-20,0.00,0.01,0.01,156,148,156,153,130,125,130,125,0,0,FUEL PRESS / OIL PRESS / VOLTS / ECS FAIL,,90
