#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2M",product="GDU 460",software_version="8.92",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="123.6",engine_hours="123.6"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-12-18,14:41:37,22:41:37,-08:00,+37.5153002,-122.2514227,-4,3D-,600114.7,0.0,,0,0,-0.02,,2.4,7,-239,-1,-3,0.0,0,,,-0.017,0.989,+0.835,,300,,,,30.18,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081001F8 A26 A26,25,,,,,145,15,13,12.5,0,0,30.0,12.6,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,,,90
2021-12-18,14:41:37,22:41:37,-08:00,+37.5152991,-122.2514207,-7,3D-,600115.2,0.0,,0,0,-0.03,,2.4,7,-239,-1,0,0.0,0,,,-0.022,0.973,+0.836,,300,,,,30.18,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081001F8 A26 A26,20,,,,,145,14,15,12.5,0,0,30.0,12.6,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,,,90
2021-12-18,14:41:38,22:41:38,-08:00,+37.5152968,-122.2514388,-17,3D (SFD1),600098.1,0.1,,0,0,0.09,,1.5,7,-239,-1,-5,0.0,0,,,-0.017,0.975,+0.850,,300,,,,30.18,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081001F8 A28 A28,14,,L+,1200,ALT,145,14,15,12.5,0,0,30.0,12.6,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:39,22:41:39,-08:00,+37.5153021,-122.2514385,-13,3D (SFD1),600099.1,0.1,,0,0,-0.09,,2.4,7,-239,-1,-3,0.0,0,,,-0.023,0.967,+0.861,,300,,,,30.18,121.600,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081001F8 A30 A30,16,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.6,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:40,22:41:40,-08:00,+37.5152998,-122.2514183,-17,3D (SFD1),600100.1,0.1,,0,0,0.12,,1.5,7,-239,-1,-0,0.0,0,,,-0.021,0.978,+0.886,,300,,,,30.18,121.600,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081001F8 A32 A32,15,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.6,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:41,22:41:41,-08:00,+37.5153011,-122.2513895,-19,3D (SFD1),600101.1,0.1,,0,0,0.04,,1.5,7,-239,-1,2,0.0,0,,,-0.016,0.989,+0.919,,300,,,,30.18,121.600,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081101F8 A34 A34,16,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.5,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,110,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:42,22:41:42,-08:00,+37.5153067,-122.2514098,-4,3D (SFD1),600102.1,0.0,,0,0,0.08,,1.5,7,-239,-0,3,0.0,0,,,-0.003,0.973,+0.932,,300,,,,30.18,121.600,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081101F8 A37 A37,20,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.5,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,115,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:43,22:41:43,-08:00,+37.5153024,-122.2514126,-9,3D (SFD1),600103.0,0.1,,0,0,0.05,,1.5,7,-239,-0,2,0.0,0,,,-0.012,0.977,+0.933,,300,,,,30.18,121.600,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081101F8 A39 A39,15,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.5,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,115,115,115,0,0,OIL PRESS,,90
2021-12-18,14:41:44,22:41:44,-08:00,+37.5153117,-122.2514015,0,3D (SFD1),600104.0,0.1,,0,0,-0.01,,1.5,7,-239,-0,-3,0.0,0,,,-0.009,0.980,+0.932,,300,,,,30.18,121.600,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,15.2,-267,,,,081101F8 A42 A42,9,,,1200,ALT,145,14,15,12.5,0,0,30.0,12.5,0,8,0.0,-57,-19,,0.01,0.01,150,143,151,149,115,115,115,115,0,0,OIL PRESS,,90
