#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="131.7",engine_hours="131.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-01-09,13:08:11,21:08:11,-08:00,+36.6784681,-121.7634896,184,3D-,76109.3,0.0,,0,0,0.10,,1.2,9,-146,148,1,0.0,0,,,-0.009,0.972,+1.022,,110,,,,30.24,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081001F8 A26 A26,7,,,,,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,179,174,187,175,130,125,140,125,0,0,,,94
2022-01-09,13:08:12,21:08:12,-08:00,+36.6785065,-121.7633683,138,3D (SFD1),76092.1,0.0,,-0,-0,-0.02,,1.2,9,-146,148,-1,0.0,0,,,-0.009,0.971,+1.039,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081001F8 A28 A28,7,,L+,,,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,,,94
2022-01-09,13:08:13,21:08:13,-08:00,+36.6785023,-121.7633675,133,3D (SFD1),76093.1,0.1,,-0,-0,0.07,,1.2,9,-146,148,1,0.0,0,,,-0.008,0.971,+1.044,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081001F8 A30 A30,6,,,,,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:14,21:08:14,-08:00,+36.6785078,-121.7633757,111,3D (SFD1),76094.3,0.1,,-0,-0,0.07,,1.2,9,-146,148,2,0.0,0,,,-0.009,0.971,+1.030,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081001F8 A31 A31,6,,,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:15,21:08:15,-08:00,+36.6785106,-121.7633698,95,3D (SFD1),76095.2,0.1,,-0,-0,0.15,,1.2,9,-146,148,4,0.0,0,,,-0.008,0.972,+0.986,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081001F8 A34 A34,5,,,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:16,21:08:16,-08:00,+36.6785091,-121.7633718,101,3D (SFD1),76096.2,0.1,,-0,-0,0.10,,1.2,9,-146,148,4,0.0,0,,,-0.010,0.971,+0.955,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.0,288,,,,081101F8 A35 A35,6,,,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,9,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:17,21:08:17,-08:00,+36.6785176,-121.7633229,93,3D (SFD1),76097.2,0.1,,-0,-0,-0.10,,1.2,9,-145,148,10,0.0,0,,,-0.008,0.972,+0.953,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-12.9,19.0,289,,,,081101F8 A38 A38,6,,,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,8,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:18,21:08:18,-08:00,+36.6785154,-121.7633541,93,3D (SFD1),76098.2,0.1,,-0,-0,0.09,,1.2,9,-145,148,1,0.0,0,,,-0.007,0.972,+0.966,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.9,19.0,289,,,,081101F8 A41 A41,5,,L+,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,8,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
2022-01-09,13:08:19,21:08:19,-08:00,+36.6785234,-121.7633489,89,3D (SFD1),76099.2,0.0,,-0,-0,-0.05,,1.7,9,-146,148,-9,0.0,0,,,-0.007,0.971,+0.982,,110,,,,30.24,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.9,19.0,289,,,,081101F8 A43 A43,16,,,1200,ALT,163,21,16,26.7,0,0,29.8,12.5,0,8,0.0,-7,-2,0.00,0.01,0.01,180,174,187,175,130,125,140,125,0,0,OIL PRESS,,94
