#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="132.2",engine_hours="132.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-01-09,14:00:15,22:00:15,-08:00,+36.8883579,-121.4032094,194,3D-,79233.3,0.0,,0,0,-0.09,,1.1,9,-68,207,-4,0.0,0,,,-0.017,0.974,+1.400,,40,,,,30.22,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.8,474,,,,081001F8 A29 A29,7,,,,,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,,,94
2022-01-09,14:00:16,22:00:16,-08:00,+36.8883321,-121.4031686,212,3D (SFD1),79216.1,0.0,,-0,0,-0.02,,1.4,9,-68,207,0,0.0,0,,,-0.011,0.976,+1.363,,40,,,,30.22,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.8,474,,,,081001F8 A32 A32,10,,L+,,,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,,,94
2022-01-09,14:00:17,22:00:17,-08:00,+36.8883283,-121.4031716,211,3D (SFD1),79217.2,0.1,,-0,0,-0.04,,1.1,9,-68,207,5,0.0,0,,,-0.017,0.974,+1.325,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.8,474,,,,081001F8 A34 A34,8,,,,,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:18,22:00:18,-08:00,+36.8883307,-121.4031726,213,3D (SFD1),79218.3,0.1,,-0,0,0.08,,1.1,9,-68,207,-5,0.0,0,,,-0.018,0.974,+1.360,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.8,474,,,,081001F8 A36 A36,5,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:19,22:00:19,-08:00,+36.8883283,-121.4031757,209,3D (SFD1),79219.2,0.1,,-0,0,-0.01,,1.1,9,-69,207,-6,0.0,0,,,-0.016,0.975,+1.357,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.7,473,,,,081001F8 A38 A38,7,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:20,22:00:20,-08:00,+36.8883333,-121.4031659,207,3D (SFD1),79220.2,0.1,,-0,0,0.01,,1.1,9,-69,207,-3,0.0,0,,,-0.017,0.974,+1.388,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-12.9,19.7,473,,,,081101F8 A40 A40,6,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:21,22:00:21,-08:00,+36.8883310,-121.4031667,207,3D (SFD1),79221.2,0.1,,-0,0,0.02,,1.1,9,-68,207,-1,0.0,0,,,-0.016,0.973,+1.376,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-12.9,19.7,473,,,,081101F8 A43 A43,6,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:22,22:00:22,-08:00,+36.8883390,-121.4031549,210,3D (SFD1),79222.2,0.1,,-0,0,0.08,,1.1,9,-69,207,-3,0.0,1,,,-0.018,0.975,+1.349,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.9,19.7,473,,,,081101F8 A46 A46,7,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
2022-01-09,14:00:23,22:00:23,-08:00,+36.8883632,-121.4032117,193,3D,79241.2,0.0,,0,0,-0.00,,1.1,10,-69,207,-4,0.0,-0,,,-0.017,0.973,+1.282,,40,,,,30.22,123.000,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.9,19.7,473,,,,080001F8 A47 A47,6,,,1200,ALT,171,18,16,29.8,0,0,29.8,12.4,0,6,0.0,-61,-2,0.00,0.01,0.01,216,218,228,220,175,165,195,170,0,0,OIL PRESS,,94
