#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="146.9",engine_hours="146.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-02-25,11:34:51,19:34:51,-08:00,+36.9345345,-121.7881340,118,3D-,502509.5,0.0,,0,0,0.06,,1.1,9,-200,158,-2,0.0,0,,,-0.013,0.977,+0.946,,20,,,,30.31,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.0,18.2,125,,,,081001F8 A28 A28,6,,,,,159,12,13,27.7,0,0,30.1,12.4,0,6,0.0,-3,39,0.84,0.01,0.01,185,189,196,191,150,145,155,145,0,0,,,101
2022-02-25,11:34:52,19:34:52,-08:00,+36.9345785,-121.7881610,122,3D (SFD1),502492.4,0.0,,0,0,-0.02,,1.1,10,-200,158,-3,0.0,-0,,,-0.013,0.978,+0.970,,20,,,,30.31,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,18.1,124,,,,081001F8 A29 A29,5,,L+,,,159,12,13,27.7,0,0,30.1,12.4,0,7,0.0,-3,39,0.77,0.01,0.01,185,189,196,191,150,145,155,145,0,0,,,101
2022-02-25,11:34:53,19:34:53,-08:00,+36.9345763,-121.7881555,117,3D (SFD1),502493.4,0.0,,0,0,0.01,,1.1,9,-200,158,5,0.0,-0,,,-0.013,0.979,+1.032,,20,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,18.1,123,,,,081001F8 A31 A31,5,,,,,159,12,13,27.7,0,0,30.1,12.4,0,7,0.0,-3,39,0.65,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:54,19:34:54,-08:00,+36.9345772,-121.7881634,120,3D (SFD1),502494.4,0.1,,0,0,-0.10,,1.1,9,-200,158,-4,0.0,0,,,-0.014,0.978,+1.069,,20,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,18.1,123,,,,081001F8 A34 A34,5,,,1200,ALT,159,12,13,27.7,0,0,30.1,12.4,0,7,0.0,-3,39,0.48,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:55,19:34:55,-08:00,+36.9345718,-121.7881544,112,3D (SFD1),502495.4,0.1,,0,0,0.02,,1.1,10,-200,158,-4,0.0,1,,,-0.014,0.977,+1.123,,20,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.0,18.1,121,,,,081001F8 A35 A35,6,,,1200,ALT,159,12,13,27.7,0,0,30.2,12.4,0,7,0.0,-3,39,0.30,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:56,19:34:56,-08:00,+36.9345730,-121.7881586,110,3D (SFD1),502496.4,0.1,,0,0,0.05,,1.1,10,-200,158,-1,0.0,0,,,-0.012,0.977,+1.154,,20,,,,30.31,122.800,GPS1,LOI,,,,,,,,LPV,,,,,Powerup,,,,,,,,,,,,0.0,18.1,120,,,,081101F8 A38 A38,6,,,1200,ALT,159,12,13,27.7,0,0,30.2,12.4,0,7,0.0,-3,39,0.15,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:57,19:34:57,-08:00,+36.9345734,-121.7881571,120,3D (SFD1),502497.4,0.1,,0,0,0.02,,1.1,10,-200,158,1,0.0,0,,,-0.012,0.978,+1.239,,20,,,,30.31,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,-13.0,18.1,119,,,,081101F8 A41 A41,6,,,1200,ALT,159,12,13,27.7,0,0,30.2,12.4,0,7,0.0,-3,39,0.07,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:58,19:34:58,-08:00,+36.9345625,-121.7881539,121,3D (SFD1),502498.4,0.1,,0,0,-0.01,,1.1,10,-200,158,3,0.0,0,,,-0.012,0.978,+1.308,,20,,,,30.31,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.1,118,,,,081101F8 A43 A43,5,,,1200,ALT,159,12,13,27.7,0,0,30.2,12.4,0,6,0.0,-3,39,0.03,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
2022-02-25,11:34:59,19:34:59,-08:00,+36.9345366,-121.7881462,118,3D,502517.4,0.0,,0,0,0.00,,1.1,10,-200,158,-5,0.0,-0,,,-0.014,0.977,+1.354,,20,,,,30.31,122.800,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.0,18.1,117,,,,040001F8 A45 A45,8,,,1200,ALT,159,12,13,27.7,0,0,30.2,12.4,0,6,0.0,-3,39,0.01,0.01,0.01,185,189,196,191,150,145,155,145,0,0,OIL PRESS,,101
