#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="147.5",engine_hours="147.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-02-25,12:22:28,20:22:28,-08:00,+37.5137964,-122.4948926,-4,3D-,505366.3,46.2,51,19,15,0.39,,1.2,9,-284,73,-1,0.0,0,,,-0.016,0.979,+1.069,,344,,,,30.31,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-361,,,,081001F8 A28 A28,5,,,,,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,214,219,237,226,225,220,265,230,0,0,,,101
2022-02-25,12:22:29,20:22:29,-08:00,+37.5134374,-122.4951916,25,3D (SFD1),505349.0,22.3,,-0,-0,0.23,,1.2,9,-285,73,-7,0.0,0,,,-0.015,0.980,+0.973,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-361,,,,081001F8 A30 A30,7,,L+,,,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,214,219,237,226,225,220,265,230,0,0,,,101
2022-02-25,12:22:30,20:22:30,-08:00,+37.5134362,-122.4952031,26,3D (SFD1),505350.0,3.0,,-0,-0,0.02,,1.2,9,-285,73,-3,0.0,0,,,-0.016,0.980,+0.799,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-362,,,,081001F8 A32 A32,6,,,,,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,214,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:31,20:22:31,-08:00,+37.5134376,-122.4952091,23,3D (SFD1),505351.0,0.5,,-0,-0,0.03,,1.2,9,-285,73,-0,0.0,0,,,-0.019,0.983,+0.766,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-362,,,,081001F8 A34 A34,7,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,214,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:32,20:22:32,-08:00,+37.5134478,-122.4952024,24,3D (SFD1),505352.0,0.1,,-0,-0,-0.02,,1.2,9,-284,73,5,0.0,0,,,-0.015,0.979,+0.628,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-362,,,,081001F8 A36 A36,5,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,215,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:33,20:22:33,-08:00,+37.5134329,-122.4952132,15,3D (SFD1),505353.1,0.1,,-0,-0,0.08,,1.2,9,-284,73,-0,0.0,0,,,-0.016,0.981,+0.277,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,14.9,-362,,,,081101F8 A38 A38,6,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,215,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:34,20:22:34,-08:00,+37.5134276,-122.4952104,14,3D (SFD1),505354.0,0.1,,-0,-0,0.06,,1.2,9,-285,73,-3,0.0,-0,,,-0.018,0.979,-0.006,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,-13.2,14.9,-362,,,,081101F8 A41 A41,6,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,215,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:35,20:22:35,-08:00,+37.5134314,-122.4952080,16,3D (SFD1),505355.0,0.1,,-0,-0,0.15,,1.2,9,-285,73,-3,0.0,0,,,-0.015,0.980,-0.065,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,14.9,-362,,,,081101F8 A43 A43,5,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,215,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
2022-02-25,12:22:36,20:22:36,-08:00,+37.5134396,-122.4951955,23,3D (SFD1),505356.0,0.1,,-0,-0,-0.01,,1.2,9,-285,73,-2,0.0,0,,,-0.017,0.982,-0.126,,344,,,,30.31,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,14.9,-362,,,,081101F8 A46 A46,6,,,1200,ALT,151,21,20,33.7,0,0,30.2,12.5,0,6,0.0,-40,39,,0.01,0.01,215,219,237,226,225,220,265,230,0,0,OIL PRESS,,101
