#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="148.1",engine_hours="148.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-02-26,11:13:17,19:13:17,-08:00,+38.2581725,-122.4372573,21,3D (SFD1),587597.0,8.1,,-0,0,-0.03,,1.1,10,-411,2,-3,0.0,0,,,-0.037,0.974,+1.475,,344,,,,30.37,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-833,,,,081001F8 A25 A25,7,,,,,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,,,101
2022-02-26,11:13:18,19:13:18,-08:00,+38.2581821,-122.4372578,23,3D (SFD1),587597.8,1.6,,-0,0,0.15,,1.1,10,-411,2,-6,0.0,0,,,-0.043,0.971,+1.658,,344,,,,30.37,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-832,,,,081001F8 A26 A26,8,,L+,,,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,,,101
2022-02-26,11:13:19,19:13:19,-08:00,+38.2581907,-122.4372625,25,3D (SFD1),587598.8,0.3,,-0,0,0.03,,1.1,10,-411,2,-3,0.0,0,,,-0.039,0.976,+1.912,,344,,,,30.37,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-832,,,,081001F8 A28 A28,6,,,,,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:20,19:13:20,-08:00,+38.2581868,-122.4372700,24,3D (SFD1),587599.8,0.1,,-0,0,-0.02,,1.1,10,-411,2,4,0.0,0,,,-0.042,0.975,+1.909,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-832,,,,081001F8 A31 A31,5,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:21,19:13:21,-08:00,+38.2581772,-122.4372694,19,3D (SFD1),587600.8,0.0,,-0,0,0.02,,1.1,10,-411,2,4,0.0,0,,,-0.044,0.976,+1.780,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-832,,,,081001F8 A33 A33,8,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:22,19:13:22,-08:00,+38.2581795,-122.4372678,13,3D (SFD1),587601.8,0.0,,-0,0,0.03,,1.1,10,-411,2,-2,0.0,0,,,-0.046,0.976,+1.605,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,12.3,-831,,,,081101F8 A35 A35,6,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:23,19:13:23,-08:00,+38.2581758,-122.4372640,16,3D (SFD1),587602.8,0.0,,-0,0,-0.01,,1.1,10,-411,2,0,0.0,0,,,-0.045,0.975,+1.418,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.4,12.3,-831,,,,081101F8 A38 A38,7,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:24,19:13:24,-08:00,+38.2581789,-122.4372630,24,3D (SFD1),587603.8,0.0,,-0,0,-0.02,,1.1,10,-411,2,-1,0.0,0,,,-0.039,0.972,+1.297,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,12.3,-831,,,,081101F8 A40 A40,8,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.4,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
2022-02-26,11:13:25,19:13:25,-08:00,+38.2581802,-122.4372530,29,3D (SFD1),587604.8,0.0,,-0,0,0.05,,1.1,10,-411,2,2,0.0,0,,,-0.040,0.976,+1.317,,344,,,,30.37,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,12.3,-831,,,,081101F8 A42 A42,6,,,1200,ALT,153,18,20,30.7,0,0,30.2,12.5,0,6,0.0,-40,-39,,0.00,0.01,195,199,208,205,170,165,195,170,0,0,OIL PRESS,,101
