#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="148.7",engine_hours="148.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-02-26,13:02:16,21:02:16,-08:00,+38.9872998,-122.8958191,1364,3D-,594153.9,0.0,,0,0,0.05,,2.0,9,988,1419,-1,0.0,0,,,0.007,0.974,+0.503,,260,,,,30.39,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1320,,,,081001F8 A29 A29,7,,,,,134,17,18,12.1,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,131,105,105,105,105,0,0,,,101
2022-02-26,13:02:17,21:02:17,-08:00,+38.9873554,-122.8957757,1388,3D (SFD1),594136.6,2.1,,1,2,0.50,,2.0,9,988,1419,2,0.0,-0,,,0.004,0.978,+0.515,,260,,,,30.39,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1320,,,,081001F8 A31 A31,9,,L+,,,134,17,18,12.1,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,131,105,105,105,105,0,0,,,101
2022-02-26,13:02:18,21:02:18,-08:00,+38.9872615,-122.8958043,1357,3D (SFD1),594137.6,0.8,,-0,-0,-0.10,,1.3,9,988,1419,-0,0.0,0,,,0.001,0.976,+0.522,,260,,,,30.39,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1321,,,,081001F8 A32 A32,8,,,,,134,17,18,12.1,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,131,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:19,21:02:19,-08:00,+38.9872747,-122.8957951,1353,3D (SFD1),594138.6,0.1,,-0,-0,0.00,,2.0,9,988,1419,-6,0.0,1,,,0.005,0.977,+0.528,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1321,,,,081001F8 A34 A34,6,,,1200,ALT,134,17,18,12.1,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,131,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:20,21:02:20,-08:00,+38.9872665,-122.8957966,1357,3D (SFD1),594139.6,0.0,,-0,-0,0.08,,1.3,9,988,1419,-1,0.0,0,,,0.004,0.979,+0.556,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1322,,,,081001F8 A37 A37,7,,,1200,ALT,134,17,18,12.1,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,131,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:21,21:02:21,-08:00,+38.9872863,-122.8958080,1378,3D (SFD1),594140.6,0.0,,-0,-0,-0.01,,1.3,9,988,1419,-4,0.0,-0,,,-0.001,0.977,+0.625,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.6,15.9,1322,,,,081101F8 A39 A39,5,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:22,21:02:22,-08:00,+38.9873085,-122.8957985,1378,3D (SFD1),594141.6,0.0,,-0,-0,0.12,,2.0,9,988,1419,0,0.0,-0,,,0.003,0.979,+0.703,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.6,15.9,1322,,,,081101F8 A40 A40,5,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:23,21:02:23,-08:00,+38.9873263,-122.8958064,1389,3D (SFD1),594142.6,0.0,,-0,-0,0.05,,1.3,9,988,1419,-0,0.0,1,,,0.002,0.979,+0.809,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1323,,,,080001F8 A42 A42,6,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:24,21:02:24,-08:00,+38.9872910,-122.8958437,1367,3D,594161.8,0.0,,0,0,0.00,,1.3,9,988,1419,1,0.0,-0,,,0.004,0.977,+0.914,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1324,,,,040001F8 A45 A45,6,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:25,21:02:25,-08:00,+38.9872908,-122.8958449,1366,3D,594162.8,0.0,,0,0,0.00,,1.3,9,988,1419,-1,0.0,-0,,,0.005,0.976,+1.031,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1325,,,,040001F8 A47 A47,5,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:26,21:02:26,-08:00,+38.9872908,-122.8958463,1366,3D,594163.8,0.0,,0,0,-0.00,,1.3,9,988,1419,-2,0.0,-0,,,-0.002,0.972,+1.129,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1326,,,,040001F8 A50 A50,7,,,1200,ALT,134,17,18,12.0,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:27,21:02:27,-08:00,+38.9872905,-122.8958478,1366,3D,594164.8,0.0,,0,0,-0.00,,1.3,9,988,1419,2,0.0,0,,,0.004,0.977,+1.243,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1327,,,,040001F8 A53 A53,5,,,1200,ALT,134,17,18,11.9,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:28,21:02:28,-08:00,+38.9872895,-122.8958495,1366,3D,594165.8,0.0,,0,0,-0.00,,1.3,9,988,1419,-2,0.0,-0,,,0.000,0.977,+1.279,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1328,,,,040001F8 A56 A56,9,,,1200,ALT,134,17,18,11.9,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
2022-02-26,13:02:29,21:02:29,-08:00,+38.9872889,-122.8958516,1366,3D,594166.8,0.0,,0,0,0.00,,1.3,9,988,1419,-1,0.0,-0,,,0.004,0.977,+1.226,,260,,,,30.39,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.6,15.9,1329,,,,040001F8 A58 A58,7,,,1200,ALT,134,17,18,11.9,0,0,28.6,12.4,0,6,0.0,-45,-23,,0.01,0.01,135,128,135,132,105,105,105,105,0,0,OIL PRESS,,101
