#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="153.2",engine_hours="153.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-03-13,15:24:21,22:24:21,-07:00,+38.2582357,-122.6080260,44,3D (SFD1),80660.7,0.1,,-0,0,0.01,,1.5,7,-209,94,-1,0.0,0,,,-0.002,0.983,+1.377,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,19.7,299,,,,081001F8 A31 A31,9,,,,,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:21,22:24:21,-07:00,+38.2582357,-122.6080260,44,3D (SFD1),80660.7,0.1,,-0,0,0.01,,1.5,7,-209,94,-1,0.0,0,,,-0.002,0.983,+1.377,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,19.7,299,,,,081001F8 A31 A31,9,,,,,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:21,22:24:21,-07:00,+38.2582352,-122.6080213,43,3D (SFD1),80661.2,0.1,,-0,0,0.13,,1.5,7,-209,94,2,0.0,0,,,-0.001,0.980,+1.340,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,19.7,299,,,,081001F8 A32 A32,7,,,,,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:22,22:24:22,-07:00,+38.2582282,-122.6080374,50,3D (SFD1),80662.3,0.1,,-0,0,0.02,,2.2,7,-209,94,5,0.0,0,,,-0.003,0.979,+1.244,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.4,19.7,299,,,,081101F8 A34 A34,5,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:23,22:24:23,-07:00,+38.2582328,-122.6080310,46,3D (SFD1),80663.3,0.1,,-0,0,0.02,,1.5,7,-209,94,-2,0.0,0,,,-0.003,0.981,+1.179,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.4,19.7,298,,,,081101F8 A37 A37,7,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:24,22:24:24,-07:00,+38.2582326,-122.6080262,42,3D (SFD1),80664.2,0.1,,-0,0,0.02,,1.5,7,-209,94,-5,0.0,0,,,0.004,0.981,+1.141,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,19.7,298,,,,081101F8 A38 A38,7,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:25,22:24:25,-07:00,+38.2582383,-122.6080314,44,3D (SFD1),80665.2,0.1,,-0,0,0.10,,1.5,7,-209,94,-1,0.0,0,,,-0.002,0.971,+1.118,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,19.7,297,,,,081101F8 A41 A41,9,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:26,22:24:26,-07:00,+38.2582388,-122.6080399,44,3D (SFD1),80666.2,0.1,,-0,0,0.06,,1.5,7,-209,94,-8,0.0,0,,,-0.002,0.980,+1.096,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,19.7,296,,,,081101F8 A43 A43,5,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
2022-03-13,15:24:27,22:24:27,-07:00,+38.2582282,-122.6080406,46,3D (SFD1),80667.3,0.1,,-0,0,-0.06,,1.5,7,-210,93,-5,0.0,0,,,-0.002,0.980,+1.070,,240,,,,30.25,122.700,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.4,19.7,296,,,,081101F8 A46 A46,6,,,1200,ALT,120,21,18,0.0,0,0,29.8,12.5,0,6,0.0,-2,-12,0.97,0.01,0.01,75,79,83,81,70,80,80,80,0,0,FUEL PRESS / OIL PRESS,,102
