#airframe_info,"log_version=""1.00""","log_content_version=""1.02""","product=""GDU 460""","aircraft_ident=""N430WB""","unit_software_part_number=""006-B1727-2L""","product=""GDU 460""","software_version=""9.00""","system_id=""60002EB05E7DB""","unit=""PFD1""","airframe_hours=""164.1""","engine_hours=""164.1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-04-29,12:12:00,19:12:00,-07:00,37.0113197,-122.0282416,7567,3DDiff,501138.2,171.6,112,82,-33,0.00,96.2,1.8,9,7259,7499,-5,147.7,167,0.24,0.03,-0.004,1.006,-0.233,-0.257,157,7500,,,30.18,122.800,GPS1,,KWVI,12.3,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.2,7500,-0.1,,18.4,7261,-2,-1,,,-13.0,8.1,8136,6900,8.6,348,040007FF N100 N100,32,,,1200,ALT,176,18,20,28.2,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,358,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:01,19:12:01,-07:00,37.0110138,-122.0272835,7568,3DDiff,501139.3,171.6,112,82,-33,0.05,96.2,1.8,9,7260,7498,18,147.6,166,0.41,0.00,-0.002,0.991,-0.233,-0.249,157,7500,,,30.18,122.800,GPS1,,KWVI,12.3,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.3,7500,-0.1,,10.0,7261,-3,-1,,,-13.0,8.1,8133,6900,8.6,348,040007FF N100 N100,23,,,1200,ALT,176,18,20,27.9,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,358,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:02,19:12:02,-07:00,37.0107297,-122.0263951,7568,3DDiff,501140.2,171.5,112,82,-33,0.05,96.1,1.8,9,7260,7498,0,147.5,166,0.33,0.00,0.001,0.961,-0.233,-0.252,157,7500,,,30.18,122.800,GPS1,,KWVI,12.2,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.3,7500,-0.1,,14.9,7261,-2,-2,,,-13.0,8.1,8131,6900,8.6,348,040007FF N100 N100,23,,,1200,ALT,176,18,20,28.0,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,357,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:03,19:12:03,-07:00,37.0104367,-122.0254779,7568,3DDiff,501141.2,171.5,112,82,-33,0.04,96.1,1.8,9,7264,7500,137,147.3,166,0.29,-0.06,0.007,0.994,-0.232,-0.250,157,7500,,,30.18,122.800,GPS1,,KWVI,12.2,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.3,7500,-0.1,,-14.8,7261,-2,-2,,,-13.0,8.1,8132,6900,8.6,348,040007FF N100 N100,28,,,1200,ALT,176,18,20,28.3,77,2350,23.3,14.3,12,12,8.9,9,6,0.00,0.01,0.01,359,356,357,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:04,19:12:04,-07:00,37.0101381,-122.0245455,7567,3DDiff,501142.2,171.5,112,82,-33,-0.36,96.1,1.8,9,7264,7502,-3,147.3,166,0.02,0.03,-0.001,0.983,-0.232,-0.254,157,7500,,,30.18,122.800,GPS1,,KWVI,12.2,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.1,7500,-0.1,,-24.8,7261,-2,-4,,,-13.0,8.1,8133,6900,8.6,347,040007FF N100 N100,37,,,1200,ALT,176,18,20,28.0,77,2350,23.3,14.3,12,12,8.9,9,6,0.00,0.01,0.01,359,356,357,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:05,19:12:05,-07:00,37.0098471,-122.0236354,7566,3DDiff,501143.2,171.5,112,82,-33,-0.24,96.2,1.8,9,7262,7501,5,147.3,166,0.05,0.02,0.004,0.985,-0.232,-0.258,157,7500,,,30.18,122.800,GPS1,,KWVI,12.1,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.1,7500,-0.1,,-6.0,7261,-3,-2,,,-13.0,8.0,8130,6900,8.6,347,040007FF N100 N100,27,,,1200,ALT,176,18,20,28.1,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,357,360,1305,1290,1285,1300,0,69,,,104
2022-04-29,12:12:06,19:12:06,-07:00,37.0095531,-122.0227166,7565,3DDiff,501144.2,171.5,112,82,-33,-0.24,96.2,1.8,9,7261,7501,-49,147.2,166,0.12,-0.01,0.011,1.021,-0.233,-0.256,157,7500,,,30.18,122.800,GPS1,,KWVI,12.1,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.1,7500,-0.1,,1.8,7261,-3,-2,,,-13.0,8.0,8128,6900,8.6,347,040007FF N100 N100,25,,,1200,ALT,176,18,20,28.2,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,357,360,1300,1290,1285,1300,0,69,,,104
2022-04-29,12:12:07,19:12:07,-07:00,37.0092576,-122.0217941,7565,3DDiff,501145.2,171.5,112,82,-33,-0.13,96.2,1.8,9,7259,7500,-103,147.2,166,0.02,-0.07,0.008,1.000,-0.233,-0.252,157,7500,,,30.18,122.800,GPS1,,KWVI,12.0,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.1,7500,-0.1,,12.0,7261,-3,-1,,,-13.0,8.0,8125,6900,8.6,347,040007FF N100 N100,26,,,1200,ALT,176,18,20,28.2,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,357,360,1300,1290,1285,1300,0,69,,,104
2022-04-29,12:12:08,19:12:08,-07:00,37.0089633,-122.0208736,7565,3DDiff,501146.2,171.5,112,82,-33,0.16,96.4,1.8,9,7259,7498,-57,147.4,166,0.24,-0.10,0.008,1.021,-0.233,-0.252,157,7500,,,30.18,122.800,GPS1,,KWVI,12.0,111,111,0.004,0.00,12152,ENR,,,-1.00,1755,AP,GPS,ALT,-0.1,0.2,7500,-0.1,,22.8,7261,-3,0,,,-13.0,8.0,8121,6900,8.7,347,040007FF N100 N100,26,,,1200,ALT,176,18,20,28.2,77,2350,23.3,14.3,12,12,8.8,9,6,0.00,0.01,0.01,359,356,357,360,1300,1290,1285,1300,0,69,,,104
