#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="167.7",engine_hours="167.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-05-01,07:38:55,14:38:55,-07:00,+36.9885716,-120.1077306,282,3D-,52752.9,0.0,,0,0,0.00,,1.3,8,273,281,-4,0.0,0,,,-0.016,0.977,+1.183,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-12.7,12.4,26,,,,081101F8 A94 A94,7,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,6,0.0,-8,-6,0.59,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:38:56,14:38:56,-07:00,+36.9885718,-120.1077306,284,3D,52753.9,0.0,,0,0,-0.01,,1.3,8,272,281,-4,0.0,0,,,-0.018,0.978,+1.179,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,26,,,,040001F8 A96 A96,8,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,6,0.0,-8,-6,0.39,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:38:57,14:38:57,-07:00,+36.9885722,-120.1077300,286,3D,52754.9,0.0,,0,0,0.00,,1.3,8,272,281,-8,0.0,0,,,-0.015,0.979,+1.185,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040001F8 A98 A98,5,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,6,0.0,-8,-6,0.21,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:38:58,14:38:58,-07:00,+36.9885799,-120.1077151,287,3D,52755.9,0.0,,0,0,-0.00,215.2,1.3,8,272,281,-3,0.0,0,10.75,1.00,-0.018,0.977,+1.169,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040007FF D2 D2,7,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,6,0.0,-8,-6,0.12,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:38:59,14:38:59,-07:00,+36.9885843,-120.1077102,289,3D,52756.9,0.0,,0,0,-0.00,215.2,1.3,8,272,281,2,0.0,0,10.74,1.00,-0.015,0.979,+1.132,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040007FF D14 D14,5,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,5,0.0,-8,-6,0.06,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:39:00,14:39:00,-07:00,+36.9885864,-120.1077090,291,3D,52757.9,0.0,,0,0,-0.00,215.2,1.3,8,272,281,3,0.0,-0,10.73,1.01,-0.017,0.977,+1.085,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040007FF D26 D26,5,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,5,0.0,-8,-6,0.03,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:39:01,14:39:01,-07:00,+36.9885859,-120.1077089,291,3D,52758.9,0.0,,0,0,-0.00,215.2,1.2,9,273,281,9,0.0,-0,10.83,1.05,-0.017,0.979,+1.043,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040007FF D34 D34,6,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,5,0.0,-8,-6,0.02,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:39:02,14:39:02,-07:00,+36.9885848,-120.1077091,291,3D,52759.9,0.0,,0,0,0.00,215.2,1.2,9,273,281,15,-0.0,0,10.80,1.05,-0.019,0.978,+1.023,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,26,,,,040007FF D43 D43,8,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,5,0.0,-8,-6,0.01,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
2022-05-01,07:39:03,14:39:03,-07:00,+36.9885847,-120.1077083,291,3D,52760.9,0.0,,0,0,-0.00,215.2,1.2,9,273,281,-8,0.0,0,10.79,1.07,-0.016,0.977,+1.012,,47,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-12.7,12.4,25,,,,040007FF D53 D53,9,,,1200,ALT,52,15,15,0.0,0,0,29.4,12.2,0,5,0.0,-8,-6,0.01,0.00,0.01,48,44,46,44,45,45,45,45,0,0,FUEL PRESS / OIL PRESS,,104
