#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2L",product="GDU 460",software_version="9.00",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="177.3",engine_hours="177.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2022-06-04,11:52:32,18:52:32,-07:00,+37.5103622,-122.4909160,52,3D (SFD1),586351.9,0.1,,-0,0,-0.03,,1.2,8,-25,-26,1,0.0,0,,,-0.014,0.977,+1.124,,311,,,,29.92,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,17.2,230,,,,081001F8 A22 A22,5,,,,,63,17,18,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,55,57,56,55,55,55,60,0,0,,,105
2022-06-04,11:52:33,18:52:33,-07:00,+37.5103621,-122.4909169,58,3D (SFD1),586352.9,0.0,,-0,0,0.04,,1.2,8,-25,-26,1,0.0,0,,,-0.013,0.977,+1.113,,311,,,,29.92,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,17.2,230,,,,081001F8 A25 A25,6,,,,,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,55,57,56,55,55,55,60,0,0,,,105
2022-06-04,11:52:34,18:52:34,-07:00,+37.5103654,-122.4909109,59,3D (SFD1),586353.9,0.0,,-0,0,0.04,,1.2,8,-25,-26,5,0.0,0,,,-0.014,0.977,+1.078,,311,,,,29.92,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,17.2,231,,,,081001F8 A26 A26,7,,L+,,,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,55,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:35,18:52:35,-07:00,+37.5103701,-122.4909129,50,3D (SFD1),586354.9,0.0,,-0,0,0.05,,1.2,8,-24,-26,6,0.0,0,,,-0.014,0.977,+1.036,,311,,,,29.92,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,17.2,231,,,,081001F8 A28 A28,5,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,55,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:36,18:52:36,-07:00,+37.5103739,-122.4909205,48,3D (SFD1),586355.9,0.1,,-0,0,-0.05,,1.2,8,-24,-26,1,0.0,0,,,-0.011,0.979,+0.990,,311,,,,29.92,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,,-13.2,17.2,232,,,,081001F8 A30 A30,7,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:37,18:52:37,-07:00,+37.5103663,-122.4909247,50,3D (SFD1),586356.9,0.1,,-0,0,0.11,,1.2,8,-25,-26,-1,0.0,0,,,-0.014,0.977,+0.953,,311,,,,29.92,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A33 A33,8,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:38,18:52:38,-07:00,+37.5103647,-122.4909185,48,3D (SFD1),586357.9,0.1,,-0,0,0.04,,1.2,8,-24,-16,5,0.0,0,,,-0.013,0.977,+0.976,,311,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A35 A35,8,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:39,18:52:39,-07:00,+37.5103666,-122.4909250,50,3D (SFD1),586358.9,0.1,,-0,0,0.07,,1.2,8,-24,-53,-2,0.0,0,,,-0.014,0.978,+1.053,,311,,,,29.89,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A37 A37,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,59,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:40,18:52:40,-07:00,+37.5103689,-122.4909231,46,3D (SFD1),586359.9,0.1,,-0,0,0.03,,1.2,8,-25,-63,-1,0.0,0,,,-0.014,0.978,+1.155,,311,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A39 A39,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:41,18:52:41,-07:00,+37.5103670,-122.4909150,49,3D (SFD1),586360.9,0.1,,-0,0,0.02,,1.2,8,-25,-16,1,0.0,0,,,-0.015,0.977,+1.237,,311,,,,29.93,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A42 A42,7,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:42,18:52:42,-07:00,+37.5103619,-122.4909144,55,3D (SFD1),586361.9,0.1,,-0,0,0.18,,1.2,8,-25,39,-3,0.0,0,,,-0.015,0.978,+25.071,,311,,,,29.99,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A44 A44,7,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:43,18:52:43,-07:00,+37.5103563,-122.4909119,54,3D (SFD1),586362.9,0.1,,-0,0,0.04,,1.2,8,-25,57,3,0.0,0,,,-0.014,0.977,+43.381,,311,,,,30.01,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A47 A47,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:44,18:52:44,-07:00,+37.5103678,-122.4909076,39,3D (SFD1),586363.9,0.1,,-0,0,0.03,,1.2,8,-25,48,-2,0.0,0,,,-0.014,0.979,+48.656,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,233,,,,081101F8 A49 A49,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:45,18:52:45,-07:00,+37.5103704,-122.4909025,36,3D (SFD1),586364.9,0.1,,-0,0,0.05,,1.2,8,-25,48,-8,0.0,0,,,-0.014,0.977,+45.890,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,233,,,,081101F8 A52 A52,5,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:46,18:52:46,-07:00,+37.5103553,-122.4909164,47,3D (SFD1),586365.9,0.1,,-0,0,-0.10,,1.2,8,-25,48,-8,0.0,0,,,-0.013,0.978,+38.897,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A55 A55,5,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:47,18:52:47,-07:00,+37.5103567,-122.4909187,52,3D (SFD1),586366.9,0.0,,-0,0,0.04,,1.2,8,-25,48,-3,0.0,0,,,-0.011,0.978,+30.331,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,232,,,,081101F8 A58 A58,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:48,18:52:48,-07:00,+37.5103666,-122.4909079,44,3D (SFD1),586367.9,0.1,,-0,0,-0.05,,1.6,8,-25,48,-0,0.0,0,,,-0.012,0.979,+21.924,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,231,,,,081101F8 A60 A60,7,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:49,18:52:49,-07:00,+37.5103622,-122.4909237,48,3D (SFD1),586368.9,0.1,,-0,0,-0.14,,1.2,8,-25,48,9,0.0,0,,,-0.016,0.978,+14.639,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,230,,,,081101F8 A62 A62,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
2022-06-04,11:52:50,18:52:50,-07:00,+37.5103621,-122.4909239,49,3D (SFD1),586369.9,0.1,,-0,0,-0.08,,1.2,8,-25,48,6,0.0,0,,,-0.016,0.976,+8.883,,311,,,,30.00,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,,-13.2,17.2,230,,,,081101F8 A64 A64,6,,,1200,ALT,63,17,19,0.0,0,0,29.8,12.3,0,5,0.0,-1,-17,0.02,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS / OIL PRESS,,105
